# Time-averaged data for fix myat1
# TimeStep v_deltaz
100 88.4292
200 87.8406
300 87.1169
400 86.316
500 85.4965
600 84.6694
700 83.8486
800 83.0409
900 82.2279
1000 81.4299
1100 80.64
1200 79.8502
1300 79.051
1400 78.2637
1500 77.4758
1600 76.687
1700 75.9039
1800 75.1357
1900 74.3678
2000 73.5971
2100 72.8426
2200 72.0954
2300 71.3518
2400 70.6135
2500 69.872
2600 69.1348
2700 68.3964
2800 67.6608
2900 66.9323
3000 66.1999
3100 65.4688
3200 64.7457
3300 64.0262
3400 63.313
3500 62.5962
3600 61.8804
3700 61.1773
3800 60.4657
3900 59.7631
4000 59.0652
4100 58.3729
4200 57.6732
4300 56.98
4400 56.2896
4500 55.5985
4600 54.9168
4700 54.2358
4800 53.5495
4900 52.8761
5000 52.216
5100 51.5551
5200 50.8988
5300 50.2549
5400 49.619
5500 48.9827
5600 48.361
5700 47.7481
5800 47.1373
5900 46.5363
6000 45.9591
6100 45.3946
6200 44.8394
6300 44.3032
6400 43.7878
6500 43.2836
6600 42.8026
6700 42.3443
6800 41.916
6900 41.5131
7000 41.1339
7100 40.7974
7200 40.4944
7300 40.2229
7400 39.997
7500 39.8054
7600 39.6536
7700 39.5534
7800 39.4832
7900 39.4426
8000 39.4441
8100 39.49
8200 39.5691
8300 39.6781
8400 39.8167
8500 39.9752
8600 40.1412
8700 40.3334
8800 40.5401
8900 40.7472
9000 40.9613
9100 41.188
9200 41.4022
9300 41.6237
9400 41.8371
9500 42.0459
9600 42.2501
9700 42.4429
9800 42.6181
9900 42.7838
10000 42.9392
10100 43.0839
10200 43.2085
10300 43.3185
10400 43.422
10500 43.5157
10600 43.6065
10700 43.6959
10800 43.776
10900 43.8461
11000 43.9148
11100 43.9729
11200 44.0166
11300 44.0556
11400 44.092
11500 44.123
11600 44.1448
11700 44.1622
11800 44.1738
11900 44.1817
12000 44.1768
12100 44.1625
12200 44.1487
12300 44.1361
12400 44.1188
12500 44.0822
12600 44.038
12700 43.999
12800 43.9569
12900 43.9096
13000 43.8749
13100 43.8428
13200 43.7949
13300 43.7454
13400 43.7032
13500 43.6633
13600 43.6278
13700 43.6008
13800 43.5656
13900 43.5264
14000 43.4918
14100 43.4639
14200 43.4246
14300 43.386
14400 43.3498
14500 43.3206
14600 43.2991
14700 43.281
14800 43.2502
14900 43.2167
15000 43.181
15100 43.1447
15200 43.1122
15300 43.0752
15400 43.0364
15500 43.0123
15600 43.0025
15700 42.9865
15800 42.9714
15900 42.9559
16000 42.9395
16100 42.9129
16200 42.8911
16300 42.8771
16400 42.8531
16500 42.8332
16600 42.8317
16700 42.8323
16800 42.8403
16900 42.8458
17000 42.86
17100 42.8651
17200 42.8736
17300 42.8851
17400 42.8935
17500 42.8986
17600 42.9131
17700 42.9362
17800 42.9776
17900 43.0319
18000 43.0772
18100 43.1134
18200 43.141
18300 43.1728
18400 43.1982
18500 43.2132
18600 43.2379
18700 43.2696
18800 43.3096
18900 43.3459
19000 43.373
19100 43.3886
19200 43.4016
19300 43.4139
19400 43.4291
