# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 315.703
200 311.52
300 304.911
400 300.114
500 294.825
600 294.882
700 308.265
800 310.683
900 295.817
1000 297.433
1100 293.744
1200 297.299
1300 299.215
1400 300.983
1500 300.088
1600 302.454
1700 297.285
1800 287.877
1900 294.797
2000 296.622
2100 303.442
2200 304.764
2300 295.128
2400 297.16
2500 295.256
2600 300.561
2700 294.911
2800 305.238
2900 305.425
3000 304.803
3100 304.245
3200 300.27
3300 293.541
3400 298.027
3500 303.183
3600 300.221
3700 301.274
3800 299.194
3900 303.868
4000 299.661
4100 295.367
4200 292.518
4300 298.651
4400 302.015
4500 304.876
4600 298.513
4700 294.952
4800 293.729
4900 299.283
5000 311.673
5100 298.815
5200 299.791
5300 288.942
5400 289.296
5500 294.601
5600 294.094
5700 297.343
5800 304.828
5900 298.991
6000 301.18
6100 298.972
6200 294.835
6300 294.167
6400 297.461
6500 297.124
6600 299.523
6700 305.958
6800 299.274
6900 290.317
7000 287.253
7100 297.509
7200 303.111
7300 300.575
7400 298.167
7500 305.638
7600 302.541
7700 305.534
7800 303.522
7900 289.715
8000 291.223
8100 308.789
8200 300.425
8300 301.329
8400 291.384
8500 296.342
8600 301.583
8700 310.566
8800 303.037
8900 290.937
9000 298.114
9100 310.381
9200 305.753
9300 298.806
9400 295.617
9500 302.273
9600 310.976
9700 311.997
9800 296.356
9900 297.903
10000 306.991
