# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
1000 0.00923169 -0.0314825
2000 -0.034737 0.0561647
3000 0.00624332 -0.0545592
4000 -0.0657768 0.0292298
5000 0.0724207 -0.0137931
6000 0.030015 0.00683504
7000 -0.0342105 0.0207419
8000 -0.00327556 -0.0156667
9000 0.0336472 0.00746749
10000 -0.014729 0.000809972
11000 -0.0671886 -0.0156793
12000 0.11172 -0.0447985
13000 0.020641 0.00927908
14000 -0.0581066 0.0397552
15000 0.0311545 0.0180936
16000 -0.0203956 -0.108645
17000 -0.00958308 0.100899
18000 -0.0571874 0.0323202
19000 0.0669037 -0.0636331
20000 -0.0229131 0.0692
21000 0.044491 -0.102108
22000 -0.0516135 0.0328791
23000 -0.0535812 -0.0048942
24000 0.0357954 0.0611859
25000 0.0102068 -0.0168903
26000 0.0259625 -0.0615629
27000 -0.00854657 0.0526434
28000 0.0234 -0.0154717
29000 -0.00182709 0.0179253
30000 -0.0391669 0.00430651
31000 0.0114894 0.003286
32000 -0.0256246 0.0384049
33000 0.0114566 -0.0684873
34000 0.0548156 -0.0428508
35000 -0.0219909 0.0150303
36000 -0.0295962 -0.00378661
37000 0.0290923 0.0699639
38000 -0.0135526 -0.00119592
39000 0.00491307 -0.0101501
40000 -0.0145524 -0.0463455
41000 0.0226787 0.00316129
42000 -0.0410308 0.0189818
43000 0.0589136 0.0738701
44000 -0.0676883 -0.0353467
45000 0.102725 -0.0536978
46000 -0.0709796 0.0442337
47000 0.0121369 0.00388768
48000 -0.0275277 0.0378194
49000 0.0520113 -0.111491
50000 -0.0518021 0.0823057
51000 0.0408079 -0.0669016
52000 0.0239763 0.0811588
53000 -0.0626226 -0.0469271
54000 0.0436815 -0.0163593
55000 -0.0326754 0.00337215
56000 -0.0112713 0.00828191
57000 0.0273097 0.0430824
58000 -0.0336227 -0.0669783
59000 -6.64495e-05 0.0398254
60000 -0.0293168 -0.0300236
61000 0.0582807 -0.00245735
62000 0.0172124 -0.0162711
63000 -0.0190333 0.0868515
64000 0.0486324 -0.0471567
65000 -0.0149287 0.0313521
66000 -0.0371985 0.00796141
67000 0.037519 -0.0133119
68000 -0.014659 0.00580245
69000 -0.0416888 -0.00740947
70000 -0.00787486 -0.0132918
71000 -0.0201948 -0.00565357
72000 0.0401838 -0.0437743
73000 -0.0202836 -0.0117327
74000 -0.0287185 0.0617505
75000 0.0488906 -0.0348978
76000 -0.0471435 -0.0255066
77000 0.0263845 0.0774179
78000 0.00500275 -0.0307858
79000 -0.00366998 0.0491471
80000 0.00612206 0.0212442
81000 0.0202383 -0.0434213
82000 -0.0130168 0.000643281
83000 0.0108122 0.069861
84000 -0.0181827 -0.0455734
85000 0.0130896 -0.0178622
86000 0.0652335 0.0286176
87000 -0.107932 -0.0554021
88000 0.0137991 -0.0522796
89000 -0.0918784 0.144378
90000 0.0905218 -0.0265873
91000 -0.00733521 -0.103018
92000 0.0168549 0.0595687
93000 0.0562348 -0.0502078
94000 -0.0169243 0.0742349
95000 -0.0288994 0.0102289
96000 0.0414032 -0.0440799
97000 -0.0665945 -0.0072212
98000 0.0626254 0.0378293
99000 -0.0313004 0.0163797
100000 0.0453464 -0.137218
101000 -0.0420147 0.0365481
102000 -0.0470351 0.00996777
103000 0.0793776 -0.0304952
104000 -0.0464223 0.0360141
105000 0.0268619 -0.037263
106000 -0.0945601 0.00954933
107000 0.0433815 0.02567
108000 0.0153422 -0.00144027
109000 -0.0578952 -0.0150578
110000 0.016454 0.0404601
111000 0.0818167 0.0543147
112000 -0.032893 -0.0201618
113000 -0.0696961 0.0146945
114000 0.0698523 0.0382646
115000 -0.0678785 -0.0298251
116000 0.103467 -0.0276407
117000 -0.0884093 -9.44169e-05
118000 0.0754526 -0.0213361
119000 -0.0414184 -0.0183132
120000 0.0689227 -0.00469968
121000 -0.0352304 0.0224522
122000 -0.0455074 0.0235787
123000 0.0220906 -0.0278508
124000 -0.0587461 0.102485
125000 0.0928803 -0.080125
126000 -5.28462e-05 -0.00155802
127000 -0.00988479 0.0300158
128000 -0.0416271 0.0347563
129000 0.0595686 -0.081077
130000 -0.0371449 0.0252701
131000 0.0127161 0.0305509
132000 0.0802341 0.0329138
133000 -0.0536296 -0.0343085
134000 0.00883167 -0.0266891
135000 0.0149596 0.0953612
136000 -0.00838823 -0.0990472
137000 -0.0241831 -0.0246984
138000 -0.0338742 0.00337121
139000 0.00951746 0.0353956
140000 0.024322 -0.0218451
141000 0.0272527 0.0236539
142000 -0.0904777 -0.0476613
143000 0.00309482 0.0320418
144000 0.0166781 0.0249812
145000 0.0201817 0.00115762
146000 -0.0175962 -0.0982711
147000 -0.00348842 0.00749788
148000 -0.0230055 0.0712453
149000 0.0220622 0.0384415
150000 0.0439867 -0.0633377
151000 -0.0802048 0.0421689
152000 0.0539766 -0.0475976
153000 0.0296829 0.0193658
154000 0.03197 -0.0581095
155000 -0.0216872 0.0164066
156000 -0.0944249 -0.0330538
157000 0.136099 0.0663663
158000 -0.0956897 -0.0978962
159000 0.020573 0.048012
160000 0.0851299 0.0106618
161000 -0.0903843 0.0475884
162000 0.0358763 -0.0804851
163000 -0.0424781 0.0275523
164000 0.00959733 -0.024757
165000 -0.0286167 0.0391865
166000 0.00305555 -0.0746362
167000 -0.0069369 0.0954713
168000 0.0435937 -0.111417
169000 -0.00699121 0.0962071
170000 0.0104444 -0.0289829
