# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
37400100 -5.68588 7
37400200 -5.84881 7
37400300 -5.9614 7
37400400 -5.80145 7
37400500 -5.52779 7
37400600 -5.40211 7
37400700 -5.7643 7
37400800 -5.76152 7
37400900 -5.83895 7
37401000 -5.80808 7
37401100 -5.59457 7
37401200 -5.47406 7
37401300 -5.50176 7
37401400 -5.71295 7
37401500 -5.68954 7
37401600 -5.4214 7
37401700 -5.37174 7
37401800 -5.28256 7
37401900 -5.39544 7
37402000 -5.27209 7
37402100 -5.48385 7
37402200 -5.68338 7
37402300 -5.90112 7
37402400 -6.00693 7
37402500 -5.89073 7
37402600 -5.71568 7
37402700 -5.67461 7
37402800 -5.49568 7
37402900 -5.54038 7
37403000 -5.42767 7
37403100 -5.25143 7
37403200 -5.36506 7
37403300 -5.45694 7
37403400 -5.41681 7
37403500 -5.46959 7
37403600 -5.37774 7
37403700 -5.72524 7
37403800 -6.14029 7
37403900 -5.98191 7
37404000 -5.59625 7
37404100 -5.22649 7
37404200 -5.51759 7
37404300 -5.18203 7
37404400 -5.36002 7
37404500 -5.82243 7
37404600 -5.93707 7
37404700 -6.04929 7
37404800 -6.10645 7
37404900 -6.06823 7
37405000 -6.08312 7
37405100 -5.85554 7
37405200 -5.71042 7
37405300 -5.63292 7
37405400 -5.78027 7
37405500 -5.83604 7
37405600 -5.47322 7
37405700 -5.26215 7
37405800 -5.31198 7
37405900 -5.38754 7
37406000 -5.50453 7
37406100 -5.44484 7
37406200 -5.70462 7
37406300 -5.47005 7
37406400 -5.35887 7
37406500 -5.41412 7
37406600 -5.44882 7
37406700 -5.63597 7
37406800 -5.4015 7
37406900 -5.36797 7
37407000 -5.86042 7
37407100 -5.81882 7
37407200 -5.4165 7
37407300 -5.49668 7
37407400 -5.59121 7
37407500 -5.42517 7
37407600 -5.50223 7
37407700 -5.71617 7
37407800 -5.35472 7
37407900 -5.64132 7
37408000 -5.93014 7
37408100 -5.98362 7
37408200 -5.90729 7
37408300 -5.99009 7
37408400 -5.63734 7
37408500 -5.48865 7
37408600 -5.98136 7
37408700 -5.89641 7
37408800 -5.73693 7
37408900 -5.76854 7
37409000 -5.91625 7
37409100 -5.9064 7
37409200 -5.62316 7
37409300 -5.45997 7
37409400 -5.55691 7
37409500 -5.74209 7
37409600 -5.96846 7
37409700 -5.91916 7
37409800 -5.74991 7
37409900 -5.96926 7
37410000 -6.1317 7
37410100 -6.1244 7
37410200 -6.17614 7
37410300 -5.97083 7
37410400 -5.75876 7
37410500 -5.73219 7
37410600 -5.62835 7
37410700 -5.7448 7
37410800 -5.72038 7
37410900 -5.49417 7
37411000 -5.12002 7
37411100 -5.48637 7
37411200 -5.68657 7
37411300 -5.26968 7
37411400 -5.08027 7
37411500 -5.14568 7
37411600 -5.43805 7
37411700 -5.89503 7
37411800 -5.96914 7
37411900 -5.79006 7
37412000 -5.67205 7
37412100 -5.81099 7
37412200 -6.00674 7
37412300 -6.10978 7
37412400 -6.14486 7
37412500 -6.11818 7
37412600 -6.06974 7
37412700 -5.59821 7
37412800 -5.40286 7
37412900 -5.6095 7
37413000 -5.77461 7
37413100 -5.75598 7
37413200 -5.65857 7
37413300 -5.65038 7
37413400 -5.70403 7
37413500 -5.69951 7
37413600 -5.82505 7
37413700 -5.92912 7
37413800 -5.77581 7
37413900 -5.5586 7
37414000 -5.57637 7
37414100 -5.94135 7
37414200 -5.73896 7
37414300 -5.39019 7
37414400 -5.62572 7
37414500 -5.64115 7
37414600 -5.53776 7
37414700 -5.6571 7
37414800 -5.67285 7
37414900 -5.69631 7
37415000 -5.64517 7
37415100 -5.6224 7
37415200 -5.99484 7
37415300 -6.04292 7
37415400 -5.72618 7
37415500 -5.58049 7
37415600 -5.61603 7
37415700 -5.74908 7
37415800 -5.91067 7
37415900 -5.92338 7
37416000 -6.07364 7
37416100 -6.09792 7
37416200 -6.05532 7
37416300 -5.89471 7
37416400 -5.70747 7
37416500 -5.75233 7
37416600 -5.8538 7
37416700 -5.9006 7
37416800 -5.7785 7
37416900 -5.80902 7
37417000 -5.63418 7
37417100 -5.42252 7
37417200 -5.54271 7
37417300 -5.77652 7
37417400 -5.87121 7
37417500 -6.02552 7
37417600 -6.22206 7
37417700 -5.97298 7
37417800 -5.71953 7
37417900 -5.50488 7
37418000 -5.44961 7
37418100 -5.85334 7
37418200 -6.1873 7
37418300 -6.1879 7
37418400 -6.01232 7
37418500 -5.65537 7
37418600 -5.43214 7
37418700 -5.37627 7
37418800 -5.6864 7
37418900 -5.51426 7
37419000 -5.80859 7
37419100 -6.0807 7
37419200 -6.04119 7
37419300 -5.94455 7
37419400 -5.69008 7
37419500 -5.74323 7
37419600 -5.75374 7
37419700 -5.81517 7
37419800 -5.90739 7
37419900 -5.83421 7
37420000 -5.80911 7
37420100 -5.84637 7
37420200 -5.70253 7
37420300 -5.50932 7
37420400 -5.37165 7
37420500 -5.58763 7
37420600 -5.44708 7
37420700 -5.60698 7
37420800 -5.84413 7
37420900 -5.83252 7
37421000 -5.6341 7
37421100 -5.49515 7
37421200 -5.63993 7
37421300 -5.82943 7
37421400 -6.13771 7
37421500 -6.04958 7
37421600 -5.69504 7
37421700 -5.71264 7
37421800 -5.70385 7
37421900 -5.51688 7
37422000 -5.55691 7
37422100 -5.30521 7
