# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
7400100 -17.6851 -18
7400200 -17.7232 -18
7400300 -17.6553 -18
7400400 -17.6138 -18
7400500 -17.7486 -18
7400600 -17.8657 -18
7400700 -18.0607 -18
7400800 -18.2173 -18
7400900 -18.2824 -18
7401000 -18.0603 -18
7401100 -18.2539 -18
7401200 -18.5447 -18
7401300 -18.5577 -18
7401400 -18.1661 -18
7401500 -18.1953 -18
7401600 -18.1352 -18
7401700 -17.9791 -18
7401800 -17.9129 -18
7401900 -17.7864 -18
7402000 -18.1083 -18
7402100 -18.1848 -18
7402200 -18.5201 -18
7402300 -18.6965 -18
7402400 -18.4647 -18
7402500 -18.0496 -18
7402600 -17.8932 -18
7402700 -17.7117 -18
7402800 -17.6653 -18
7402900 -17.754 -18
7403000 -18.0604 -18
7403100 -18.2877 -18
7403200 -18.1252 -18
7403300 -17.8828 -18
7403400 -17.7488 -18
7403500 -17.96 -18
7403600 -18.0892 -18
7403700 -18.0631 -18
7403800 -18.0166 -18
7403900 -17.9869 -18
7404000 -18.0344 -18
7404100 -17.9234 -18
7404200 -17.6005 -18
7404300 -17.6281 -18
7404400 -17.6245 -18
7404500 -17.6914 -18
7404600 -17.8892 -18
7404700 -18.0217 -18
7404800 -17.9829 -18
7404900 -17.8018 -18
7405000 -17.7514 -18
7405100 -17.6703 -18
7405200 -17.5683 -18
7405300 -17.5342 -18
7405400 -17.6546 -18
7405500 -17.625 -18
7405600 -17.558 -18
7405700 -18.0937 -18
7405800 -18.2005 -18
7405900 -18.3625 -18
7406000 -18.4091 -18
7406100 -18.1442 -18
7406200 -17.9265 -18
7406300 -18.3505 -18
7406400 -18.6564 -18
7406500 -18.7331 -18
7406600 -18.2965 -18
7406700 -17.8602 -18
7406800 -17.7336 -18
7406900 -17.4006 -18
7407000 -17.5623 -18
7407100 -17.6641 -18
7407200 -17.6726 -18
7407300 -18.0227 -18
7407400 -18.042 -18
7407500 -17.9201 -18
7407600 -17.9658 -18
7407700 -18.033 -18
7407800 -17.8064 -18
7407900 -17.5013 -18
7408000 -17.8359 -18
7408100 -18.0055 -18
7408200 -18.1412 -18
7408300 -18.3052 -18
7408400 -18.626 -18
7408500 -18.7262 -18
7408600 -18.752 -18
7408700 -18.6814 -18
7408800 -18.5272 -18
7408900 -18.393 -18
7409000 -18.5914 -18
7409100 -18.6133 -18
7409200 -18.6178 -18
7409300 -18.305 -18
7409400 -17.9429 -18
7409500 -17.7764 -18
7409600 -17.8219 -18
7409700 -17.6841 -18
7409800 -17.4161 -18
7409900 -17.2349 -18
7410000 -17.4123 -18
7410100 -17.8603 -18
7410200 -17.7931 -18
7410300 -17.2068 -18
7410400 -17.1574 -18
7410500 -17.0368 -18
7410600 -17.1853 -18
7410700 -17.2699 -18
7410800 -17.6462 -18
7410900 -17.9249 -18
7411000 -18.1989 -18
7411100 -17.9759 -18
7411200 -17.7456 -18
7411300 -17.5865 -18
7411400 -17.6536 -18
7411500 -17.6061 -18
7411600 -17.5598 -18
7411700 -17.476 -18
7411800 -17.6833 -18
7411900 -17.8602 -18
7412000 -18.1429 -18
7412100 -18.107 -18
7412200 -18.1764 -18
7412300 -18.1958 -18
7412400 -18.0619 -18
7412500 -17.7069 -18
7412600 -17.7437 -18
7412700 -18.0245 -18
7412800 -18.4069 -18
7412900 -18.3393 -18
7413000 -18.146 -18
7413100 -17.9523 -18
7413200 -17.7592 -18
7413300 -17.7684 -18
