# Time-averaged data for fix at1
# TimeStep c_Tmid
1000 270.958
2000 298.951
3000 300.008
4000 299.383
5000 300.225
6000 301.175
7000 300.199
8000 300.211
9000 299.566
10000 299.893
11000 300.234
12000 299.473
13000 301.796
14000 299.894
15000 300.43
16000 299.779
17000 299.836
18000 300.412
19000 300.047
20000 299.522
21000 298.912
22000 300.553
23000 299.468
24000 300.886
25000 300.575
26000 300.813
27000 300.043
28000 300.302
29000 300.529
30000 300.848
31000 299.449
32000 300.115
33000 300.254
34000 300.324
35000 301.148
36000 300.766
37000 300.833
38000 301.531
39000 300.722
40000 300.838
41000 300.391
42000 300.021
43000 300.061
44000 299.412
45000 300.251
46000 299.467
47000 299.408
48000 297.896
49000 298.569
50000 300.983
51000 301.26
52000 299.246
53000 299.191
54000 299.785
55000 301.159
56000 300.17
57000 300.592
58000 300.087
59000 301.113
60000 300.07
61000 299.648
62000 299.603
63000 299.578
64000 300.283
65000 300.462
66000 299.51
67000 299.598
68000 300.032
69000 299.931
70000 300.442
71000 301.181
72000 300.113
73000 300.155
74000 300.148
75000 299.804
76000 300.422
77000 299.998
78000 299.693
79000 299.515
80000 300.247
81000 300.826
82000 300.121
83000 299.747
84000 299.814
85000 300.543
86000 300.767
87000 300.018
88000 300.348
89000 299.348
90000 300.31
91000 299.993
92000 300.044
93000 300.251
94000 300.107
95000 299.406
96000 300.595
97000 299.781
98000 299.871
99000 300.339
100000 299.117
101000 299.744
102000 300.165
103000 300.241
104000 300.495
105000 300.796
106000 300.237
107000 300.629
108000 299.85
109000 301.26
110000 299.344
111000 300.71
112000 299.952
113000 300.191
114000 299.887
115000 300.345
116000 299.897
117000 300.205
118000 300.4
119000 299.039
120000 300.195
121000 299.109
122000 299.835
123000 299.431
124000 299.856
125000 299.347
126000 299.802
127000 299.642
128000 299.365
129000 300.075
130000 299.881
131000 300.308
132000 298.865
133000 299.24
134000 300.598
135000 300.556
136000 300.302
137000 299.049
138000 300.25
139000 299.893
140000 299.988
141000 300.313
142000 299.878
143000 300.497
144000 299.705
145000 300.02
146000 300.625
147000 299.134
148000 300.032
149000 300.786
150000 299.995
151000 300.405
152000 299.621
153000 301.293
154000 298.902
155000 300.586
156000 300.859
157000 300.326
158000 300.326
159000 301.51
160000 300.459
161000 299.49
162000 301.056
163000 300.068
164000 299.798
165000 299.403
166000 298.744
167000 300.003
168000 298.988
169000 300.238
170000 301.201
171000 299.618
172000 300.031
173000 302.06
174000 302.095
175000 301.175
176000 300.075
177000 299.23
178000 299.678
179000 299.103
180000 299.115
181000 300.188
182000 300.448
183000 300.179
184000 300.704
185000 300.264
186000 299.375
187000 299.824
188000 300.189
189000 299.698
190000 301.097
191000 299.226
192000 300.162
193000 299.421
194000 300.332
195000 299.739
196000 300.144
197000 300.14
198000 300.221
199000 299.59
200000 300.04
201000 300.655
202000 299.967
203000 299.595
204000 301.222
205000 300.35
