# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
2000 0.00792863
4000 0.0131723
6000 0.014678
8000 0.0169887
10000 0.0174369
12000 0.0233899
14000 0.0245997
16000 0.0218799
18000 0.020074
20000 0.0171149
22000 0.0181114
24000 0.0190862
26000 0.0228024
28000 0.0232942
30000 0.0206353
32000 0.0202916
34000 0.02245
36000 0.0244865
38000 0.0259399
40000 0.0276414
42000 0.0278895
44000 0.0283681
46000 0.0286118
48000 0.0327633
50000 0.032054
52000 0.0280113
54000 0.035322
56000 0.0325979
58000 0.0333812
60000 0.0292472
62000 0.0290949
64000 0.031497
66000 0.0340339
68000 0.0317929
70000 0.0346475
72000 0.0335248
74000 0.0340339
76000 0.0333899
78000 0.0312097
80000 0.0340035
82000 0.0335509
84000 0.0326545
86000 0.0322672
88000 0.0336597
90000 0.0302524
92000 0.0286379
94000 0.0315274
96000 0.0293168
98000 0.0304961
100000 0.0314752
102000 0.0352654
104000 0.0339295
106000 0.0314883
108000 0.0330505
110000 0.0347041
112000 0.0332071
114000 0.0359138
116000 0.034852
118000 0.0364099
120000 0.032785
122000 0.0332637
124000 0.0365709
126000 0.0336684
128000 0.0339034
130000 0.034456
132000 0.0305135
134000 0.0325544
136000 0.0343299
138000 0.0337598
140000 0.0344343
142000 0.0350696
144000 0.0312924
146000 0.0320583
148000 0.0330331
150000 0.0309791
152000 0.0333464
154000 0.0321758
156000 0.0373238
158000 0.0342689
160000 0.0357702
162000 0.0362533
164000 0.037772
166000 0.034517
168000 0.0363708
170000 0.0363055
172000 0.0342298
174000 0.0376632
176000 0.034752
178000 0.0339077
180000 0.0371453
182000 0.0351001
184000 0.0349565
186000 0.0297824
188000 0.0334334
190000 0.0340165
192000 0.0316101
194000 0.035148
196000 0.0350522
198000 0.0359051
200000 0.0362924
202000 0.0337511
204000 0.0318886
206000 0.0365492
208000 0.0378982
210000 0.0324891
212000 0.0306832
214000 0.0337815
216000 0.0346432
218000 0.0367363
220000 0.0358486
222000 0.0333681
224000 0.037859
226000 0.0389339
228000 0.0374804
230000 0.0361227
232000 0.0382637
234000 0.0379243
236000 0.0332637
238000 0.0356266
240000 0.0325805
242000 0.0285509
244000 0.0341906
246000 0.0317189
248000 0.029852
250000 0.0329069
252000 0.0343168
254000 0.0343255
256000 0.0383899
258000 0.0363446
260000 0.0360792
262000 0.0371236
264000 0.0406005
266000 0.0319626
268000 0.0339687
270000 0.0322454
272000 0.0373716
274000 0.040074
276000 0.0361097
278000 0.0335683
280000 0.0330113
282000 0.0356049
284000 0.035483
286000 0.0400348
288000 0.0365622
290000 0.0342994
292000 0.0345474
294000 0.0347824
296000 0.0339904
298000 0.0325544
300000 0.0305788
