# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
0 0.933
100 1.21237
200 1.41225
300 1.59106
400 1.77188
500 1.9515
600 2.13437
700 2.319
800 2.48156
900 2.66706
1000 2.83631
1100 2.99825
1200 3.18138
1300 3.31894
1400 3.46813
1500 3.61863
1600 3.73519
1700 3.83237
1800 3.94775
1900 4.02006
2000 4.10612
2100 4.15675
2200 4.23056
2300 4.25944
2400 4.31719
2500 4.32756
2600 4.35288
2700 4.34444
2800 4.32362
2900 4.33563
3000 4.33863
3100 4.33537
3200 4.3455
3300 4.32188
3400 4.319
3500 4.2785
3600 4.28619
3700 4.27363
3800 4.25363
3900 4.21769
4000 4.237
4100 4.20431
4200 4.18756
4300 4.18219
4400 4.14306
4500 4.19206
4600 4.16469
4700 4.13475
4800 4.12906
4900 4.116
5000 4.093
5100 4.09106
5200 4.0845
5300 4.08006
5400 4.09531
5500 4.0825
5600 4.073
5700 4.06556
5800 4.01675
5900 4.03406
6000 4.01837
6100 4.01256
6200 3.99356
6300 4.01706
6400 4.00206
6500 3.99619
6600 3.998
6700 3.95737
6800 3.94525
6900 3.92956
7000 3.90281
7100 3.90669
7200 3.88925
7300 3.91588
7400 3.86006
7500 3.86563
7600 3.87719
7700 3.86
7800 3.86406
7900 3.86344
8000 3.83275
8100 3.83562
8200 3.82806
8300 3.83869
8400 3.81606
8500 3.82063
8600 3.79925
8700 3.82
8800 3.79456
8900 3.82238
9000 3.79781
9100 3.78638
9200 3.76256
9300 3.74019
9400 3.76356
9500 3.79169
9600 3.74919
9700 3.75862
9800 3.73825
9900 3.73731
10000 3.70812
10100 3.72544
10200 3.69956
10300 3.70869
10400 3.72006
10500 3.70969
10600 3.68375
10700 3.69281
10800 3.69081
10900 3.68219
11000 3.68487
11100 3.67238
11200 3.67769
11300 3.6655
11400 3.675
11500 3.66806
11600 3.64081
11700 3.66469
11800 3.656
11900 3.66038
12000 3.65062
12100 3.64719
12200 3.63738
12300 3.63325
12400 3.63019
12500 3.62094
12600 3.62031
12700 3.61394
12800 3.61525
12900 3.64875
13000 3.62225
13100 3.66
13200 3.61656
13300 3.59419
13400 3.61594
13500 3.59138
13600 3.60569
13700 3.57969
13800 3.56712
13900 3.5785
14000 3.57394
14100 3.55662
14200 3.54744
14300 3.56594
14400 3.53963
14500 3.56288
14600 3.56406
14700 3.55694
14800 3.56513
14900 3.56006
15000 3.56087
15100 3.57744
15200 3.57394
15300 3.56356
15400 3.56006
15500 3.55388
15600 3.51987
15700 3.56481
15800 3.54075
15900 3.54625
16000 3.53331
16100 3.55356
16200 3.54838
16300 3.53938
16400 3.5085
16500 3.50156
16600 3.51363
16700 3.52644
16800 3.51731
16900 3.52819
17000 3.5255
17100 3.52519
17200 3.5315
17300 3.48775
17400 3.47644
17500 3.46581
17600 3.46519
17700 3.48925
17800 3.47838
17900 3.47025
18000 3.4815
18100 3.48269
18200 3.48663
18300 3.46294
18400 3.44619
18500 3.46881
18600 3.45581
18700 3.44681
18800 3.44606
18900 3.43675
19000 3.465
19100 3.44713
19200 3.45463
19300 3.46219
19400 3.44106
19500 3.44675
19600 3.41281
19700 3.44156
19800 3.44738
19900 3.41988
20000 3.43219
20100 3.41119
