# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
2000 0.00724108
4000 0.0110009
6000 0.0140949
8000 0.0166275
10000 0.0160009
12000 0.0188077
14000 0.0179156
16000 0.0208616
18000 0.0227023
20000 0.0214143
22000 0.0203916
24000 0.0225762
26000 0.0236989
28000 0.0238816
30000 0.0226675
32000 0.0244996
34000 0.0250696
36000 0.0291514
38000 0.0259835
40000 0.0288294
42000 0.027141
44000 0.0293037
46000 0.0284769
48000 0.0273325
50000 0.0296693
52000 0.0265492
54000 0.0278503
56000 0.0302176
58000 0.0267015
60000 0.0293864
62000 0.0294865
64000 0.0327154
66000 0.0312533
68000 0.0308399
70000 0.0323281
72000 0.035322
74000 0.0313664
76000 0.0324804
78000 0.0362097
80000 0.0313185
82000 0.0362315
84000 0.034208
86000 0.0316493
88000 0.0301871
90000 0.033181
92000 0.0328285
94000 0.0336162
96000 0.0374978
98000 0.0343168
100000 0.0325326
102000 0.0351262
104000 0.0293386
106000 0.0312663
108000 0.0335553
110000 0.0408442
112000 0.0366275
114000 0.0346562
116000 0.0354134
118000 0.0357354
120000 0.0341384
122000 0.0365361
124000 0.0395779
126000 0.034604
128000 0.0294735
130000 0.0306745
132000 0.0313664
134000 0.035644
136000 0.0357572
138000 0.031262
140000 0.0325457
142000 0.0364621
144000 0.0350522
146000 0.0388599
148000 0.0326545
150000 0.0328329
152000 0.0300696
154000 0.0361314
156000 0.0363925
158000 0.0335422
160000 0.0340513
162000 0.0316057
164000 0.0328372
166000 0.0316144
168000 0.0345648
170000 0.0385944
172000 0.0319539
174000 0.0369582
176000 0.0352698
178000 0.0346084
180000 0.0314056
182000 0.0338381
184000 0.0367189
186000 0.035879
188000 0.0326371
190000 0.0330113
192000 0.0317493
194000 0.0345779
196000 0.0329896
198000 0.0337119
200000 0.0343168
202000 0.0353438
204000 0.0329634
206000 0.0343864
208000 0.0343864
210000 0.0360618
212000 0.0363664
214000 0.0347084
216000 0.0343255
218000 0.0367406
220000 0.0374456
222000 0.036584
224000 0.0368538
226000 0.0307267
228000 0.0326719
230000 0.0349478
232000 0.0325892
234000 0.0368451
236000 0.0339252
238000 0.0358529
240000 0.0366841
242000 0.0327937
244000 0.0339295
246000 0.0286379
248000 0.0312272
250000 0.035557
252000 0.0354308
254000 0.0330983
256000 0.0320453
258000 0.0327241
260000 0.033416
262000 0.0366754
264000 0.0305178
266000 0.0332419
268000 0.0340731
270000 0.0347041
272000 0.0307267
274000 0.0308399
276000 0.0379852
278000 0.0333725
280000 0.0352872
282000 0.0336771
284000 0.0382419
286000 0.0369147
288000 0.0351088
290000 0.0391601
292000 0.033886
294000 0.0324413
296000 0.0357572
298000 0.0349826
300000 0.0310531
