# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
1000 0.139881 -0.0101032
2000 -0.265702 0.0440194
3000 0.0916309 -0.0728264
4000 0.212918 0.0546177
5000 -0.257213 0.0158407
6000 0.122549 0.0646043
7000 0.0292047 -0.0609033
8000 -0.0526076 -0.0921983
9000 -0.0715553 0.09611
10000 0.130197 -0.0127568
11000 0.00958959 -0.00680326
12000 -0.170036 -0.0375059
13000 0.0671632 -0.0703433
14000 -0.0372019 0.0841609
15000 0.0319047 0.0371746
16000 0.128081 -0.0489172
17000 -0.195384 -0.0023644
18000 0.212562 0.00167007
19000 -0.0775293 0.10005
20000 -0.0205706 -0.0914918
21000 0.0442596 -0.0559721
22000 0.0134138 0.0890519
23000 -0.110687 -0.0270488
24000 -0.245809 -0.0501654
25000 0.30388 0.0219617
26000 -0.0508326 -0.00635481
27000 0.0392983 0.00420198
28000 -0.0142288 -0.00047377
29000 0.0369968 0.0531775
30000 0.0356248 -0.0212958
31000 -0.152592 -0.052189
32000 0.1602 0.00428047
33000 -0.151745 0.00783876
34000 0.201642 0.120919
35000 -0.212843 -0.071824
36000 0.0815123 0.0137524
37000 0.0122644 -0.040748
38000 -0.00505693 0.00735901
39000 0.0645926 0.0666498
40000 -0.164775 -0.091039
41000 0.15036 0.0796701
42000 -0.149581 0.00736327
43000 0.210415 -0.016844
44000 -0.0535607 -0.0279396
45000 -0.068925 0.00287163
46000 0.0220574 -0.0279082
47000 -0.186881 0.0584011
48000 0.290631 -0.0213786
49000 -0.169457 -0.0691553
50000 0.211044 -0.0280465
51000 -0.214583 0.0607992
52000 0.0489765 0.0444814
53000 -0.112198 0.0188609
54000 0.14437 -0.0179501
55000 0.0724725 0.0193792
56000 -0.246712 0.0374906
57000 0.436809 -0.0326575
58000 -0.450655 -0.0641544
59000 0.13352 0.0349797
60000 0.0283004 -0.01351
61000 0.115573 -0.0208444
62000 -0.186108 -0.0465205
63000 0.0450022 0.035347
64000 -0.068414 -0.000827642
65000 -0.198582 0.0878303
66000 0.486283 -0.159195
67000 -0.234376 0.113483
68000 0.0743687 -0.0216899
69000 -0.099355 -0.00553606
70000 -0.0103062 0.0481747
71000 -0.164817 -0.0603953
72000 0.270825 -0.0121252
73000 -0.00161656 0.0319121
74000 0.097225 -0.0274981
75000 -0.0691115 -0.0259186
76000 -0.445193 0.0645372
77000 0.394256 0.0217264
78000 0.100525 -0.0346444
79000 0.138198 -0.0634483
80000 -0.269297 0.0616952
81000 0.0663429 0.0108672
82000 -0.173059 0.00950516
83000 0.282185 -0.0577825
84000 -0.0718419 0.0560239
85000 0.0370243 -0.0274816
86000 0.00277078 -0.0801117
87000 -0.201527 0.03786
88000 0.0459733 0.0861865
89000 -0.036044 -0.0863872
90000 0.13691 0.010292
91000 0.116497 -0.0238045
92000 0.0160271 0.0131106
93000 -0.21993 0.0589169
94000 0.0928509 -0.106033
95000 -0.134362 0.0497503
96000 0.277212 0.0378635
97000 -0.0701611 -0.0221229
98000 -0.1778 0.0200071
99000 0.0798117 0.0149322
100000 0.0599918 -0.00967972
101000 0.289993 -0.0172013
102000 -0.366827 -0.010223
103000 0.189368 0.0255479
104000 -0.309204 -0.0759438
105000 0.25699 0.00770077
106000 0.156149 0.0410585
107000 -0.135569 -0.0255518
108000 -0.0633466 0.0513367
109000 -0.234478 -0.0469699
110000 0.222391 -0.0459275
111000 -0.133721 0.12746
112000 0.167883 0.0105795
113000 -0.0842771 -0.0897021
114000 0.0890319 0.0857183
115000 -0.0313376 -0.0225853
116000 -0.0722263 0.00604261
117000 0.00897667 0.0212713
118000 -0.156013 -0.0691441
119000 0.304398 0.0378526
120000 -0.0812268 -0.00637404
121000 -0.0958112 -0.0303367
122000 -0.186721 0.0382589
123000 0.198161 -0.023619
124000 0.184065 0.0495514
125000 -0.0334732 -0.118282
126000 0.0249117 0.101005
127000 -0.141703 -0.0253275
128000 0.230418 -0.0508662
129000 -0.209011 0.0893261
130000 -0.144592 -0.0730392
131000 -0.00396684 0.04389
132000 0.0851431 -0.016108
133000 0.175161 -0.0412139
134000 -0.109762 0.0251378
135000 0.143428 0.039191
136000 -0.180164 -0.0716551
137000 0.128257 0.0959085
138000 -0.19933 -0.0281962
139000 0.024974 -0.00972217
140000 -0.00679987 0.0104172
141000 0.0852148 0.0170385
142000 0.227549 0.00958486
143000 -0.181674 -0.00256565
144000 -0.0114733 0.0113626
145000 -0.210451 0.0043658
146000 0.25409 -0.0136625
147000 -0.177091 -0.0293032
148000 0.325077 0.0484021
149000 -0.176742 0.0212475
150000 0.188415 -0.0218972
151000 -0.308956 -0.0476177
152000 0.150342 -0.0606852
153000 -0.183005 0.0825897
154000 0.216488 -0.0980376
155000 -0.0656576 0.0881685
156000 0.0536761 -0.0697657
157000 -0.0837539 0.0492362
158000 -0.160425 -0.000487851
159000 0.221331 -0.0347186
160000 -0.230362 0.0731808
161000 0.46597 -0.0398851
162000 -0.348208 0.0128088
163000 0.423708 0.00437754
164000 -0.476144 0.00822331
165000 0.103788 0.0207494
166000 -0.134869 -0.0671768
167000 0.26651 0.0199928
168000 0.0381771 -0.0524033
169000 0.223795 0.0755129
170000 -0.654082 -0.0519666
171000 0.185566 0.0413817
172000 -0.219552 -0.00121223
173000 0.461047 -0.00051276
174000 0.0209468 0.0120043
175000 -0.0489439 -0.0294452
176000 -0.198863 0.00765833
177000 0.201846 -0.0767247
178000 -0.525006 0.0954137
179000 0.304914 0.0287166
180000 0.0441737 -0.0641421
181000 0.052167 -0.00258297
182000 -0.232962 -0.0496571
183000 0.332099 0.0562034
184000 -0.333679 0.000318838
185000 0.485805 0.0513123
186000 -0.379548 -0.0384023
187000 0.195257 -0.0112671
188000 -0.279605 -0.0278401
189000 0.150174 0.0749556
190000 -0.3206 -0.023968
191000 0.472947 0.0508966
192000 -0.00732637 -0.0663378
193000 0.124511 0.0445658
194000 -0.392866 0.000349837
195000 0.231801 0.0547741
196000 -0.542064 0.0143071
197000 0.603246 -0.0710297
198000 -0.321256 -0.0144272
199000 0.525784 0.0402973
200000 -0.600698 0.0729637
201000 0.19592 -0.00768032
202000 -0.369709 -0.0865221
203000 0.462187 0.0576887
204000 -0.0238598 0.0193569
205000 0.303768 -0.0446505
206000 -0.444563 0.0709636
207000 -0.00603485 0.0381386
208000 -0.350061 -0.0500944
209000 0.568015 -0.0499759
210000 -0.117449 -0.0293633
211000 0.446978 -0.0102215
212000 -0.419603 0.0434417
213000 -0.044355 0.0162449
214000 -0.330151 -0.0730318
215000 0.170787 0.0485368
216000 0.371223 -0.0332564
217000 0.0614615 0.0591823
218000 -0.132782 -0.0156864
219000 -0.435876 -0.0556011
220000 0.268065 0.0280693
221000 -0.173427 0.0238731
222000 0.492235 -0.122255
223000 -0.479725 0.0329604
224000 0.646388 -0.0136946
225000 -0.478332 0.0187915
226000 0.192534 0.0157666
227000 -1.9266 -0.0166321
228000 0.00289955 0.0304369
229000 -0.0234228 -0.090599
230000 -0.0256205 0.0176683
231000 0.00934852 -0.013231
232000 0.0178757 0.071528
233000 0.0108093 -0.0704091
234000 -0.00166388 0.0666463
235000 -0.00226872 0.0132214
236000 0.0102564 -0.0564867
237000 0.0162634 0.0309936
238000 0.0050359 -0.0202958
239000 -0.031565 0.0603155
240000 -0.0151194 -0.0570319
241000 0.013817 -0.0133736
242000 0.0113954 0.0166961
243000 -0.0152187 -0.036073
244000 -0.0208466 0.0456333
245000 0.00967277 -0.026744
246000 0.0168052 -0.0657345
247000 0.0114014 0.0117405
248000 -0.00161007 0.0257983
249000 -0.00366556 0.0750831
250000 0.00894558 -0.0104972
251000 0.0166468 0.0104396
252000 0.00670924 -0.025244
253000 -0.0301381 -0.000156171
254000 -0.0237798 -0.0510085
255000 0.00969892 0.0579679
256000 0.0168462 -0.0451244
257000 -0.0015132 -0.0378925
258000 -0.027044 0.0674435
259000 -0.00630558 0.0286607
260000 0.0158961 -0.0185584
261000 0.0176307 0.0240764
262000 0.00841516 0.00956127
263000 -0.0117409 -0.0883127
264000 -0.00709585 0.054319
265000 0.0116943 0.00279603
266000 0.0175935 0.0100549
267000 -2.03421e-05 -0.0652305
268000 -0.036893 0.0857124
269000 -0.0216533 -0.0641403
270000 0.0116008 0.0736911
271000 0.0157168 -0.0420829
272000 0.000508009 -0.0302273
273000 -0.0189057 0.0142704
274000 -0.00555865 -0.0244658
275000 0.0136604 0.0314862
276000 0.017492 -0.030343
277000 0.012721 0.0110992
278000 -0.00677977 -0.0144987
279000 -0.0161491 -0.00281175
280000 0.00314853 0.0862478
281000 0.0150657 -0.046716
282000 0.00578619 0.0435373
283000 -0.0259106 -0.0307501
284000 -0.0279997 0.0265217
285000 0.00562224 -0.0155692
