# Time-averaged data for fix at1
# TimeStep v_L
100 55.4712
200 55.4712
300 55.4712
400 55.4712
500 55.4712
600 55.4712
700 55.4712
800 55.4712
900 55.4712
1000 55.4712
1100 55.4712
1200 55.4712
1300 55.4712
1400 55.4712
1500 55.4712
1600 55.4712
1700 55.4712
1800 55.4712
1900 55.4712
2000 55.4712
2100 55.4712
2200 55.4712
2300 55.4712
2400 55.4712
2500 55.4712
2600 55.4712
2700 55.4712
2800 55.4712
2900 55.4712
3000 55.4712
3100 55.4712
3200 55.4712
3300 55.4712
3400 55.4712
3500 55.4712
3600 55.4712
3700 55.4712
3800 55.4712
3900 55.4712
4000 55.4712
4100 55.4712
4200 55.4712
4300 55.4712
4400 55.4712
4500 55.4712
4600 55.4712
4700 55.4712
4800 55.4712
4900 55.4712
5000 55.4712
5100 55.4753
5200 55.4828
5300 55.4903
5400 55.4978
5500 55.5053
5600 55.5128
5700 55.5203
5800 55.5278
5900 55.5353
6000 55.5428
6100 55.5503
6200 55.5578
6300 55.5653
6400 55.5728
6500 55.5803
6600 55.5878
6700 55.5953
6800 55.6028
6900 55.6103
7000 55.6178
7100 55.6253
7200 55.6328
7300 55.6403
7400 55.6478
7500 55.6553
7600 55.6628
7700 55.6703
7800 55.6778
7900 55.6853
8000 55.6928
8100 55.7003
8200 55.7078
8300 55.7153
8400 55.7228
8500 55.7303
8600 55.7378
8700 55.7453
8800 55.7528
8900 55.7603
9000 55.7678
9100 55.7753
9200 55.7828
9300 55.7903
9400 55.7978
9500 55.8053
9600 55.8128
9700 55.8203
9800 55.8278
9900 55.8353
10000 55.8428
10100 55.8503
10200 55.8578
10300 55.8653
10400 55.8728
10500 55.8803
10600 55.8878
10700 55.8953
10800 55.9028
10900 55.9103
11000 55.9178
11100 55.9253
11200 55.9328
11300 55.9403
11400 55.9478
11500 55.9553
11600 55.9628
11700 55.9703
11800 55.9778
11900 55.9853
12000 55.9928
12100 56.0003
12200 56.0078
12300 56.0153
12400 56.0228
12500 56.0303
12600 56.0378
12700 56.0453
12800 56.0528
12900 56.0603
13000 56.0678
13100 56.0753
13200 56.0828
13300 56.0903
13400 56.0978
13500 56.1053
13600 56.1128
13700 56.1203
13800 56.1278
13900 56.1353
14000 56.1428
14100 56.1503
14200 56.1578
14300 56.1653
14400 56.1728
14500 56.1803
14600 56.1878
14700 56.1953
14800 56.2028
14900 56.2103
15000 56.2178
15100 56.2253
15200 56.2328
15300 56.2403
15400 56.2478
15500 56.2553
15600 56.2628
15700 56.2703
15800 56.2778
15900 56.2853
16000 56.2928
16100 56.3003
16200 56.3078
16300 56.3153
16400 56.3228
16500 56.3303
16600 56.3378
16700 56.3453
16800 56.3528
16900 56.3603
17000 56.3678
17100 56.3753
17200 56.3828
17300 56.3903
17400 56.3978
17500 56.4053
17600 56.4128
17700 56.4203
17800 56.4278
17900 56.4353
18000 56.4428
18100 56.4503
18200 56.4578
18300 56.4653
18400 56.4728
18500 56.4803
18600 56.4878
18700 56.4953
18800 56.5028
18900 56.5103
19000 56.5178
19100 56.5253
19200 56.5328
19300 56.5403
19400 56.5478
19500 56.5553
19600 56.5628
19700 56.5703
19800 56.5778
19900 56.5853
20000 56.5928
20100 56.6003
20200 56.6078
20300 56.6153
20400 56.6228
20500 56.6303
20600 56.6378
20700 56.6453
20800 56.6528
20900 56.6603
21000 56.6678
21100 56.6753
21200 56.6828
21300 56.6903
21400 56.6978
21500 56.7053
21600 56.7128
21700 56.7203
21800 56.7278
21900 56.7353
22000 56.7428
22100 56.7503
22200 56.7578
22300 56.7653
22400 56.7728
22500 56.7803
22600 56.7878
22700 56.7953
22800 56.8028
22900 56.8103
23000 56.8178
23100 56.8253
23200 56.8328
23300 56.8403
23400 56.8478
23500 56.8553
23600 56.8628
23700 56.8703
23800 56.8778
23900 56.8853
24000 56.8928
24100 56.9003
24200 56.9078
24300 56.9153
24400 56.9228
24500 56.9303
24600 56.9378
24700 56.9453
24800 56.9528
24900 56.9603
25000 56.9678
25100 56.9753
25200 56.9828
25300 56.9903
25400 56.9978
25500 57.0053
25600 57.0128
25700 57.0203
25800 57.0278
25900 57.0353
26000 57.0428
26100 57.0503
26200 57.0578
26300 57.0653
26400 57.0728
