# Time-averaged data for fix at2
# TimeStep v_stress
8000 -1.34002e+10
10000 3.25575e+08
12000 5.60369e+08
14000 1.08858e+10
16000 1.63803e+10
18000 2.30955e+10
20000 2.92543e+10
22000 3.62777e+10
24000 4.11952e+10
26000 5.01959e+10
28000 5.25483e+10
30000 6.30518e+10
32000 6.6371e+10
34000 7.22814e+10
36000 8.04976e+10
38000 8.36897e+10
40000 8.906e+10
42000 9.68754e+10
44000 1.02044e+11
46000 1.0604e+11
48000 1.11714e+11
50000 1.17852e+11
52000 1.23807e+11
54000 1.28748e+11
56000 1.33864e+11
58000 1.38719e+11
60000 1.43727e+11
62000 1.48492e+11
64000 1.54112e+11
66000 1.58979e+11
68000 1.63457e+11
70000 1.68515e+11
72000 1.72952e+11
74000 1.77651e+11
76000 1.82529e+11
78000 1.86959e+11
80000 1.90888e+11
82000 1.95297e+11
84000 2.0039e+11
86000 2.04478e+11
88000 2.08566e+11
90000 2.12001e+11
92000 2.16988e+11
94000 2.20287e+11
96000 2.23695e+11
98000 2.28431e+11
100000 2.31773e+11
102000 2.34899e+11
104000 2.39973e+11
106000 2.43103e+11
108000 2.46342e+11
110000 2.51497e+11
112000 2.54811e+11
114000 2.58035e+11
116000 2.62243e+11
118000 2.64734e+11
120000 2.69556e+11
122000 2.7134e+11
124000 2.75353e+11
126000 2.79764e+11
128000 2.81408e+11
130000 2.86508e+11
132000 2.88976e+11
134000 2.92479e+11
136000 2.95368e+11
138000 2.97891e+11
140000 3.01836e+11
142000 3.04553e+11
144000 3.08307e+11
146000 3.10115e+11
148000 3.14283e+11
150000 3.17478e+11
152000 3.18062e+11
154000 3.21222e+11
156000 3.23563e+11
158000 3.26858e+11
160000 3.28788e+11
162000 3.3183e+11
164000 3.33702e+11
166000 3.3562e+11
168000 3.37073e+11
170000 3.40013e+11
172000 3.41216e+11
174000 3.45937e+11
176000 3.47512e+11
178000 3.4919e+11
180000 3.50507e+11
182000 3.53609e+11
184000 3.54959e+11
186000 3.55546e+11
188000 3.5827e+11
190000 3.58732e+11
192000 3.62902e+11
194000 3.62073e+11
196000 3.63087e+11
198000 3.64281e+11
200000 3.66865e+11
202000 3.68481e+11
204000 3.6956e+11
206000 3.71352e+11
208000 3.72141e+11
210000 3.74506e+11
212000 3.76245e+11
214000 3.77826e+11
216000 3.78681e+11
218000 3.8145e+11
220000 3.83269e+11
222000 3.84728e+11
224000 3.85599e+11
226000 3.89458e+11
228000 3.90228e+11
230000 3.93034e+11
232000 3.94122e+11
234000 3.97427e+11
236000 3.97699e+11
238000 3.99579e+11
240000 4.01385e+11
242000 4.04219e+11
244000 4.06771e+11
246000 4.08407e+11
248000 4.11236e+11
250000 4.12187e+11
252000 4.1685e+11
254000 4.18747e+11
256000 4.22606e+11
258000 4.23275e+11
260000 4.27824e+11
262000 4.30306e+11
264000 4.31664e+11
266000 4.35237e+11
268000 4.37915e+11
270000 4.42481e+11
272000 4.47035e+11
274000 4.49231e+11
276000 4.52434e+11
278000 4.55932e+11
280000 4.59376e+11
282000 4.63487e+11
284000 4.64699e+11
286000 4.69457e+11
288000 4.74897e+11
290000 4.7437e+11
292000 4.78869e+11
294000 4.81694e+11
296000 4.85316e+11
298000 4.86151e+11
300000 4.90627e+11
302000 4.93028e+11
304000 4.93938e+11
306000 4.9769e+11
308000 5.00414e+11
310000 5.01608e+11
312000 5.01377e+11
314000 5.05457e+11
316000 5.08276e+11
318000 5.09009e+11
320000 5.10516e+11
322000 5.10948e+11
324000 5.10638e+11
326000 5.13381e+11
328000 5.15527e+11
330000 5.15928e+11
332000 5.18213e+11
334000 5.17299e+11
336000 5.17483e+11
338000 5.1817e+11
340000 4.84654e+11
342000 3.97143e+10
344000 7.21492e+09
346000 7.1972e+09
348000 2.32569e+09
350000 1.73364e+09
352000 2.57488e+09
354000 6.23108e+08
356000 -1.69745e+09
358000 -3.11724e+09
360000 -1.5707e+09
362000 -9.29825e+08
364000 -1.00271e+09
366000 -1.1608e+09
368000 2.56845e+08
370000 1.24158e+09
372000 1.75596e+09
374000 1.06274e+09
376000 1.30178e+09
378000 8.51231e+08
380000 6.34108e+08
382000 -2.20207e+08
384000 -1.34079e+09
386000 -1.15979e+09
388000 -1.02719e+09
390000 -1.16618e+09
392000 -5.69105e+08
394000 -5.76149e+08
396000 3.19005e+08
398000 4.00895e+08
