# Time-averaged data for fix at2
# TimeStep v_stress
6000 2.03455e+10
7000 2.92929e+10
8000 3.33136e+10
9000 3.97566e+10
10000 4.75632e+10
11000 5.07152e+10
12000 5.95794e+10
13000 6.42778e+10
14000 6.95592e+10
15000 7.87862e+10
16000 8.11061e+10
17000 8.97857e+10
18000 9.53241e+10
19000 9.97053e+10
20000 1.08758e+11
21000 1.11865e+11
22000 1.196e+11
23000 1.25963e+11
24000 1.3041e+11
25000 1.38573e+11
26000 1.43174e+11
27000 1.49107e+11
28000 1.56959e+11
29000 1.60147e+11
30000 1.68403e+11
31000 1.74025e+11
32000 1.78724e+11
33000 1.8719e+11
34000 1.90812e+11
35000 1.98214e+11
36000 2.04452e+11
37000 2.08918e+11
38000 2.17065e+11
39000 2.21252e+11
40000 2.28068e+11
41000 2.35043e+11
42000 2.39304e+11
43000 2.46991e+11
44000 2.5266e+11
45000 2.57649e+11
46000 2.65686e+11
47000 2.69102e+11
48000 2.77557e+11
49000 2.82017e+11
50000 2.8794e+11
51000 2.95262e+11
52000 2.99747e+11
53000 3.06966e+11
54000 3.13725e+11
55000 3.17358e+11
56000 3.26322e+11
57000 3.29601e+11
58000 3.36765e+11
59000 3.43509e+11
60000 3.48366e+11
61000 3.56205e+11
62000 3.6053e+11
63000 3.66821e+11
64000 3.73568e+11
65000 3.78341e+11
66000 3.86423e+11
67000 3.90407e+11
68000 3.97198e+11
69000 4.03463e+11
70000 4.0867e+11
71000 4.16535e+11
72000 4.20475e+11
73000 4.27861e+11
74000 4.3398e+11
75000 4.38883e+11
76000 4.46936e+11
77000 4.50611e+11
78000 4.58525e+11
79000 4.63962e+11
80000 4.69491e+11
81000 4.76818e+11
82000 4.812e+11
83000 4.89155e+11
84000 4.93463e+11
85000 5.00415e+11
86000 5.07234e+11
87000 5.11236e+11
88000 5.19941e+11
89000 5.23716e+11
90000 5.30991e+11
91000 5.36943e+11
92000 5.42819e+11
93000 5.49469e+11
94000 5.54292e+11
95000 5.62344e+11
96000 5.66177e+11
97000 5.74152e+11
98000 5.7952e+11
99000 5.85264e+11
100000 5.92704e+11
101000 5.96631e+11
102000 6.0542e+11
103000 6.09027e+11
104000 6.16779e+11
105000 6.22378e+11
106000 6.28246e+11
107000 6.35119e+11
108000 6.40131e+11
109000 6.47712e+11
110000 6.52198e+11
111000 6.59761e+11
112000 6.64656e+11
113000 6.71999e+11
114000 6.77441e+11
115000 6.83643e+11
116000 6.90558e+11
117000 6.95339e+11
118000 7.03076e+11
119000 7.07626e+11
120000 7.15358e+11
121000 7.20046e+11
122000 7.27379e+11
123000 7.32901e+11
124000 7.39289e+11
125000 7.45642e+11
126000 7.51211e+11
127000 7.58421e+11
128000 7.6338e+11
129000 7.71268e+11
130000 7.75267e+11
131000 7.83642e+11
132000 7.87566e+11
133000 7.9616e+11
134000 8.00396e+11
135000 8.07959e+11
136000 8.1321e+11
137000 8.20129e+11
138000 8.25938e+11
139000 8.32345e+11
140000 8.38868e+11
141000 8.4431e+11
142000 8.51309e+11
143000 8.569e+11
144000 8.63794e+11
145000 8.69414e+11
146000 8.76453e+11
147000 8.8178e+11
148000 8.89171e+11
149000 8.93733e+11
150000 9.02062e+11
151000 9.06287e+11
152000 9.14452e+11
153000 9.18883e+11
154000 9.26625e+11
155000 9.31884e+11
156000 9.39316e+11
157000 9.43662e+11
158000 9.5239e+11
159000 9.56233e+11
160000 9.64547e+11
161000 9.69585e+11
162000 9.76847e+11
163000 9.81831e+11
164000 9.90075e+11
165000 9.94115e+11
166000 1.00231e+12
167000 1.00724e+12
168000 1.01496e+12
169000 1.01941e+12
170000 1.02809e+12
171000 1.03217e+12
172000 1.04017e+12
173000 1.04499e+12
174000 1.05332e+12
175000 1.05723e+12
176000 1.06574e+12
177000 1.07045e+12
178000 1.07862e+12
179000 1.08274e+12
180000 1.09094e+12
181000 1.09612e+12
182000 1.10362e+12
183000 1.10855e+12
184000 1.11635e+12
185000 1.12178e+12
186000 1.12869e+12
187000 1.13428e+12
188000 1.14146e+12
189000 1.14779e+12
190000 1.15384e+12
191000 1.16051e+12
192000 1.16638e+12
193000 1.17381e+12
194000 1.17901e+12
195000 1.18683e+12
196000 1.19136e+12
197000 1.19967e+12
198000 1.20433e+12
199000 1.21276e+12
200000 1.21716e+12
201000 1.22491e+12
202000 1.23036e+12
203000 1.23732e+12
204000 1.2442e+12
205000 1.25037e+12
