# Time-averaged data for fix at3
# TimeStep c_Tmid
100 190.378
200 233.642
300 253.758
400 275.562
500 289.579
600 289.173
700 299.479
800 298.748
900 297.726
1000 298.358
1100 298.606
1200 298.202
1300 301.759
1400 295.758
1500 307.039
1600 298.492
1700 296.014
1800 306.246
1900 294.876
2000 300.849
2100 299.685
2200 299.234
2300 298.699
2400 299.811
2500 298.34
2600 298.335
2700 299.468
2800 297.169
2900 301.042
3000 302.336
3100 295.144
3200 299.846
3300 296.822
3400 304.15
3500 299.609
3600 299.868
3700 300.185
3800 298.18
3900 302.089
4000 301.364
4100 299.121
4200 300.965
4300 297.238
4400 301.548
4500 298.813
4600 304.556
4700 299.387
4800 303.579
4900 297.27
5000 301.506
5100 299.444
5200 304.097
5300 298.959
5400 299.886
5500 301.087
5600 299.549
5700 300.697
5800 299.035
5900 298.068
6000 304.274
6100 301.459
6200 295.428
6300 300.281
6400 302.161
6500 296.52
6600 305.057
6700 299.857
6800 296.624
6900 300.645
7000 303.042
7100 298.364
7200 302.648
7300 298.126
7400 301.388
7500 303.699
7600 299.909
7700 298.452
7800 301.769
7900 302.827
8000 296.171
8100 301.49
8200 299.96
8300 303.559
8400 298.848
8500 299.595
8600 298.597
8700 299.895
8800 305.091
8900 300.226
9000 302.227
9100 297.297
9200 299.514
9300 302.949
9400 297.403
9500 302.982
9600 298.407
9700 300.539
9800 302.791
9900 300.239
10000 300.803
10100 299.22
10200 297.304
10300 306.349
10400 298.289
10500 300.199
10600 296.625
10700 300.424
10800 300.155
10900 299.541
11000 301.136
11100 302.861
11200 301.879
11300 299.763
11400 299.941
11500 300.986
11600 297.949
11700 299.778
11800 299.28
11900 299.658
12000 301.116
12100 300.078
12200 301.852
12300 301.173
12400 301.082
12500 298.72
12600 299.415
12700 299.095
12800 300.625
12900 299.793
13000 297.314
13100 299.647
13200 300.595
13300 302.979
13400 299.401
13500 302.05
13600 297.95
13700 299.499
13800 300.358
13900 301.146
14000 302.984
14100 299.72
14200 299.167
14300 301.352
14400 299.242
14500 300.845
14600 300.842
14700 300.286
14800 298.58
14900 299.204
15000 300.609
