# Time-averaged data for fix at1
# TimeStep v_L
1000 40.5248
2000 40.5248
3000 40.5248
4000 40.5248
5000 40.5248
6000 40.7248
7000 40.9248
8000 41.1248
9000 41.3248
10000 41.5248
11000 41.7248
12000 41.9248
13000 42.1248
14000 42.3248
15000 42.5248
16000 42.7248
17000 42.9248
18000 43.1248
19000 43.3248
20000 43.5248
21000 43.7248
22000 43.9248
23000 44.1248
24000 44.3248
25000 44.5248
26000 44.7248
27000 44.9248
28000 45.1248
29000 45.3248
30000 45.5248
31000 45.7248
32000 45.9248
33000 46.1248
34000 46.3248
35000 46.5248
36000 46.7248
37000 46.9248
38000 47.1248
39000 47.3248
40000 47.5248
41000 47.7248
42000 47.9248
43000 48.1248
44000 48.3248
45000 48.5248
46000 48.7248
47000 48.9248
48000 49.1248
49000 49.3248
50000 49.5248
51000 49.7248
52000 49.9248
53000 50.1248
54000 50.3248
55000 50.5248
56000 50.7248
57000 50.9248
58000 51.1248
59000 51.3248
60000 51.5248
61000 51.7248
62000 51.9248
63000 52.1248
64000 52.3248
65000 52.5248
66000 52.7248
67000 52.9248
68000 53.1248
69000 53.3248
70000 53.5248
71000 53.7248
72000 53.9248
73000 54.1248
74000 54.3248
75000 54.5248
76000 54.7248
77000 54.9248
78000 55.1248
79000 55.3248
80000 55.5248
81000 55.7248
82000 55.9248
83000 56.1248
84000 56.3248
85000 56.5248
86000 56.7248
87000 56.9248
88000 57.1248
89000 57.3248
90000 57.5248
91000 57.7248
92000 57.9248
93000 58.1248
94000 58.3248
95000 58.5248
96000 58.7248
97000 58.9248
98000 59.1248
99000 59.3248
100000 59.5248
101000 59.7248
102000 59.9248
103000 60.1248
104000 60.3248
105000 60.5248
