# Time-averaged data for fix myat1
# TimeStep f_mysf1[1] f_mysf2[1]
1000 -9.41157 5.29958
2000 0.0802627 9.8493
3000 -9.64582 5.15236
4000 -6.07073 9.68529
5000 -6.86515 1.53925
6000 -8.92771 9.87682
7000 -9.51917 11.3507
8000 -15.7828 6.38617
9000 -5.04546 19.2855
10000 -18.4142 12.9353
11000 -11.8819 14.0487
12000 -7.24303 3.89958
13000 -3.88965 12.7379
14000 -21.0563 9.0158
15000 -6.25904 7.78698
16000 -12.8664 14.8716
17000 -12.9173 14.9011
18000 -10.1745 3.82444
19000 -3.1858 12.1091
20000 -11.4291 10.5015
21000 -12.1427 8.94445
22000 -10.4138 9.79302
23000 -14.0067 9.34816
24000 -6.648 16.3435
25000 -14.5879 4.21252
26000 -6.62489 10.5828
27000 -15.2746 13.6561
28000 -13.5755 11.7577
29000 -7.32444 16.3987
30000 -8.46205 2.5899
31000 -6.96457 6.91718
32000 -6.91484 10.6834
33000 -5.73174 2.78414
34000 -7.0069 13.9688
35000 -9.31185 3.27277
36000 -11.2249 6.8617
37000 -9.22708 14.4206
38000 -5.84548 1.44868
39000 -5.80146 10.1114
40000 -2.28672 5.97357
41000 -8.84952 7.45605
42000 -11.0815 7.87225
43000 -15.472 12.6739
44000 -2.50046 7.53812
45000 -16.4979 11.4962
46000 -6.18177 10.3456
47000 -15.4729 15.2828
48000 -19.1859 13.7975
49000 -11.2396 17.3986
50000 -9.66754 7.68884
51000 -5.73656 6.06731
52000 -7.37923 6.7252
53000 -12.0741 17.119
54000 -14.96 6.5405
55000 -7.49959 16.3147
56000 -14.5623 2.57246
57000 -3.91356 16.9986
58000 -11.7222 6.5658
59000 -9.44453 5.89415
60000 -6.34115 12.9115
61000 -4.08622 2.1742
62000 -0.884127 3.26355
63000 -11.6821 4.26234
64000 -1.8318 1.76759
65000 -6.91318 7.75615
66000 -2.86208 7.76184
67000 -9.4266 9.94724
68000 -14.723 7.88809
69000 -13.6867 15.9437
70000 -12.1438 13.0816
71000 -12.3927 12.4809
72000 -4.99319 0.76117
73000 -8.0523 13.6628
74000 -14.6614 11.645
75000 -15.6258 15.3671
76000 -9.96092 12.6814
77000 -10.6592 8.98198
78000 -8.61867 13.8182
79000 -10.6502 4.53705
80000 -7.87212 10.4942
81000 -5.91544 9.84435
82000 -10.2371 7.4529
83000 -11.5299 8.69485
84000 -7.69597 11.9312
85000 -14.7267 11.7525
86000 -9.59452 12.6188
87000 -3.34486 5.01025
88000 -12.0695 4.85273
89000 -5.77139 7.86652
90000 -7.30405 8.04825
91000 -15.4472 8.61502
92000 -4.91354 18.4733
93000 -9.19487 3.86377
94000 -11.4919 10.5679
95000 -13.0951 12.834
96000 -16.6485 13.1308
97000 -12.7353 18.4766
98000 -11.8804 7.49789
99000 -10.9328 12.2271
100000 -5.59814 7.86774
101000 -10.8127 7.38753
102000 0.705699 3.4195
103000 -6.10892 5.68122
104000 -9.81379 7.18674
105000 -6.02027 10.3911
106000 -14.9875 10.7651
107000 -10.5629 16.7681
108000 -9.46495 2.6129
109000 -10.8352 7.75534
110000 -4.80432 8.71704
111000 -9.80393 7.18338
112000 -10.8637 12.2025
113000 -3.91706 1.11851
114000 0.402669 7.12238
115000 -13.2239 11.3049
116000 -11.1883 6.14512
117000 -15.4254 14.5418
118000 -7.15095 16.5005
119000 -11.292 6.44262
