# Chunk-averaged data for fix myac2 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 58 432
  1 -28.5 0 0 0
  2 -27.5 0 0 0
  3 -26.5 0 0 0
  4 -25.5 0 0 0
  5 -24.5 0 0 0
  6 -23.5 0 0 0
  7 -22.5 0 0 0
  8 -21.5 0 0 0
  9 -20.5 0 0 0
  10 -19.5 0 0 0
  11 -18.5 0 0 0
  12 -17.5 0 0 0
  13 -16.5 0 0 0
  14 -15.5 28.5767 2.17902 -2.27628e-07
  15 -14.5 43.4233 3.31111 -8.89866e-08
  16 -13.5 26.1085 1.99082 2.11747e-06
  17 -12.5 45.8915 3.49931 -1.28931e-06
  18 -11.5 23.9653 1.82739 -3.02083e-06
  19 -10.5 48.0347 3.66273 1.29041e-06
  20 -9.5 0 0 0
  21 -8.5 0 0 0
  22 -7.5 0 0 0
  23 -6.5 0 0 0
  24 -5.5 0 0 0
  25 -4.5 0 0 0
  26 -3.5 0 0 0
  27 -2.5 0 0 0
  28 -1.5 0 0 0
  29 -0.5 0 0 0
  30 0.5 0 0 0
  31 1.5 0 0 0
  32 2.5 0 0 0
  33 3.5 0 0 0
  34 4.5 0 0 0
  35 5.5 0 0 0
  36 6.5 0 0 0
  37 7.5 0 0 0
  38 8.5 0 0 0
  39 9.5 0 0 0
  40 10.5 60.9608 4.64837 1.72125e-06
  41 11.5 11.0392 0.841759 -7.94834e-06
  42 12.5 59.6263 4.54661 1.32677e-06
  43 13.5 12.3737 0.943514 -5.99638e-06
  44 14.5 57.7093 4.40044 1.87245e-07
  45 15.5 14.2907 1.08969 -7.53238e-07
  46 16.5 0 0 0
  47 17.5 0 0 0
  48 18.5 0 0 0
  49 19.5 0 0 0
  50 20.5 0 0 0
  51 21.5 0 0 0
  52 22.5 0 0 0
  53 23.5 0 0 0
  54 24.5 0 0 0
  55 25.5 0 0 0
  56 26.5 0 0 0
  57 27.5 0 0 0
  58 28.5 0 0 0
