# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 58 1029
  1 -28.5 0 0 0
  2 -27.5 0 0 0
  3 -26.5 0 0 0
  4 -25.5 0 0 0
  5 -24.5 0 0 0
  6 -23.5 0 0 0
  7 -22.5 0 0 0
  8 -21.5 0 0 0
  9 -20.5 0 0 0
  10 -19.5 0 0 0
  11 -18.5 0 0 0
  12 -17.5 0 0 0
  13 -16.5 0 0 0
  14 -15.5 0 0 0
  15 -14.5 0 0 0
  16 -13.5 0 0 0
  17 -12.5 0 0 0
  18 -11.5 0 0 0
  19 -10.5 0 0 0
  20 -9.5 0 0 0
  21 -8.5 0 0 0
  22 -7.5 11.5977 0.0333855 1.65573e-05
  23 -6.5 172.76 3.43381 -2.84219e-06
  24 -5.5 28.7233 0.105481 1.06977e-05
  25 -4.5 44.8121 0.765875 4.98566e-05
  26 -3.5 96.0857 1.68758 5.5078e-05
  27 -2.5 41.3809 0.646193 8.12917e-05
  28 -1.5 56.0695 1.00872 0.000100432
  29 -0.5 64.2358 1.03953 9.09615e-05
  30 0.5 60.9944 1.01574 8.42874e-05
  31 1.5 58.0186 1.05265 8.79007e-05
  32 2.5 43.5505 0.706693 6.9067e-05
  33 3.5 93.1182 1.49425 5.27614e-05
  34 4.5 41.5655 0.84967 3.31002e-05
  35 5.5 33.4231 0.116664 3.85852e-06
  36 6.5 169.269 3.46743 -2.76611e-06
  37 7.5 13.3959 0.0394457 2.41162e-05
  38 8.5 0 0 0
  39 9.5 0 0 0
  40 10.5 0 0 0
  41 11.5 0 0 0
  42 12.5 0 0 0
  43 13.5 0 0 0
  44 14.5 0 0 0
  45 15.5 0 0 0
  46 16.5 0 0 0
  47 17.5 0 0 0
  48 18.5 0 0 0
  49 19.5 0 0 0
  50 20.5 0 0 0
  51 21.5 0 0 0
  52 22.5 0 0 0
  53 23.5 0 0 0
  54 24.5 0 0 0
  55 25.5 0 0 0
  56 26.5 0 0 0
  57 27.5 0 0 0
  58 28.5 0 0 0
