# Time-averaged data for fix myat1
# TimeStep v_deltaz
0 28.28
100 28.2561
200 28.207
300 28.1788
400 28.1774
500 28.1767
600 28.1622
700 28.1573
800 28.1764
900 28.2184
1000 28.2654
1100 28.3185
1200 28.3726
1300 28.4552
1400 28.5463
1500 28.6162
1600 28.7121
1700 28.812
1800 28.8953
1900 28.9915
2000 29.0935
2100 29.1813
2200 29.2599
2300 29.3178
2400 29.3997
2500 29.4746
2600 29.5476
2700 29.6318
2800 29.7239
2900 29.8203
3000 29.9156
3100 29.9978
3200 30.0487
3300 30.0916
3400 30.1408
3500 30.1725
3600 30.1948
3700 30.2278
3800 30.2665
3900 30.2699
4000 30.2578
4100 30.2387
4200 30.2096
4300 30.1642
4400 30.0958
4500 30.0244
4600 29.9563
4700 29.8724
4800 29.7866
4900 29.7037
5000 29.6334
5100 29.593
5200 29.5611
5300 29.4978
5400 29.4107
5500 29.3124
5600 29.2158
5700 29.1462
5800 29.1027
5900 29.0695
6000 29.0382
6100 28.9854
6200 28.918
6300 28.8364
6400 28.7624
6500 28.7029
6600 28.6568
6700 28.6226
6800 28.5761
6900 28.5229
7000 28.4834
7100 28.4246
7200 28.352
7300 28.2929
7400 28.2466
7500 28.2225
7600 28.2215
7700 28.234
7800 28.2379
7900 28.2341
8000 28.2416
8100 28.2835
8200 28.3137
8300 28.332
8400 28.3422
8500 28.356
8600 28.3724
8700 28.3815
8800 28.3808
8900 28.3934
9000 28.4266
9100 28.4685
9200 28.5214
9300 28.5749
9400 28.6041
9500 28.6136
9600 28.6144
9700 28.6167
9800 28.6134
9900 28.6155
10000 28.6226
10100 28.6236
10200 28.6138
10300 28.5884
10400 28.5729
10500 28.5416
10600 28.5045
10700 28.4929
10800 28.4706
10900 28.4301
11000 28.3959
11100 28.3555
11200 28.3021
11300 28.2504
11400 28.2232
11500 28.1905
11600 28.1375
11700 28.0893
11800 28.065
11900 28.0604
12000 28.077
12100 28.0829
12200 28.0766
12300 28.0493
12400 28.0156
12500 27.9797
12600 27.9584
12700 27.9551
12800 27.9565
12900 27.9558
13000 27.9606
13100 27.9771
13200 27.9849
13300 27.9753
13400 27.962
13500 27.9624
13600 27.9691
13700 27.9719
13800 27.962
13900 27.9561
14000 27.9833
14100 28.0082
14200 28.0092
14300 28.0007
14400 27.9901
14500 27.9854
14600 28.007
14700 28.038
14800 28.0372
14900 28.0034
15000 27.9794
15100 27.9846
15200 28.0076
15300 28.0234
15400 28.0346
15500 28.0334
15600 28.0163
15700 28.0085
15800 28.0007
15900 27.9941
16000 28.0114
16100 28.0322
16200 28.0332
16300 28.028
16400 28.0341
16500 28.0449
16600 28.0693
16700 28.0813
16800 28.078
16900 28.0639
17000 28.0426
17100 28.0126
17200 27.986
17300 27.9604
17400 27.9271
17500 27.8954
17600 27.8606
17700 27.8369
17800 27.8197
17900 27.7946
18000 27.7788
18100 27.7563
18200 27.7278
18300 27.7282
18400 27.739
18500 27.7483
18600 27.7528
18700 27.748
18800 27.7339
18900 27.7066
19000 27.6769
19100 27.6624
19200 27.648
19300 27.631
19400 27.6203
19500 27.6117
19600 27.601
19700 27.5904
19800 27.5663
19900 27.5299
20000 27.4953
20100 27.4791
20200 27.4786
20300 27.495
20400 27.5174
20500 27.522
20600 27.5157
20700 27.5132
20800 27.4957
20900 27.476
21000 27.4507
21100 27.4274
21200 27.4016
21300 27.3765
21400 27.3429
21500 27.3194
21600 27.2911
21700 27.2512
21800 27.2405
21900 27.2579
22000 27.2746
22100 27.3077
22200 27.3372
22300 27.3618
22400 27.3843
22500 27.4174
22600 27.4641
22700 27.5193
22800 27.5875
22900 27.647
23000 27.6654
23100 27.6622
23200 27.65
23300 27.62
23400 27.6072
23500 27.6369
23600 27.6837
23700 27.7038
23800 27.7026
23900 27.6848
24000 27.6745
24100 27.6661
24200 27.6576
24300 27.6577
24400 27.6605
24500 27.6659
24600 27.6671
24700 27.6551
24800 27.638
24900 27.6259
25000 27.6261
25100 27.6463
25200 27.6765
25300 27.686
25400 27.667
25500 27.6545
25600 27.6556
25700 27.6641
25800 27.661
25900 27.6669
26000 27.678
26100 27.6767
26200 27.6682
26300 27.6416
26400 27.6194
26500 27.6174
26600 27.6074
26700 27.5853
26800 27.5568
26900 27.5221
27000 27.4864
27100 27.4375
27200 27.3979
27300 27.3768
27400 27.3633
27500 27.3444
27600 27.336
27700 27.3488
27800 27.3627
27900 27.3777
28000 27.3946
28100 27.4074
28200 27.4421
28300 27.4605
28400 27.449
28500 27.4298
28600 27.4156
28700 27.4143
28800 27.4305
28900 27.4685
29000 27.4973
29100 27.5182
29200 27.5381
29300 27.5783
29400 27.6318
29500 27.6946
29600 27.7611
29700 27.8365
29800 27.9064
29900 27.9499
30000 27.9606
