# Chunk-averaged data for fix myac2 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 58 432
  1 -28.5 0 0 0
  2 -27.5 0 0 0
  3 -26.5 0 0 0
  4 -25.5 0 0 0
  5 -24.5 0 0 0
  6 -23.5 0 0 0
  7 -22.5 0 0 0
  8 -21.5 0 0 0
  9 -20.5 0 0 0
  10 -19.5 0 0 0
  11 -18.5 0 0 0
  12 -17.5 0 0 0
  13 -16.5 0 0 0
  14 -15.5 0 0 0
  15 -14.5 0 0 0
  16 -13.5 63.7893 4.86404 -0.0002
  17 -12.5 8.21073 0.626083 -0.0002
  18 -11.5 61.8287 4.71455 -0.0002
  19 -10.5 10.1713 0.775577 -0.0002
  20 -9.5 57.6117 4.393 -0.0002
  21 -8.5 14.3883 1.09713 -0.0002
  22 -7.5 0 0 0
  23 -6.5 0 0 0
  24 -5.5 0 0 0
  25 -4.5 0 0 0
  26 -3.5 0 0 0
  27 -2.5 0 0 0
  28 -1.5 0 0 0
  29 -0.5 0 0 0
  30 0.5 0 0 0
  31 1.5 0 0 0
  32 2.5 0 0 0
  33 3.5 0 0 0
  34 4.5 0 0 0
  35 5.5 0 0 0
  36 6.5 0 0 0
  37 7.5 0 0 0
  38 8.5 17.1621 1.30864 0.0002
  39 9.5 54.8379 4.18148 0.0002
  40 10.5 12.967 0.988757 0.0002
  41 11.5 59.033 4.50137 0.0002
  42 12.5 10.2163 0.779008 0.0002
  43 13.5 61.7837 4.71112 0.0002
  44 14.5 0 0 0
  45 15.5 0 0 0
  46 16.5 0 0 0
  47 17.5 0 0 0
  48 18.5 0 0 0
  49 19.5 0 0 0
  50 20.5 0 0 0
  51 21.5 0 0 0
  52 22.5 0 0 0
  53 23.5 0 0 0
  54 24.5 0 0 0
  55 25.5 0 0 0
  56 26.5 0 0 0
  57 27.5 0 0 0
  58 28.5 0 0 0
