# Chunk-averaged data for fix myac5 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 566 432
  1 -28.25 0 0 0
  2 -28.15 0 0 0
  3 -28.05 0 0 0
  4 -27.95 0 0 0
  5 -27.85 0 0 0
  6 -27.75 0 0 0
  7 -27.65 0 0 0
  8 -27.55 0 0 0
  9 -27.45 0 0 0
  10 -27.35 0 0 0
  11 -27.25 0 0 0
  12 -27.15 0 0 0
  13 -27.05 0 0 0
  14 -26.95 0 0 0
  15 -26.85 0 0 0
  16 -26.75 0 0 0
  17 -26.65 0 0 0
  18 -26.55 0 0 0
  19 -26.45 0 0 0
  20 -26.35 0 0 0
  21 -26.25 0 0 0
  22 -26.15 0 0 0
  23 -26.05 0 0 0
  24 -25.95 0 0 0
  25 -25.85 0 0 0
  26 -25.75 0 0 0
  27 -25.65 0 0 0
  28 -25.55 0 0 0
  29 -25.45 0 0 0
  30 -25.35 0 0 0
  31 -25.25 0 0 0
  32 -25.15 0 0 0
  33 -25.05 0 0 0
  34 -24.95 0 0 0
  35 -24.85 0 0 0
  36 -24.75 0 0 0
  37 -24.65 0 0 0
  38 -24.55 0 0 0
  39 -24.45 0 0 0
  40 -24.35 0 0 0
  41 -24.25 0 0 0
  42 -24.15 0 0 0
  43 -24.05 0 0 0
  44 -23.95 0 0 0
  45 -23.85 0 0 0
  46 -23.75 0 0 0
  47 -23.65 0 0 0
  48 -23.55 0 0 0
  49 -23.45 0 0 0
  50 -23.35 0 0 0
  51 -23.25 0 0 0
  52 -23.15 0 0 0
  53 -23.05 0 0 0
  54 -22.95 0 0 0
  55 -22.85 0 0 0
  56 -22.75 0 0 0
  57 -22.65 0 0 0
  58 -22.55 0 0 0
  59 -22.45 0 0 0
  60 -22.35 0 0 0
  61 -22.25 0 0 0
  62 -22.15 0 0 0
  63 -22.05 0 0 0
  64 -21.95 0 0 0
  65 -21.85 0 0 0
  66 -21.75 0 0 0
  67 -21.65 0 0 0
  68 -21.55 0 0 0
  69 -21.45 0 0 0
  70 -21.35 0 0 0
  71 -21.25 0 0 0
  72 -21.15 0 0 0
  73 -21.05 0 0 0
  74 -20.95 0 0 0
  75 -20.85 0 0 0
  76 -20.75 0 0 0
  77 -20.65 0 0 0
  78 -20.55 0 0 0
  79 -20.45 0 0 0
  80 -20.35 0 0 0
  81 -20.25 0 0 0
  82 -20.15 0 0 0
  83 -20.05 0 0 0
  84 -19.95 0 0 0
  85 -19.85 0 0 0
  86 -19.75 0 0 0
  87 -19.65 0 0 0
  88 -19.55 0 0 0
  89 -19.45 0 0 0
  90 -19.35 0 0 0
  91 -19.25 0 0 0
  92 -19.15 0 0 0
  93 -19.05 0 0 0
  94 -18.95 0 0 0
  95 -18.85 0 0 0
  96 -18.75 0 0 0
  97 -18.65 0 0 0
  98 -18.55 0 0 0
  99 -18.45 0 0 0
  100 -18.35 0 0 0
  101 -18.25 0 0 0
  102 -18.15 0 0 0
  103 -18.05 0 0 0
  104 -17.95 0 0 0
  105 -17.85 0 0 0
  106 -17.75 0 0 0
  107 -17.65 0 0 0
  108 -17.55 0 0 0
  109 -17.45 0 0 0
  110 -17.35 0 0 0
  111 -17.25 0 0 0
  112 -17.15 0 0 0
  113 -17.05 0 0 0
  114 -16.95 0 0 0
  115 -16.85 0 0 0
  116 -16.75 0 0 0
  117 -16.65 0 0 0
  118 -16.55 0 0 0
  119 -16.45 0 0 0
  120 -16.35 0 0 0
  121 -16.25 0 0 0
  122 -16.15 0 0 0
  123 -16.05 0 0 0
  124 -15.95 0 0 0
  125 -15.85 0 0 0
  126 -15.75 0.00533333 0.00406676 -0.000213483
  127 -15.65 0.0818 0.0623739 6.25261e-05
  128 -15.55 0.3828 0.291892 -8.00318e-05
  129 -15.45 1.16173 0.885842 4.04081e-05
  130 -15.35 3.2716 2.49465 1.89939e-05
  131 -15.25 5.95787 4.54298 2.96252e-06
  132 -15.15 7.89907 6.02318 -9.69188e-06
  133 -15.05 9.81647 7.48523 -3.05834e-06
  134 -14.95 11.5699 8.82228 -2.34262e-05
  135 -14.85 11.5507 8.80759 2.10285e-05
  136 -14.75 9.015 6.8741 9.52557e-07
  137 -14.65 6.0688 4.62757 -3.46695e-06
  138 -14.55 3.13767 2.39253 4.08041e-05
  139 -14.45 1.53527 1.17067 -5.00745e-05
  140 -14.35 0.4994 0.380801 -2.06635e-05
  141 -14.25 0.0458 0.0349233 -8.90254e-05
  142 -14.15 0.0008 0.000610014 -2.48183e-05
  143 -14.05 0 0 0
  144 -13.95 0 0 0
  145 -13.85 0 0 0
  146 -13.75 0.000666667 0.000508345 0.000177864
  147 -13.65 0.0436 0.0332458 6.66014e-06
  148 -13.55 0.261133 0.199119 2.24466e-05
  149 -13.45 0.8482 0.646767 -3.96831e-05
  150 -13.35 2.57487 1.96338 6.21005e-06
  151 -13.25 5.49347 4.18887 1.67856e-06
  152 -13.15 7.5118 5.72788 9.61107e-06
  153 -13.05 9.3748 7.14845 -1.57175e-06
  154 -12.95 11.2665 8.59093 -5.58669e-06
  155 -12.85 12.0043 9.15352 -2.29312e-06
  156 -12.75 9.73673 7.42443 2.24946e-06
  157 -12.65 6.79347 5.18014 -1.03353e-05
  158 -12.55 3.58 2.72981 2.87893e-05
  159 -12.45 1.77293 1.35189 -1.33042e-05
  160 -12.35 0.6892 0.525527 -2.36863e-05
  161 -12.25 0.0480667 0.0366517 0.000351712
  162 -12.15 0.0002 0.000152504 -0.00223702
  163 -12.05 0 0 0
  164 -11.95 0 0 0
  165 -11.85 0 0 0
  166 -11.75 0.000666667 0.000508345 7.69587e-05
  167 -11.65 0.0264 0.0201305 0.00014992
  168 -11.55 0.201067 0.153317 -5.53244e-05
  169 -11.45 0.7184 0.547793 -3.86901e-05
  170 -11.35 2.15447 1.64282 -2.79594e-05
  171 -11.25 4.83267 3.68499 -2.09795e-05
  172 -11.15 7.0494 5.37529 7.92356e-06
  173 -11.05 8.9822 6.84909 7.60199e-06
  174 -10.95 10.8603 8.28115 1.44095e-05
  175 -10.85 11.9071 9.0794 9.36628e-06
  176 -10.75 10.3068 7.85912 -1.65664e-05
  177 -10.65 7.41693 5.65554 -2.50171e-05
  178 -10.55 4.3348 3.30536 4.78173e-06
  179 -10.45 2.10067 1.6018 2.66697e-05
  180 -10.35 0.934133 0.712293 4.16964e-05
  181 -10.25 0.167133 0.127442 0.000196296
  182 -10.15 0.00673333 0.00513429 0.000246328
  183 -10.05 0.000133333 0.000101669 0.000724577
  184 -9.95 0 0 0
  185 -9.85 0 0 0
  186 -9.75 0 0 0
  187 -9.65 0 0 0
  188 -9.55 0 0 0
  189 -9.45 0 0 0
  190 -9.35 0 0 0
  191 -9.25 0 0 0
  192 -9.15 0 0 0
  193 -9.05 0 0 0
  194 -8.95 0 0 0
  195 -8.85 0 0 0
  196 -8.75 0 0 0
  197 -8.65 0 0 0
  198 -8.55 0 0 0
  199 -8.45 0 0 0
  200 -8.35 0 0 0
  201 -8.25 0 0 0
  202 -8.15 0 0 0
  203 -8.05 0 0 0
  204 -7.95 0 0 0
  205 -7.85 0 0 0
  206 -7.75 0 0 0
  207 -7.65 0 0 0
  208 -7.55 0 0 0
  209 -7.45 0 0 0
  210 -7.35 0 0 0
  211 -7.25 0 0 0
  212 -7.15 0 0 0
  213 -7.05 0 0 0
  214 -6.95 0 0 0
  215 -6.85 0 0 0
  216 -6.75 0 0 0
  217 -6.65 0 0 0
  218 -6.55 0 0 0
  219 -6.45 0 0 0
  220 -6.35 0 0 0
  221 -6.25 0 0 0
  222 -6.15 0 0 0
  223 -6.05 0 0 0
  224 -5.95 0 0 0
  225 -5.85 0 0 0
  226 -5.75 0 0 0
  227 -5.65 0 0 0
  228 -5.55 0 0 0
  229 -5.45 0 0 0
  230 -5.35 0 0 0
  231 -5.25 0 0 0
  232 -5.15 0 0 0
  233 -5.05 0 0 0
  234 -4.95 0 0 0
  235 -4.85 0 0 0
  236 -4.75 0 0 0
  237 -4.65 0 0 0
  238 -4.55 0 0 0
  239 -4.45 0 0 0
  240 -4.35 0 0 0
  241 -4.25 0 0 0
  242 -4.15 0 0 0
  243 -4.05 0 0 0
  244 -3.95 0 0 0
  245 -3.85 0 0 0
  246 -3.75 0 0 0
  247 -3.65 0 0 0
  248 -3.55 0 0 0
  249 -3.45 0 0 0
  250 -3.35 0 0 0
  251 -3.25 0 0 0
  252 -3.15 0 0 0
  253 -3.05 0 0 0
  254 -2.95 0 0 0
  255 -2.85 0 0 0
  256 -2.75 0 0 0
  257 -2.65 0 0 0
  258 -2.55 0 0 0
  259 -2.45 0 0 0
  260 -2.35 0 0 0
  261 -2.25 0 0 0
  262 -2.15 0 0 0
  263 -2.05 0 0 0
  264 -1.95 0 0 0
  265 -1.85 0 0 0
  266 -1.75 0 0 0
  267 -1.65 0 0 0
  268 -1.55 0 0 0
  269 -1.45 0 0 0
  270 -1.35 0 0 0
  271 -1.25 0 0 0
  272 -1.15 0 0 0
  273 -1.05 0 0 0
  274 -0.95 0 0 0
  275 -0.85 0 0 0
  276 -0.75 0 0 0
  277 -0.65 0 0 0
  278 -0.55 0 0 0
  279 -0.45 0 0 0
  280 -0.35 0 0 0
  281 -0.25 0 0 0
  282 -0.15 0 0 0
  283 -0.05 0 0 0
  284 0.05 0 0 0
  285 0.15 0 0 0
  286 0.25 0 0 0
  287 0.35 0 0 0
  288 0.45 0 0 0
  289 0.55 0 0 0
  290 0.65 0 0 0
  291 0.75 0 0 0
  292 0.85 0 0 0
  293 0.95 0 0 0
  294 1.05 0 0 0
  295 1.15 0 0 0
  296 1.25 0 0 0
  297 1.35 0 0 0
  298 1.45 0 0 0
  299 1.55 0 0 0
  300 1.65 0 0 0
  301 1.75 0 0 0
  302 1.85 0 0 0
  303 1.95 0 0 0
  304 2.05 0 0 0
  305 2.15 0 0 0
  306 2.25 0 0 0
  307 2.35 0 0 0
  308 2.45 0 0 0
  309 2.55 0 0 0
  310 2.65 0 0 0
  311 2.75 0 0 0
  312 2.85 0 0 0
  313 2.95 0 0 0
  314 3.05 0 0 0
  315 3.15 0 0 0
  316 3.25 0 0 0
  317 3.35 0 0 0
  318 3.45 0 0 0
  319 3.55 0 0 0
  320 3.65 0 0 0
  321 3.75 0 0 0
  322 3.85 0 0 0
  323 3.95 0 0 0
  324 4.05 0 0 0
  325 4.15 0 0 0
  326 4.25 0 0 0
  327 4.35 0 0 0
  328 4.45 0 0 0
  329 4.55 0 0 0
  330 4.65 0 0 0
  331 4.75 0 0 0
  332 4.85 0 0 0
  333 4.95 0 0 0
  334 5.05 0 0 0
  335 5.15 0 0 0
  336 5.25 0 0 0
  337 5.35 0 0 0
  338 5.45 0 0 0
  339 5.55 0 0 0
  340 5.65 0 0 0
  341 5.75 0 0 0
  342 5.85 0 0 0
  343 5.95 0 0 0
  344 6.05 0 0 0
  345 6.15 0 0 0
  346 6.25 0 0 0
  347 6.35 0 0 0
  348 6.45 0 0 0
  349 6.55 0 0 0
  350 6.65 0 0 0
  351 6.75 0 0 0
  352 6.85 0 0 0
  353 6.95 0 0 0
  354 7.05 0 0 0
  355 7.15 0 0 0
  356 7.25 0 0 0
  357 7.35 0 0 0
  358 7.45 0 0 0
  359 7.55 0 0 0
  360 7.65 0 0 0
  361 7.75 0 0 0
  362 7.85 0 0 0
  363 7.95 0 0 0
  364 8.05 0 0 0
  365 8.15 0 0 0
  366 8.25 0 0 0
  367 8.35 0 0 0
  368 8.45 0 0 0
  369 8.55 0 0 0
  370 8.65 0 0 0
  371 8.75 0 0 0
  372 8.85 0 0 0
  373 8.95 0 0 0
  374 9.05 0 0 0
  375 9.15 0 0 0
  376 9.25 0 0 0
  377 9.35 0 0 0
  378 9.45 0 0 0
  379 9.55 0 0 0
  380 9.65 0 0 0
  381 9.75 0 0 0
  382 9.85 0 0 0
  383 9.95 0 0 0
  384 10.05 0 0 0
  385 10.15 0.00313333 0.00238922 0.000297078
  386 10.25 0.0626 0.0477336 0.000131754
  387 10.35 0.535267 0.40815 -1.61133e-06
  388 10.45 2.50753 1.91204 6.12068e-06
  389 10.55 7.9136 6.03426 -7.69716e-07
  390 10.65 14.9686 11.4138 2.54246e-05
  391 10.75 15.4551 11.7848 -1.94618e-05
  392 10.85 11.5007 8.76951 -7.30299e-06
  393 10.95 8.01427 6.11102 1.14245e-05
  394 11.05 5.27213 4.02009 -1.2997e-05
  395 11.15 3.0284 2.30921 -1.57862e-05
  396 11.25 1.57633 1.20198 2.37751e-05
  397 11.35 0.912733 0.695975 -1.797e-05
  398 11.45 0.2366 0.180412 1.16142e-05
  399 11.55 0.0127333 0.00970939 0.000315405
  400 11.65 0.000266667 0.000203338 0.00279708
  401 11.75 0 0 0
  402 11.85 0 0 0
  403 11.95 0 0 0
  404 12.05 0 0 0
  405 12.15 0.000333333 0.000254173 0.000821862
  406 12.25 0.0225333 0.0171821 -0.00023875
  407 12.35 0.297267 0.226671 -0.000113465
  408 12.45 1.63393 1.2459 -1.39314e-05
  409 12.55 6.0942 4.64694 4.20989e-05
  410 12.65 14.0873 10.7418 9.16408e-07
  411 12.75 16.4147 12.5165 -1.10342e-06
  412 12.85 12.4008 9.45583 -1.79576e-05
  413 12.95 8.67527 6.61504 1.29151e-05
  414 13.05 5.7474 4.38249 -1.36325e-05
  415 13.15 3.48373 2.65641 6.06443e-06
  416 13.25 1.69653 1.29364 1.47872e-05
  417 13.35 1.1042 0.841972 -4.51183e-05
  418 13.45 0.3288 0.250716 1.71589e-05
  419 13.55 0.0129333 0.0098619 0.000175148
  420 13.65 6.66667e-05 5.08345e-05 -0.00220753
  421 13.75 0 0 0
  422 13.85 0 0 0
  423 13.95 0 0 0
  424 14.05 0 0 0
  425 14.15 0.0002 0.000152504 0.00258229
  426 14.25 0.0179333 0.0136745 -0.000467637
  427 14.35 0.227067 0.173142 -1.74031e-05
  428 14.45 1.31553 1.00312 -1.54498e-05
  429 14.55 4.94287 3.76902 -1.88252e-05
  430 14.65 12.1272 9.2472 1.40037e-05
  431 14.75 16.2153 12.3644 -3.61556e-06
  432 14.85 13.3832 10.2049 -4.6877e-07
  433 14.95 9.48007 7.22872 3.27821e-06
  434 15.05 6.3732 4.85968 -5.16277e-06
  435 15.15 4.03793 3.079 4.27492e-06
  436 15.25 2.07453 1.58187 1.94028e-05
  437 15.35 1.23653 0.942879 -4.74119e-05
  438 15.45 0.512 0.390409 2.55677e-05
  439 15.55 0.055 0.0419385 0.000193282
  440 15.65 0.00146667 0.00111836 -0.000319905
  441 15.75 0 0 0
