# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF_H2O_H2O[1] c_myRDF_H2O_H2O[2] c_myRDF_H2O_H2O[3]
200000 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0 0
24 1.175 0 0
25 1.225 0 0
26 1.275 0 0
27 1.325 0 0
28 1.375 0 0
29 1.425 0 0
30 1.475 0 0
31 1.525 0 0
32 1.575 0 0
33 1.625 0 0
34 1.675 0 0
35 1.725 0 0
36 1.775 0 0
37 1.825 0 0
38 1.875 0 0
39 1.925 0 0
40 1.975 0 0
41 2.025 0 0
42 2.075 0 0
43 2.125 0 0
44 2.175 0 0
45 2.225 0 0
46 2.275 0 0
47 2.325 0 0
48 2.375 0 0
49 2.425 0 0
50 2.475 0 0
51 2.525 3.38789e-05 3.13725e-06
52 2.575 0.00106178 0.000105392
53 2.625 0.0135654 0.00146304
54 2.675 0.0836927 0.0101613
55 2.725 0.301064 0.0426317
56 2.775 0.723737 0.123579
57 2.825 1.28916 0.273009
58 2.875 1.8383 0.493701
59 2.925 2.22844 0.770615
60 2.975 2.40525 1.07981
61 3.025 2.40362 1.39926
62 3.075 2.2863 1.71325
63 3.125 2.10556 2.0119
64 3.175 1.9125 2.29191
65 3.225 1.73544 2.55407
66 3.275 1.57699 2.79974
67 3.325 1.44245 3.03136
68 3.375 1.33363 3.25199
69 3.425 1.24899 3.46479
70 3.475 1.18063 3.67186
71 3.525 1.12598 3.87507
72 3.575 1.0832 4.07614
73 3.625 1.04741 4.27604
74 3.675 1.02013 4.47615
75 3.725 0.998057 4.67729
76 3.775 0.982609 4.88066
77 3.825 0.968938 5.08656
78 3.875 0.958494 5.2956
79 3.925 0.949875 5.50813
80 3.975 0.942467 5.72442
81 4.025 0.937365 5.94498
82 4.075 0.935263 6.17055
83 4.125 0.932031 6.40089
84 4.175 0.929951 6.63632
85 4.225 0.929675 6.87735
86 4.275 0.929334 7.12403
87 4.325 0.929016 7.37643
88 4.375 0.929305 7.63477
89 4.425 0.931996 7.89982
90 4.475 0.933363 8.17129
91 4.525 0.934914 8.44933
92 4.575 0.93763 8.73436
93 4.625 0.940851 9.02667
94 4.675 0.942808 9.32594
95 4.725 0.946251 9.63277
96 4.775 0.948721 9.94695
97 4.825 0.951484 10.2687
98 4.875 0.955673 10.5985
99 4.925 0.95957 10.9366
100 4.975 0.962934 11.2827
101 5.025 0.96831 11.6379
102 5.075 0.971931 12.0014
103 5.125 0.97729 12.3743
104 5.175 0.981405 12.756
105 5.225 0.986926 13.1473
106 5.275 0.992327 13.5484
107 5.325 0.997824 13.9593
108 5.375 1.00401 14.3806
109 5.425 1.00862 14.8117
110 5.475 1.01524 15.2537
111 5.525 1.02118 15.7065
112 5.575 1.02675 16.17
113 5.625 1.03245 16.6444
114 5.675 1.03708 17.1295
115 5.725 1.0404 17.6248
116 5.775 1.04231 18.1297
117 5.825 1.0433 18.6438
118 5.875 1.04266 19.1665
119 5.925 1.03963 19.6966
120 5.975 1.03507 20.2333
121 6.025 1.02913 20.7759
122 6.075 1.02388 21.3247
123 6.125 1.01772 21.8792
124 6.175 1.01307 22.4403
125 6.225 1.00903 23.0082
126 6.275 1.00439 23.5826
127 6.325 0.9996 24.1634
128 6.375 0.996804 24.7517
