# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF_PEG_H2O[1] c_myRDF_PEG_H2O[2] c_myRDF_PEG_H2O[3] c_myRDF_PEG_H2O[4] c_myRDF_PEG_H2O[5] c_myRDF_PEG_H2O[6] c_myRDF_PEG_H2O[7]
200000 200
1 0.025 0 0 0 0 0 0
2 0.075 0 0 0 0 0 0
3 0.125 0 0 0 0 0 0
4 0.175 0 0 0 0 0 0
5 0.225 0 0 0 0 0 0
6 0.275 0 0 0 0 0 0
7 0.325 0 0 0 0 0 0
8 0.375 0 0 0 0 0 0
9 0.425 0 0 0 0 0 0
10 0.475 0 0 0 0 0 0
11 0.525 0 0 0 0 0 0
12 0.575 0 0 0 0 0 0
13 0.625 0 0 0 0 0 0
14 0.675 0 0 0 0 0 0
15 0.725 0 0 0 0 0 0
16 0.775 0 0 0 0 0 0
17 0.825 0 0 0 0 0 0
18 0.875 0 0 0 0 0 0
19 0.925 0 0 0 0 0 0
20 0.975 0 0 0 0 0 0
21 1.025 0 0 0 0 0 0
22 1.075 0 0 0 0 0 0
23 1.125 0 0 0 0 0 0
24 1.175 0 0 0 0 0 0
25 1.225 0 0 0 0 0 0
26 1.275 0 0 0 0 0 0
27 1.325 0 0 0 0 0 0
28 1.375 0 0 0 0 0 0
29 1.425 0 0 0 0 0 0
30 1.475 0 0 0 0 0.000790324 2.5e-05
31 1.525 0 0 0 0 0.00221806 0.0001
32 1.575 0 0 0 0 0.00415896 0.00025
33 1.625 0 0 0 0 0.00260465 0.00035
34 1.675 0 0 0 0 0.0171604 0.00105
35 1.725 0 0 0 0 0.0323601 0.00245
36 1.775 0 0 0 0 0.0600341 0.0052
37 1.825 0 0 0 0 0.0934451 0.009725
38 1.875 0 0 0 0 0.151134 0.01745
39 1.925 0 0 0 0 0.18886 0.027625
40 1.975 0 0 0 0 0.254801 0.042075
41 2.025 0 0 0 0 0.280114 0.058775
42 2.075 0 0 0 0 0.320693 0.07885
43 2.125 0 0 0 0 0.356806 0.102275
44 2.175 0 0 0 0 0.40093 0.12985
45 2.225 0 0 0 0 0.4241 0.160375
46 2.275 0 0 0 0 0.442874 0.1937
47 2.325 0 0 0 0 0.456796 0.2296
48 2.375 0 0 0 0 0.468556 0.268025
49 2.425 0 0 0 0 0.457914 0.307175
50 2.475 0.000140357 1.25e-05 0 0 0.443249 0.34665
51 2.525 0.000539416 6.25e-05 0 0 0.44367 0.387775
52 2.575 0.00525155 0.00056875 0 0 0.455653 0.4317
53 2.625 0.0238945 0.0029625 0 0 0.461919 0.477975
54 2.675 0.0644029 0.0096625 0 0 0.487828 0.528725
55 2.725 0.143864 0.0251938 0 0 0.499037 0.5826
56 2.775 0.233407 0.051325 0 0 0.515605 0.640325
57 2.825 0.335483 0.09025 4.78818e-05 5.55556e-06 0.547073 0.7038
58 2.875 0.409836 0.1395 0.000323616 4.44444e-05 0.556295 0.77065
59 2.925 0.457346 0.196387 0.000781617 0.000141667 0.60055 0.84535
60 2.975 0.493104 0.259837 0.00274162 0.000494444 0.631826 0.92665
61 3.025 0.50677 0.327256 0.00885306 0.00167222 0.655085 1.0138
62 3.075 0.523431 0.399213 0.019095 0.00429722 0.681238 1.10745
63 3.125 0.503778 0.470737 0.0415951 0.0102028 0.704162 1.20742
64 3.175 0.483345 0.541575 0.0761366 0.0213611 0.720029 1.31295
65 3.225 0.461654 0.611381 0.120657 0.0396056 0.711268 1.4205
66 3.275 0.448868 0.681375 0.179742 0.0676333 0.749998 1.53745
67 3.325 0.436909 0.7516 0.250193 0.107847 0.766341 1.66063
68 3.375 0.422663 0.821594 0.336282 0.163536 0.799358 1.793
69 3.425 0.413162 0.892056 0.422307 0.235558 0.798618 1.9292
70 3.475 0.403316 0.962862 0.524796 0.327692 0.824788 2.074
71 3.525 0.41351 1.03756 0.618404 0.439406 0.830479 2.22403
72 3.575 0.422643 1.11609 0.693152 0.5682 0.856925 2.38325
73 3.625 0.425361 1.19736 0.78506 0.718181 0.862238 2.54798
74 3.675 0.438057 1.28337 0.859633 0.886969 0.86682 2.71818
75 3.725 0.454849 1.37512 0.910752 1.07069 0.875184 2.89473
76 3.775 0.461312 1.4707 0.962927 1.27019 0.883287 3.07773
77 3.825 0.465374 1.56969 0.995287 1.4819 0.862931 3.26127
78 3.875 0.483904 1.67532 1.00862 1.70208 0.871268 3.45147
79 3.925 0.507457 1.78898 1.01048 1.9284 0.867853 3.64585
80 3.975 0.538385 1.91266 1.01787 2.16222 0.850402 3.8412
81 4.025 0.560915 2.04477 1.00511 2.39895 0.8535 4.04223
82 4.075 0.590625 2.18736 0.987809 2.63743 0.844696 4.24615
83 4.125 0.619672 2.34065 0.98267 2.88052 0.82879 4.45118
84 4.175 0.649683 2.50529 0.962146 3.12434 0.842205 4.6646
85 4.225 0.684225 2.68286 0.957437 3.37281 0.835876 4.88152
86 4.275 0.714419 2.87268 0.944173 3.62367 0.835633 5.10355
87 4.325 0.746948 3.07581 0.942336 3.87994 0.830213 5.32932
88 4.375 0.786864 3.29477 0.928297 4.13826 0.837489 5.56238
89 4.425 0.832721 3.53182 0.927187 4.4022 0.840801 5.80173
90 4.475 0.877868 3.7874 0.91853 4.66962 0.825809 6.04215
91 4.525 0.919126 4.06101 0.913936 4.94168 0.867708 6.30045
92 4.575 0.949549 4.34995 0.917045 5.22074 0.854432 6.56045
93 4.625 0.972963 4.65252 0.915975 5.50559 0.854387 6.82615
94 4.675 1.00128 4.97067 0.912004 5.79537 0.850844 7.0965
95 4.725 1.00192 5.29587 0.916708 6.09291 0.860198 7.3757
96 4.775 1.01455 5.63218 0.909987 6.39456 0.846124 7.65618
97 4.825 1.02558 5.9793 0.907705 6.70178 0.870929 7.95095
98 4.875 1.03052 6.33536 0.904424 7.01427 0.885137 8.25677
99 4.925 1.03567 6.70057 0.901262 7.33209 0.870376 8.5637
100 4.975 1.03616 7.07341 0.899449 7.65574 0.880899 8.88068
101 5.025 1.0357 7.45362 0.895388 7.98443 0.881707 9.20435
102 5.075 1.03467 7.84104 0.890814 8.31799 0.895933 9.53983
103 5.125 1.02074 8.23082 0.885345 8.65607 0.903284 9.88475
104 5.175 1.00992 8.62402 0.88072 8.99897 0.89349 10.2326
105 5.225 1.00712 9.02376 0.874477 9.34605 0.921256 10.5983
106 5.275 0.994627 9.42612 0.873923 9.69959 0.923712 10.9719
107 5.325 0.988529 9.83363 0.871112 10.0587 0.945987 11.3619
108 5.375 0.980818 10.2456 0.861488 10.4205 0.927338 11.7514
109 5.425 0.980307 10.665 0.858516 10.7879 0.939713 12.1535
110 5.475 0.975176 11.09 0.860162 11.1627 0.940297 12.5633
111 5.525 0.961788 11.5168 0.855179 11.5422 0.925045 12.9738
112 5.575 0.951889 11.947 0.853261 11.9278 0.936356 13.3969
113 5.625 0.936836 12.3779 0.848329 12.318 0.941143 13.8298
114 5.675 0.92901 12.8129 0.847785 12.715 0.938781 14.2694
115 5.725 0.929761 13.2559 0.851813 13.1209 0.951416 14.7227
116 5.775 0.926647 13.7052 0.851398 13.5337 0.943521 15.1802
117 5.825 0.922895 14.1605 0.855427 13.9556 0.936211 15.642
118 5.875 0.920019 14.6221 0.853489 14.3839 0.943062 16.1152
119 5.925 0.904214 15.0836 0.857743 14.8217 0.947492 16.5988
120 5.975 0.904823 15.5532 0.857576 15.2668 0.947547 17.0906
121 6.025 0.889536 16.0227 0.869582 15.7257 0.941218 17.5874
122 6.075 0.889421 16.4999 0.870973 16.193 0.937437 18.0903
123 6.125 0.88062 16.9802 0.87951 16.6727 0.931408 18.5983
124 6.175 0.878143 17.467 0.882086 17.1617 0.932711 19.1154
125 6.225 0.874033 17.9594 0.887671 17.6618 0.93789 19.6438
126 6.275 0.874375 18.4599 0.896834 18.1752 0.948857 20.1869
127 6.325 0.86413 18.9625 0.897436 18.6971 0.941695 20.7346
128 6.375 0.87389 19.4789 0.910366 19.235 0.954357 21.2985
129 6.425 0.863663 19.9972 0.914456 19.7838 0.941394 21.8635
130 6.475 0.863296 20.5234 0.919182 20.3441 0.941472 22.4373
131 6.525 0.853055 21.0514 0.924994 20.9166 0.939135 23.0186
132 6.575 0.866055 21.5957 0.929091 21.5006 0.942607 23.611
133 6.625 0.862964 22.1464 0.929691 22.0938 0.936934 24.2089
134 6.675 0.86888 22.7092 0.935138 22.6995 0.945181 24.8211
135 6.725 0.867205 23.2794 0.933304 23.3132 0.933688 25.4351
136 6.775 0.868117 23.8587 0.933907 23.9364 0.933632 26.0581
137 6.825 0.870054 24.4479 0.935721 24.5701 0.92255 26.6828
138 6.875 0.877273 25.0507 0.937262 25.2141 0.923005 27.3171
139 6.925 0.880168 25.6643 0.941315 25.8704 0.914924 27.955
140 6.975 0.884578 26.29 0.935381 26.532 0.917865 28.6042
141 7.025 0.891039 26.9293 0.941441 27.2074 0.915822 29.2612
142 7.075 0.88901 27.5763 0.940354 27.8918 0.920685 29.9312
143 7.125 0.903608 28.2431 0.938674 28.5845 0.93782 30.6234
144 7.175 0.905505 28.9209 0.945219 29.292 0.921087 31.3128
145 7.225 0.909404 29.611 0.944967 30.0091 0.928708 32.0175
146 7.275 0.910885 30.3119 0.939979 30.7324 0.930965 32.7339
147 7.325 0.917505 31.0276 0.941292 31.4666 0.927561 33.4574
148 7.375 0.925483 31.7594 0.941745 32.2113 0.923057 34.1873
149 7.425 0.938755 32.5118 0.943626 32.9676 0.917311 34.9226
150 7.475 0.942926 33.2778 0.946583 33.7366 0.921914 35.6715
151 7.525 0.944688 34.0555 0.944485 34.5141 0.930718 36.4376
152 7.575 0.949505 34.8476 0.942111 35.3 0.921859 37.2067
153 7.625 0.953708 35.6537 0.945675 36.0994 0.936753 37.9985
154 7.675 0.963311 36.4787 0.943812 36.9076 0.934309 38.7986
155 7.725 0.969353 37.3197 0.944608 37.7271 0.925711 39.6017
156 7.775 0.969804 38.172 0.945956 38.5585 0.923174 40.413
157 7.825 0.970215 39.0356 0.944022 39.3988 0.931943 41.2426
158 7.875 0.962509 39.9034 0.944985 40.2508 0.934732 42.0854
