# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -4220.92
200 -4723.82
300 -4690.37
400 -4870.94
500 -4825.24
600 -4918.27
700 -4965.67
800 -4824.29
900 -4584.97
1000 -4763.62
1100 -4894.93
1200 -4862.51
1300 -4774.15
1400 -4831.85
1500 -4724.33
1600 -4977.69
1700 -5165.91
1800 -4906.01
1900 -4691.93
2000 -4888.59
2100 -4856.01
2200 -5005.47
2300 -4979.22
2400 -4837.03
2500 -4842.63
2600 -4832.89
2700 -4773.37
2800 -4614.18
2900 -4826.33
3000 -4859.03
3100 -5036.53
3200 -4959.79
3300 -4769.24
3400 -4749.53
3500 -4726.97
3600 -4647.52
3700 -4992.24
3800 -5044.91
3900 -4982.71
4000 -4909.18
4100 -4953.93
4200 -4777.26
4300 -4844.13
4400 -4919.99
4500 -4792.87
4600 -4692.56
4700 -4661.04
4800 -4885.56
4900 -5067.73
5000 -4791.5
5100 -4910.08
5200 -5016.31
5300 -4854.86
5400 -4731.12
5500 -5034.31
5600 -4847.35
5700 -4660.35
5800 -4736.18
5900 -4752.46
6000 -4844.18
6100 -4871.5
6200 -4629.11
6300 -4292.62
6400 -4670.93
6500 -4925.25
6600 -4990.05
6700 -4781.45
6800 -5015.31
6900 -5062.7
7000 -4726.84
7100 -4953.55
7200 -4869.16
7300 -4897.69
7400 -5019.23
7500 -5011.24
7600 -4869.99
7700 -4764.3
7800 -4700.13
7900 -4751.23
8000 -4913.04
8100 -4895.35
8200 -5021.06
8300 -4946.58
8400 -4693.19
8500 -4674.13
8600 -4919.75
8700 -4822.66
8800 -4656.07
8900 -4841.09
9000 -4751.27
9100 -4803.52
9200 -4791.9
9300 -4796.67
9400 -4744.51
9500 -4905.26
9600 -5061.36
9700 -4889.24
9800 -4804.61
9900 -4857.22
10000 -5007.2
10100 -5000.61
10200 -5017.19
10300 -4918.6
10400 -4803.48
10500 -4816.22
10600 -4930.84
10700 -4928.57
10800 -4705.99
10900 -4550.9
11000 -4646.19
11100 -4798.81
11200 -4846.68
11300 -4869.13
11400 -4670.85
11500 -4755.33
11600 -4946.32
11700 -5018.57
11800 -5031.88
11900 -4950.2
12000 -4975.53
12100 -4840.91
12200 -4760.95
12300 -5059.92
12400 -4950.94
12500 -4882.55
12600 -4958.15
12700 -4903.88
12800 -4782.49
12900 -4592.7
13000 -4760.9
13100 -4878.31
13200 -4963.51
13300 -4767.33
13400 -4647.41
13500 -4770.56
13600 -4745.97
13700 -4850.06
13800 -4916
13900 -4676.16
14000 -4695.92
14100 -4765.13
14200 -5031.76
14300 -4886.34
14400 -4917.2
14500 -4731.96
14600 -4827.12
14700 -4796.17
14800 -4756.7
14900 -5014.89
15000 -5068.49
15100 -5087.03
15200 -4885.41
15300 -4870.3
15400 -5101.32
15500 -4982.35
15600 -4697.59
15700 -4903.02
15800 -4895.34
15900 -4890.57
16000 -4946.19
16100 -4892.14
16200 -4778.26
16300 -4698.67
16400 -4828.58
16500 -4976.33
16600 -4821.83
16700 -4603.21
16800 -4890.52
16900 -5000.25
17000 -4994.49
17100 -4929.21
17200 -4891.91
17300 -4929.07
17400 -4907.59
17500 -4928.14
17600 -4872.91
17700 -4994.27
17800 -4965.85
17900 -5065.59
18000 -4746.76
18100 -4853.64
18200 -4872.49
18300 -5098.46
18400 -4822.12
18500 -4722.06
18600 -4821.47
18700 -4949.39
18800 -4894.18
18900 -4825.9
19000 -4685.74
19100 -4652.65
19200 -4774.06
19300 -4762.59
19400 -4697.19
19500 -5011.39
19600 -4905.4
19700 -4632.71
19800 -4876.92
19900 -4857.94
20000 -4819.19
20100 -4769.58
20200 -4853.26
20300 -4703.94
20400 -4703.86
20500 -5053.24
20600 -5171.4
20700 -4978.72
20800 -4876.7
20900 -4797.87
21000 -4985.05
21100 -4970.16
21200 -4886.95
21300 -4741.92
21400 -4702.54
21500 -4808.23
21600 -5006.2
