# Time-averaged data for fix myat2
# TimeStep v_myvol
100 42757.3
200 42903
300 43096
400 43316.8
500 43479.2
600 43607.3
700 43691.9
800 43718.1
900 43720.8
1000 43767.3
1100 43835
1200 43897.9
1300 43971.7
1400 44071.8
1500 44161.5
1600 44253.8
1700 44319.9
1800 44338.9
1900 44350.2
2000 44373.9
2100 44411.3
2200 44461.3
2300 44476.6
2400 44465.1
2500 44442.9
2600 44410.9
2700 44377.9
2800 44350.2
2900 44359.4
3000 44384.7
3100 44415.9
3200 44420.7
3300 44372.1
3400 44309
3500 44274.4
3600 44280.5
3700 44322.1
3800 44342.5
3900 44348.2
4000 44378.7
4100 44420
4200 44452.6
4300 44486.2
4400 44527.6
4500 44538.4
4600 44539.3
4700 44536.8
4800 44569.2
4900 44608.7
5000 44589.6
5100 44538.7
5200 44503.4
5300 44448.1
5400 44401
5500 44378.7
5600 44328.8
5700 44255.5
5800 44186.2
5900 44130.1
6000 44099
6100 44057.6
6200 44004
6300 44007.4
6400 44084.3
6500 44202.4
6600 44308.7
6700 44383.5
6800 44471.2
6900 44549.3
7000 44650.2
7100 44781.4
7200 44859.6
7300 44883.3
7400 44879.3
7500 44858.8
7600 44808.7
7700 44739.6
7800 44665.5
7900 44615.2
8000 44585.4
8100 44544.3
8200 44490.8
8300 44368.8
8400 44188.2
8500 44011.7
8600 43870.4
8700 43728.7
8800 43595.9
8900 43515.6
9000 43462.2
9100 43447
9200 43458.5
9300 43472
9400 43467
9500 43495.2
9600 43552.3
9700 43581.3
9800 43628.6
9900 43681.2
10000 43733.6
10100 43748.1
10200 43728.7
10300 43670.1
10400 43571.3
10500 43454.8
10600 43340.2
10700 43237.1
10800 43158.4
10900 43143.1
11000 43183.5
11100 43259.7
11200 43370
11300 43504.3
11400 43645.3
11500 43828
11600 44021.4
11700 44195.6
11800 44307.8
11900 44381
12000 44436.3
12100 44450.8
12200 44432.9
12300 44375.1
12400 44259.5
12500 44130.7
12600 43981.1
12700 43820.8
12800 43677.2
12900 43572.3
13000 43530.1
13100 43511.6
13200 43501.7
13300 43477.9
13400 43474.4
13500 43548.2
13600 43618.8
13700 43652.5
13800 43694.8
13900 43755.8
14000 43857.4
14100 43964.3
14200 44056
14300 44104.3
14400 44130.7
14500 44154.6
14600 44210.2
14700 44272.7
14800 44320.6
14900 44354.5
15000 44380.4
15100 44376.9
15200 44304
15300 44205
15400 44117.2
15500 44004.4
15600 43874.7
15700 43787.8
15800 43700.9
15900 43615.4
16000 43549.8
16100 43472.4
16200 43390.3
16300 43311.1
16400 43261.9
16500 43249.8
16600 43266.6
16700 43322.5
16800 43442.4
16900 43565.6
17000 43669.5
17100 43776.6
17200 43878.6
17300 43955.4
17400 43994
17500 44000.1
17600 44002.9
17700 44020.5
17800 44038.4
17900 44014.5
18000 43948.3
18100 43878
18200 43824.3
18300 43766.6
18400 43686.1
18500 43622.2
18600 43589.2
18700 43556.3
18800 43514.5
18900 43487
19000 43472.8
19100 43486.1
19200 43539.1
19300 43616.8
19400 43733.6
19500 43896.2
19600 44054.2
19700 44190.1
19800 44335
19900 44454.9
20000 44544.3
20100 44617.4
20200 44700.1
20300 44756.7
20400 44808.6
20500 44858.4
20600 44841.8
20700 44731.6
20800 44590.1
20900 44464.9
21000 44355
21100 44259.1
21200 44167.2
21300 44081.8
21400 44048.4
21500 44029.4
21600 44003.5
21700 43967.8
21800 43949.8
21900 43955.3
22000 43957.5
22100 43964.8
22200 43981
22300 43951.4
22400 43883.4
22500 43818.2
22600 43753.7
22700 43722.2
22800 43687.2
22900 43623.4
23000 43553.7
23100 43498.5
23200 43502
23300 43559.4
23400 43671.8
23500 43760
23600 43807.5
23700 43871.4
23800 43955.6
23900 44066
24000 44182.1
24100 44265.7
24200 44297.6
24300 44336.2
24400 44372.9
24500 44370.4
24600 44392.8
24700 44387.2
24800 44322.8
24900 44245.5
25000 44159.3
25100 44056
25200 43981.4
25300 43914.1
25400 43856.2
25500 43792.9
25600 43719.2
25700 43629.9
25800 43512.5
25900 43403.9
26000 43356.7
26100 43344.3
26200 43279.9
26300 43234.8
26400 43263.8
26500 43312.3
26600 43392.6
26700 43513.6
26800 43633.4
26900 43693
27000 43715.2
27100 43765.9
27200 43841.9
27300 43879.6
27400 43929.8
27500 43990.3
27600 44051
27700 44086
27800 44134.1
27900 44203.1
28000 44289.2
28100 44433
28200 44590.7
28300 44722.3
28400 44861.1
28500 44962.8
28600 45032.1
28700 45093.1
28800 45107.4
28900 45115.1
29000 45087.5
29100 45056.9
29200 45021.5
29300 44945.5
29400 44812.6
29500 44619
29600 44404.4
29700 44182.8
29800 43972.2
29900 43766.9
30000 43571.3
30100 43375.2
30200 43229.3
30300 43129.5
30400 43078.4
30500 43069.9
30600 43100.7
30700 43153.6
30800 43238.5
30900 43344.7
31000 43458.5
31100 43563.1
31200 43655.3
31300 43738.6
31400 43843.3
31500 43945.4
31600 44021.1
31700 44046.8
31800 44083.8
31900 44133.4
32000 44159.3
32100 44204.4
32200 44195.3
32300 44127.9
32400 44081.9
32500 44052.8
32600 44007
32700 43963.7
32800 43903.3
32900 43845.2
33000 43803.7
33100 43771.7
33200 43737.8
33300 43707.9
33400 43638.7
33500 43512.7
33600 43329.9
33700 43157
33800 43029.6
33900 42950.1
34000 42894.1
34100 42925.3
34200 43047.7
34300 43147.1
34400 43206.4
34500 43273.6
34600 43345.7
34700 43363.4
34800 43361.9
34900 43393.1
35000 43424.8
35100 43442.9
35200 43465.9
35300 43511.4
35400 43567.2
35500 43635.3
35600 43695.8
35700 43740.5
35800 43778.5
35900 43806
36000 43798.3
36100 43796.6
36200 43782.2
36300 43768.7
36400 43815.2
36500 43912.4
36600 44030.2
36700 44113.7
36800 44205.6
36900 44305.3
37000 44363.1
37100 44389.3
37200 44374.1
37300 44316.6
37400 44231.7
37500 44156.5
37600 44111.3
37700 44097.4
37800 44063.5
37900 44022.6
38000 44002.7
38100 43996.5
38200 43989.9
38300 43973.9
38400 44012.8
38500 44050
38600 44058.7
38700 44048.9
38800 44025.1
38900 44011.1
39000 44038.5
39100 44078.9
39200 44083.2
39300 44058.8
39400 44027.5
39500 43982.4
39600 43898.2
39700 43792.6
39800 43679.1
39900 43596.7
40000 43574.4
40100 43557.3
40200 43539.9
40300 43550.1
40400 43577.9
40500 43639.7
40600 43707.7
40700 43714.5
40800 43717.9
40900 43753.7
41000 43837.7
41100 43953.9
41200 44046.9
41300 44136.4
41400 44194
41500 44254
41600 44313.5
41700 44400.9
41800 44511.1
41900 44618.5
42000 44706
42100 44721.4
42200 44677.7
42300 44643.2
42400 44580.9
42500 44465.9
42600 44306
42700 44132.6
42800 43984.9
42900 43831.5
43000 43652.7
43100 43487.7
43200 43375.1
43300 43295.1
43400 43275.3
43500 43317.2
