# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 226.673
200 259.112
300 266.481
400 284.574
500 299.25
600 302.691
700 311.492
800 306.209
900 295.311
1000 298.629
1100 304.233
1200 306.304
1300 304.599
1400 297.904
1500 298.245
1600 295.402
1700 304.307
1800 305.514
1900 298.836
2000 299.594
2100 296.721
2200 293.54
2300 301.959
2400 303.721
2500 303.485
2600 299.065
2700 295.179
2800 299.445
2900 303.06
3000 301.572
3100 299.831
3200 300.239
3300 292.481
3400 291.934
3500 297.55
3600 296.034
3700 301.632
3800 300.379
3900 300.612
4000 297.577
4100 296.737
4200 297.166
4300 301.466
4400 298.747
4500 302.291
4600 303.166
4700 301.428
4800 298.227
4900 296.296
5000 298.611
5100 300.847
5200 304.999
5300 303.195
5400 298.156
5500 294.446
5600 298.928
5700 303.313
5800 302.223
5900 303.552
6000 293.717
6100 294.757
6200 299.93
6300 300.995
6400 303.476
6500 297.264
6600 292.92
6700 297.444
6800 299.714
6900 301.621
7000 299.441
7100 301.42
7200 303.52
7300 306.4
7400 302.222
7500 301.407
7600 303.051
7700 296.256
7800 300.227
7900 302.419
8000 304.341
8100 303.186
8200 294.559
8300 297.953
8400 297.603
8500 301.711
8600 301.064
8700 299.136
8800 294.911
8900 293.791
9000 298.887
9100 300.712
9200 298.999
9300 296.348
9400 293.869
9500 296.199
9600 299.958
9700 302.136
9800 303.016
9900 299.125
10000 292.208
10100 299.862
10200 300.44
10300 297.731
10400 296.41
10500 299.551
10600 305.774
10700 301.713
10800 302.992
10900 298.786
11000 296.089
11100 300.292
11200 304.231
11300 306.755
11400 301.729
11500 294.355
11600 298.633
11700 306.863
11800 301.291
11900 297.56
12000 296.882
12100 303.02
12200 303.375
12300 297.171
12400 295.91
12500 294.016
12600 297.311
12700 301.977
12800 300.899
12900 298.765
13000 294.349
13100 295.203
13200 298.516
13300 303.969
13400 303.492
13500 299.236
13600 296.475
13700 302.001
13800 305.219
13900 305.273
14000 300.587
14100 296.579
14200 300.713
14300 303.601
14400 299.152
14500 297.465
14600 296.749
14700 298.048
14800 304.361
14900 300.508
15000 298.204
15100 297.655
15200 300.98
15300 299.508
15400 297.597
15500 303.321
15600 305.763
15700 300.466
15800 298.567
15900 297.553
16000 299.1
16100 301.432
16200 301.284
16300 298.411
16400 294.656
16500 299.923
16600 298.51
16700 301.813
16800 303.704
16900 307.112
17000 306.864
17100 298.992
17200 298.046
17300 300.123
17400 303.464
17500 302.944
17600 299.341
17700 297.436
17800 296.271
17900 301.877
18000 300.157
18100 296.934
18200 298.417
18300 306.138
18400 306.194
18500 300.626
18600 293.893
18700 296.362
18800 302.038
18900 302.34
19000 298.22
19100 293.758
19200 293.339
19300 298.245
19400 304.016
19500 298.758
19600 300.65
19700 304.093
19800 303.076
19900 299.383
20000 296.162
20100 295.2
20200 301.275
20300 302.086
20400 297.913
20500 297.492
20600 301.778
20700 306.797
20800 301.96
20900 300.247
21000 298.571
21100 300.062
21200 301.873
21300 293.608
21400 295.22
21500 301.87
21600 302.054
21700 293.397
21800 299.873
21900 308.253
22000 307.34
22100 302.516
22200 300.374
22300 302.517
22400 301.782
22500 297.77
22600 296.447
22700 299.847
22800 301.769
22900 300.778
23000 295.712
23100 299.739
23200 305.247
23300 301.948
23400 300.499
23500 294.581
23600 300.509
23700 305.24
