# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 226.673
200 259.112
300 266.481
400 284.574
500 299.25
600 302.691
700 311.492
800 306.209
900 295.311
1000 298.629
1100 304.233
1200 306.304
1300 304.599
1400 297.904
1500 298.245
1600 295.402
1700 304.307
1800 305.514
1900 298.836
2000 299.594
2100 296.721
2200 293.54
2300 301.959
2400 303.721
2500 303.485
2600 299.065
2700 295.179
2800 299.445
2900 303.06
3000 301.572
3100 299.831
3200 300.239
3300 292.481
3400 291.934
3500 297.55
3600 296.034
3700 301.632
3800 300.379
3900 300.612
4000 297.577
4100 296.737
4200 297.166
4300 301.466
4400 298.747
4500 302.291
4600 303.166
4700 301.428
4800 298.227
4900 296.296
5000 298.611
5100 300.847
5200 304.999
5300 303.195
5400 298.156
5500 294.446
5600 298.928
5700 303.313
5800 302.223
5900 303.552
6000 293.717
6100 294.757
6200 299.93
6300 300.995
6400 303.476
6500 297.264
6600 292.92
6700 297.444
6800 299.714
6900 301.621
7000 299.441
7100 301.42
7200 303.52
7300 306.4
7400 302.222
7500 301.407
7600 303.051
7700 296.256
7800 300.227
7900 302.419
8000 304.341
8100 303.186
8200 294.559
8300 297.953
8400 297.603
8500 301.711
8600 301.064
8700 299.136
8800 294.911
8900 293.791
9000 298.887
9100 300.712
9200 298.999
9300 296.348
9400 293.869
9500 296.199
9600 299.958
9700 302.136
9800 303.016
9900 299.125
10000 292.208
10100 299.824
10200 301.084
10300 298.97
10400 298.203
10500 299.931
10600 307.568
10700 304.858
10800 297.708
10900 298.865
11000 301.96
11100 302.824
11200 296.73
11300 295.096
11400 298.874
11500 303.063
11600 305.672
11700 301.802
11800 299.102
11900 299.59
12000 297.618
12100 305.852
12200 301.728
12300 297.121
12400 298.385
12500 298.471
12600 306.521
12700 301.937
12800 300.041
12900 297.675
13000 299.068
13100 295.962
13200 296.84
13300 297.261
13400 299.464
13500 298.243
13600 300.583
13700 298.254
13800 292.282
13900 298.436
14000 301.063
14100 302.567
14200 302.632
14300 294.068
14400 292.458
14500 297.709
14600 299.507
14700 301.963
14800 303.691
14900 297.632
15000 297.829
15100 296.73
15200 300.032
15300 305.06
15400 304.21
15500 303.156
15600 303.048
15700 299.909
15800 297.374
15900 296.017
16000 297.917
16100 301.146
16200 303.905
16300 297.665
16400 294.992
16500 306.144
16600 306.12
16700 302.028
16800 300.767
16900 298.264
17000 296.176
17100 304.84
17200 307.386
17300 300.898
17400 298.787
17500 300.382
17600 303.369
17700 299.14
17800 300.595
17900 302.539
18000 299.304
18100 298.288
18200 303.041
18300 302.367
18400 302.087
18500 295.97
18600 297.245
18700 301.06
18800 298.81
18900 297.6
19000 297.021
19100 295.827
19200 299.182
19300 302.824
19400 299.135
19500 297.622
19600 297.235
19700 300.436
19800 303.538
19900 301.978
20000 301.324
20100 299.797
20200 297.006
20300 300.123
20400 304.396
20500 303.82
20600 301.667
20700 297.009
20800 299.654
20900 300.002
21000 301.579
21100 303.236
21200 298.038
21300 296.416
21400 296.294
21500 304.036
21600 304.542
21700 299.791
21800 300.136
21900 302.703
22000 296.709
22100 300.439
22200 299.903
22300 298.243
22400 304.128
22500 310.507
22600 303.06
22700 300.941
22800 299.691
22900 301.404
23000 300.58
23100 298.598
23200 293.468
23300 297.498
23400 303.104
23500 302.762
23600 300.794
23700 296.507
23800 299.087
23900 304.979
24000 305.365
24100 300.367
24200 301.185
24300 298.605
24400 300.013
24500 299.177
24600 302.135
24700 304.915
24800 301.001
24900 293.318
25000 296.263
25100 299.384
25200 302.661
25300 298.241
25400 295.557
25500 295.739
25600 297.347
25700 302.618
25800 295.111
25900 297.898
26000 300.597
26100 292.887
26200 294.043
26300 295.811
26400 301.768
26500 301.773
26600 297.127
26700 299.404
26800 293.52
26900 294.85
27000 303.384
27100 298.041
27200 298.387
27300 303.206
27400 302.188
27500 296.048
27600 292.953
27700 297.577
27800 300.653
27900 302.486
28000 300.524
28100 299.246
28200 301.904
28300 305.857
28400 303.876
28500 300.017
28600 300.738
28700 301.321
28800 298.736
28900 294.787
29000 299.39
29100 304.221
29200 305.434
29300 296.82
29400 295.852
29500 299.018
29600 305.614
29700 304.762
29800 301.3
29900 295.904
30000 298.42
30100 303.994
30200 302.938
30300 298.189
30400 295.204
30500 297.433
30600 300.252
30700 301.831
30800 297.968
30900 301.843
31000 299.31
31100 296.1
31200 297.09
31300 303.091
31400 304.754
31500 300.331
31600 294.492
31700 298.409
31800 303.303
31900 301.707
32000 306.128
32100 304.782
32200 299.458
32300 296.254
32400 300.491
32500 301.543
32600 304.9
32700 302.528
32800 300.443
32900 300.596
33000 298.346
33100 294.753
33200 294.226
33300 296.938
33400 303.308
33500 301.711
33600 298.715
33700 295.316
33800 298.438
33900 302.389
34000 306.348
34100 300.912
34200 297.901
34300 302.163
34400 303.257
34500 306.263
34600 304.104
34700 300.222
34800 296.745
34900 298.278
35000 305.265
35100 306.735
35200 297.795
35300 297.393
35400 297.366
35500 297.205
35600 300.98
35700 301.587
35800 295
35900 299.248
36000 301.082
36100 298.091
36200 300.011
36300 305.663
36400 301.682
36500 299.795
36600 296.132
36700 294.633
36800 296.334
36900 301.832
37000 302.765
37100 303.839
37200 307.07
37300 304.326
37400 301.043
37500 300.214
37600 300.991
37700 302.075
37800 306.537
37900 305.874
38000 300.991
38100 296.83
38200 298.363
38300 301.165
38400 305.011
38500 309.414
38600 302.158
38700 300.874
38800 301.107
38900 296.243
39000 296.538
39100 303.902
39200 306.373
39300 303.498
39400 295.069
39500 296.141
39600 299.986
39700 304.803
39800 306.361
39900 301.183
40000 300.269
40100 294.647
40200 302.142
40300 305.683
40400 301.944
40500 300.746
40600 299.619
40700 295.487
40800 291.381
40900 293.153
41000 297.102
41100 300.129
41200 304.776
41300 296.061
41400 296.6
41500 299.474
41600 301.474
41700 300.466
41800 302.386
41900 301.102
42000 297.326
42100 297.074
42200 303.299
42300 305.069
42400 297.35
42500 301.167
42600 296.789
42700 297.27
42800 301.513
42900 301.037
43000 303.718
43100 304.145
43200 297.686
43300 294.38
43400 297.861
43500 303.114
43600 298.285
43700 292.892
43800 296.396
43900 301.937
44000 297.034
44100 301.955
44200 307.159
44300 300.24
44400 296.215
44500 300.264
44600 303.313
44700 299.808
44800 295.532
44900 297.087
45000 298.705
45100 300.869
45200 299.375
45300 299.919
45400 304.133
45500 301.196
45600 298.955
45700 297.173
45800 298.569
45900 300.615
46000 306.533
46100 297.438
46200 297.025
46300 295.118
46400 297.936
46500 299.384
46600 303.465
46700 302.037
46800 294.92
46900 297.933
47000 298.423
47100 303.174
47200 300.442
47300 289.34
47400 292.945
47500 299.299
47600 300.201
47700 303.527
47800 293.245
47900 298.113
48000 304.633
48100 297.937
48200 297.683
48300 294.84
48400 299.805
48500 302.738
48600 306.927
48700 298.963
48800 298.457
48900 297.468
49000 302.874
49100 303.948
49200 302.827
49300 300.834
49400 298.596
49500 301.52
49600 299.94
49700 292.628
49800 300.049
49900 300.821
50000 299.602
50100 299.047
50200 300.122
50300 306.132
50400 300.193
50500 295.232
50600 299.295
50700 299.138
50800 302.236
50900 299.731
51000 299.126
51100 304.456
51200 301.556
51300 295.938
51400 296.447
51500 301.161
51600 300.652
51700 301.246
51800 303.878
51900 297.439
52000 295.188
52100 296.662
52200 306.8
52300 301.112
52400 302.012
52500 300.381
52600 300.255
52700 296.382
52800 300.313
52900 299.65
53000 297.09
53100 298.781
53200 296.962
53300 296.508
53400 299.679
53500 300.836
53600 300.908
53700 302.753
53800 294.506
53900 295.746
54000 298.7
54100 302.387
54200 302.031
54300 301.658
54400 307.703
54500 306.291
54600 297.088
54700 296.912
54800 299.01
54900 305.167
55000 296.867
55100 294.815
55200 294.746
55300 301.854
55400 304.78
55500 299.001
55600 299.673
55700 296.074
55800 292.615
55900 299.447
56000 303.421
56100 303.605
56200 297.831
56300 295.432
56400 299.071
56500 304.076
56600 302.301
56700 300.676
56800 304.178
56900 303.384
57000 302.99
57100 293.825
57200 296.015
57300 298.808
57400 302.835
57500 303.293
57600 303.584
57700 298.031
57800 296.658
57900 299.24
58000 305.338
58100 302.808
58200 300.558
58300 292.068
58400 292.601
58500 296.858
58600 301.136
58700 302.102
58800 296.896
58900 294.942
59000 297.945
59100 307.215
59200 300.654
59300 300.189
59400 294.697
59500 292.599
59600 296.338
59700 302.327
59800 297.963
59900 305.872
60000 302.316
