# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 954.664
200 566.72
300 380.969
400 317.376
500 286.299
600 282.004
700 293.187
800 310.049
900 312.602
1000 291.163
1100 293.49
1200 302.485
1300 297.911
1400 294.467
1500 304.224
1600 310.828
1700 289.587
1800 288.797
1900 305.836
2000 316.638
2100 298.732
2200 292.007
2300 298.141
2400 296.137
2500 302.043
2600 308.533
2700 300.391
2800 290.438
2900 296.442
3000 305.96
3100 306.316
3200 290.686
3300 296.064
3400 299.363
3500 311.193
3600 305.408
3700 288.031
3800 293.796
3900 310.45
4000 307.309
4100 298.141
4200 291.013
4300 299.279
4400 307.449
4500 313.716
4600 296.993
4700 291.088
4800 290.2
4900 304.409
5000 308.533
5100 305.211
5200 288.826
5300 298.454
5400 304.931
5500 299.713
5600 302.67
5700 298.834
5800 286.541
5900 300.811
6000 310.175
6100 305.038
6200 292.06
6300 295.904
6400 303.581
6500 300.083
6600 296.997
6700 296.535
6800 307.44
6900 318.059
7000 304.735
7100 297.836
7200 296.07
7300 303.281
7400 316.915
7500 293.508
7600 289.569
7700 302.07
7800 308.61
7900 300.937
8000 297.106
8100 313.508
8200 309.9
8300 293.833
8400 295.335
8500 308.55
8600 301.639
8700 294.682
8800 293.845
8900 295.206
9000 303.039
9100 311.859
9200 318.111
9300 307.49
9400 298.305
9500 293.311
9600 301.508
9700 313.144
9800 307.152
9900 294.92
10000 292.065
10100 309.249
10200 310.979
10300 294.49
10400 295.9
10500 293.718
10600 295.576
10700 306.131
10800 301.273
10900 296.186
11000 298.872
11100 292.923
11200 292.054
11300 293.472
11400 298.762
11500 307.473
11600 302.49
11700 293.351
11800 294.037
11900 304.64
12000 309.999
12100 295.192
12200 294.992
12300 301.553
12400 309.889
12500 303.784
12600 294.149
12700 294.297
12800 299.444
12900 310.597
13000 304.794
13100 304.149
13200 300.386
13300 298.949
13400 296.223
13500 294.527
13600 309.158
13700 310.316
13800 299.084
13900 293.596
14000 301.266
14100 306.186
14200 307.675
14300 310.073
14400 297.819
14500 291.905
14600 305.031
14700 298.01
14800 299.215
14900 311.947
15000 309.032
15100 300.79
15200 299.259
15300 292.97
15400 309.122
15500 317.877
15600 312.564
15700 300.331
15800 302.253
15900 299.797
16000 293.133
16100 302.776
16200 300.925
16300 296.466
16400 302.577
16500 301.129
16600 291.177
16700 296.771
16800 308.673
16900 309.734
17000 297.091
17100 295.734
17200 295.017
17300 305.976
17400 312.886
17500 308.472
17600 296.837
17700 299.459
17800 306.626
17900 318.677
18000 299.899
18100 301.031
18200 298.225
18300 300.049
18400 310.828
18500 311.134
18600 297.95
18700 280.703
18800 286.572
18900 296.978
19000 299.71
19100 304.56
19200 307.309
19300 298.633
19400 296.966
19500 298.301
19600 302.22
19700 303.146
19800 306.586
19900 307.495
20000 302.339
20100 294.185
20200 302.977
20300 294.624
20400 280.655
20500 294.584
20600 304.823
20700 297.144
20800 298.676
20900 302.802
21000 309.255
21100 303.254
21200 296.18
21300 302.351
21400 299.691
21500 293.475
21600 293.365
21700 305.993
21800 305.753
21900 303.044
22000 294.48
22100 279.998
22200 306.622
22300 308.094
22400 293.302
22500 297.104
22600 309.205
22700 320.279
22800 312.008
22900 300.162
23000 299.164
23100 300.731
23200 301.937
23300 299.283
23400 304.668
23500 304.395
23600 301.917
23700 303.18
23800 287.869
23900 286.885
24000 296.795
24100 306.378
24200 298.871
24300 289.776
24400 293.508
24500 306.166
24600 313.251
24700 302.469
24800 310.063
24900 288.287
25000 293.305
25100 300.184
25200 309.25
25300 303.918
25400 292.787
25500 297.65
25600 301.504
25700 289.762
25800 280.947
25900 295.391
26000 295.4
26100 304.929
26200 302.02
26300 284.935
26400 297.412
26500 309.306
26600 308.931
26700 298.302
26800 298.715
26900 302.204
27000 305.584
27100 304.532
27200 310.871
27300 294.966
27400 287.619
27500 287.966
27600 302.354
27700 301.815
27800 299.304
27900 304.793
28000 310.656
28100 297.413
28200 294.637
28300 294.956
28400 306.43
28500 309.102
28600 295.506
28700 285.485
28800 294.147
28900 302.894
29000 303.884
29100 306.675
29200 293.625
29300 290.741
29400 293.363
29500 303.934
29600 302.169
29700 299.3
29800 306.195
29900 307.521
30000 297.714
30100 304.85
30200 303.468
30300 304.991
30400 303.538
30500 295.482
30600 302.098
30700 297.316
30800 305.739
30900 303.855
31000 293.368
31100 297.491
31200 299.98
31300 297.584
31400 297.454
31500 286.721
31600 284.463
31700 291.781
31800 298.1
31900 305.42
32000 306.349
32100 291.899
32200 287.426
32300 296.542
32400 299.084
32500 300.645
32600 297.967
32700 301.804
32800 300.643
32900 299.107
33000 304.588
33100 298.738
33200 285.318
33300 283.581
33400 291.218
33500 299.289
33600 313.477
33700 302.127
33800 286.44
33900 300.846
34000 294.319
34100 296.563
34200 299.74
34300 307.57
34400 311.642
34500 308.117
34600 292.903
34700 300.914
34800 296.086
34900 311.844
35000 309.621
35100 307.052
35200 301.544
35300 292.519
35400 291.137
35500 308.836
35600 308.918
35700 292.51
35800 284.669
35900 281.094
36000 288.583
36100 300.508
36200 304.475
36300 302.105
36400 292.199
36500 284.584
36600 296.375
36700 301.43
36800 303.914
36900 305.445
37000 291.798
37100 290.21
37200 301.484
37300 306.732
37400 299.561
37500 292.774
37600 293.846
37700 302.288
37800 297.777
37900 302.417
38000 291.286
38100 304.588
38200 314.517
38300 297.206
38400 294.247
38500 298.437
38600 301.351
38700 298.418
38800 291.075
38900 294.284
39000 302.504
39100 305.076
39200 303.681
39300 297.625
39400 296.043
39500 298.577
39600 295.601
39700 296.837
39800 312.027
39900 307.56
40000 295.357
40100 297.613
40200 301.218
40300 301.167
40400 308.786
40500 297.915
40600 295.874
40700 298.356
40800 304.105
40900 300.667
41000 291.877
41100 305.364
41200 310.252
41300 304.549
41400 300.156
41500 295.241
41600 288.062
41700 309.526
41800 308.236
41900 298.873
42000 297.615
42100 310.888
42200 314.765
42300 298.979
42400 297.785
42500 300.162
42600 301.651
42700 302.275
42800 297.551
42900 295.213
43000 296.508
43100 290.84
43200 312.85
43300 301.172
43400 294.265
43500 300.389
43600 308.621
43700 310.265
43800 297.994
43900 292.665
44000 297.536
44100 303.246
44200 297.206
44300 293.225
44400 292.019
44500 296.005
44600 301.815
44700 309.998
44800 303.421
44900 279.921
45000 287.756
45100 297.225
45200 301.746
45300 300.694
45400 303.81
45500 297.998
45600 294.979
45700 297.852
45800 308.687
45900 304.012
46000 290.444
46100 299.037
46200 300.646
46300 304.961
46400 304.184
46500 303.266
46600 293.353
46700 289.462
46800 309.218
46900 299.972
47000 288.536
47100 295.158
47200 291.206
47300 288.314
47400 306.382
47500 308.955
47600 295.673
