# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 86.266
200 179.938
300 228.767
400 255.267
500 275.183
600 284.15
700 301.761
800 272.546
900 304.22
1000 289.245
1100 297.962
1200 294.369
1300 290.03
1400 285.498
1500 282.401
1600 300.369
1700 296.959
1800 289.611
1900 291.036
2000 318.481
2100 312.509
2200 299.67
2300 306.606
2400 297.895
2500 301.833
2600 294.975
2700 291.358
2800 284.609
2900 313.655
3000 309.517
3100 301.723
3200 302.442
3300 308.393
3400 289.508
3500 300.722
3600 308.726
3700 306.529
3800 304.703
3900 314.39
4000 303.062
4100 289.046
4200 299.435
4300 299.427
4400 293.107
4500 284.7
4600 303.797
4700 306.179
4800 303.457
4900 300.389
5000 296.025
5100 299.016
5200 296.15
5300 304.472
5400 308.127
5500 294.638
5600 299.132
5700 295.832
5800 300.34
5900 290.978
6000 297.553
6100 299.715
6200 311.588
6300 301.262
6400 306.336
6500 301.774
6600 295.567
6700 301.842
6800 294.025
6900 296.784
7000 292.909
7100 299.477
7200 309.503
7300 310.859
7400 296.549
7500 298.093
7600 292.019
7700 303.362
7800 305.24
7900 304.091
8000 292.143
8100 303.052
8200 292.829
8300 295.073
8400 292.783
8500 300.885
8600 299.442
8700 294.897
8800 293.834
8900 299.99
9000 295.631
9100 287.013
9200 290.235
9300 300.918
9400 311.08
9500 303.783
9600 307.53
9700 302.093
9800 304.478
9900 301.141
10000 306.501
