# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
11000100 -16.3425 -15
11000200 -16.4877 -15
11000300 -16.4866 -15
11000400 -16.5425 -15
11000500 -16.6285 -15
11000600 -16.8313 -15
11000700 -16.8889 -15
11000800 -16.7873 -15
11000900 -16.8099 -15
11001000 -16.8094 -15
11001100 -16.6988 -15
11001200 -16.4427 -15
11001300 -16.3594 -15
11001400 -16.5752 -15
11001500 -16.7607 -15
11001600 -16.6886 -15
11001700 -16.4816 -15
11001800 -16.4234 -15
11001900 -16.2328 -15
11002000 -16.2765 -15
11002100 -16.2527 -15
11002200 -16.101 -15
11002300 -16.0849 -15
11002400 -16.0192 -15
11002500 -15.9965 -15
11002600 -15.9083 -15
11002700 -15.9298 -15
11002800 -16.0049 -15
11002900 -15.8972 -15
11003000 -15.8656 -15
11003100 -15.7142 -15
11003200 -15.6252 -15
11003300 -15.6142 -15
11003400 -15.8287 -15
11003500 -15.7717 -15
11003600 -15.7867 -15
11003700 -15.7394 -15
11003800 -15.919 -15
11003900 -16.0358 -15
11004000 -16.2228 -15
11004100 -16.1414 -15
11004200 -16.0223 -15
11004300 -16.1497 -15
11004400 -16.4112 -15
11004500 -16.471 -15
11004600 -16.4256 -15
11004700 -16.4669 -15
11004800 -16.5137 -15
11004900 -16.6642 -15
11005000 -16.9143 -15
11005100 -16.9795 -15
11005200 -17.0977 -15
11005300 -17.024 -15
11005400 -17.0083 -15
11005500 -17.1478 -15
11005600 -16.9506 -15
11005700 -16.8102 -15
11005800 -16.8634 -15
11005900 -17.0458 -15
11006000 -16.851 -15
11006100 -16.4666 -15
11006200 -16.1781 -15
11006300 -16.0097 -15
11006400 -16.1354 -15
11006500 -16.0352 -15
11006600 -15.9982 -15
11006700 -16.0209 -15
11006800 -16.2888 -15
11006900 -16.2033 -15
11007000 -16.1233 -15
11007100 -16.0401 -15
11007200 -16.2158 -15
11007300 -16.4278 -15
11007400 -16.5199 -15
11007500 -16.7575 -15
11007600 -16.5443 -15
11007700 -16.4363 -15
11007800 -16.1814 -15
11007900 -16.2314 -15
11008000 -16.2085 -15
11008100 -16.3439 -15
11008200 -16.1836 -15
11008300 -15.8764 -15
11008400 -15.7156 -15
11008500 -15.8447 -15
11008600 -15.8822 -15
11008700 -15.9904 -15
11008800 -16.2832 -15
11008900 -16.1438 -15
11009000 -15.8808 -15
11009100 -15.8024 -15
11009200 -15.6458 -15
11009300 -15.727 -15
11009400 -15.8095 -15
11009500 -15.8251 -15
11009600 -15.7503 -15
11009700 -15.9267 -15
11009800 -16.0018 -15
11009900 -16.1971 -15
11010000 -16.4852 -15
11010100 -16.6811 -15
11010200 -16.45 -15
11010300 -16.2831 -15
11010400 -16.249 -15
11010500 -16.3687 -15
11010600 -16.2732 -15
11010700 -16.0572 -15
11010800 -15.9409 -15
11010900 -15.6396 -15
11011000 -15.2711 -15
11011100 -15.2674 -15
11011200 -15.3208 -15
11011300 -15.3647 -15
11011400 -15.1757 -15
11011500 -15.3162 -15
11011600 -15.2666 -15
11011700 -15.0748 -15
11011800 -15.0574 -15
11011900 -15.131 -15
11012000 -15.2872 -15
11012100 -15.3624 -15
11012200 -15.3781 -15
11012300 -15.5777 -15
11012400 -15.4946 -15
11012500 -15.3971 -15
11012600 -15.6948 -15
11012700 -15.7438 -15
11012800 -15.7514 -15
11012900 -15.4952 -15
11013000 -15.4377 -15
11013100 -15.3739 -15
11013200 -15.4315 -15
11013300 -15.3039 -15
11013400 -15.4845 -15
11013500 -15.4955 -15
11013600 -15.8661 -15
11013700 -15.8787 -15
11013800 -15.8534 -15
11013900 -15.7879 -15
11014000 -15.8262 -15
11014100 -16.1523 -15
11014200 -16.3273 -15
11014300 -16.2633 -15
11014400 -16.1577 -15
11014500 -16.0794 -15
11014600 -16.2275 -15
11014700 -16.1323 -15
11014800 -16.0758 -15
11014900 -16.2048 -15
11015000 -15.9819 -15
11015100 -15.958 -15
11015200 -15.6999 -15
11015300 -15.5936 -15
11015400 -15.3267 -15
11015500 -15.2745 -15
11015600 -15.5285 -15
11015700 -15.9487 -15
11015800 -15.9904 -15
11015900 -15.8901 -15
11016000 -15.8694 -15
11016100 -15.6774 -15
11016200 -15.7065 -15
11016300 -15.7426 -15
11016400 -15.4256 -15
11016500 -15.3967 -15
11016600 -15.345 -15
11016700 -15.3037 -15
11016800 -15.2605 -15
11016900 -15.3776 -15
