# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
25400100 -3.13879 -3
25400200 -3.12958 -3
25400300 -3.15161 -3
25400400 -3.01545 -3
25400500 -3.0124 -3
25400600 -2.78768 -3
25400700 -3.10106 -3
25400800 -3.09854 -3
25400900 -3.04632 -3
25401000 -3.1103 -3
25401100 -3.11649 -3
25401200 -3.12023 -3
25401300 -3.2144 -3
25401400 -3.07977 -3
25401500 -3.05958 -3
25401600 -2.97301 -3
25401700 -3.00571 -3
25401800 -3.05137 -3
25401900 -2.94206 -3
25402000 -3.04137 -3
25402100 -3.0072 -3
25402200 -3.15188 -3
25402300 -3.06494 -3
25402400 -3.11783 -3
25402500 -3.15543 -3
25402600 -3.11528 -3
25402700 -2.91227 -3
25402800 -3.0603 -3
25402900 -2.98267 -3
25403000 -2.92899 -3
25403100 -2.88898 -3
25403200 -2.99031 -3
25403300 -2.9413 -3
25403400 -2.82841 -3
25403500 -3.05829 -3
25403600 -3.0584 -3
25403700 -2.9834 -3
25403800 -3.06324 -3
25403900 -3.05486 -3
25404000 -3.13725 -3
25404100 -3.10678 -3
25404200 -3.21744 -3
25404300 -3.20559 -3
25404400 -3.08593 -3
25404500 -3.0867 -3
25404600 -3.05906 -3
25404700 -3.2468 -3
25404800 -3.37015 -3
25404900 -3.18705 -3
25405000 -3.02469 -3
25405100 -2.78606 -3
25405200 -3.0054 -3
25405300 -3.14058 -3
25405400 -3.05235 -3
25405500 -3.12007 -3
25405600 -3.23317 -3
25405700 -2.94455 -3
25405800 -2.99946 -3
25405900 -3.0555 -3
25406000 -2.87323 -3
25406100 -2.72519 -3
25406200 -3.02237 -3
25406300 -2.90231 -3
25406400 -2.92387 -3
25406500 -3.03432 -3
25406600 -2.94872 -3
25406700 -2.94066 -3
25406800 -3.12227 -3
25406900 -2.89495 -3
25407000 -2.87412 -3
25407100 -2.8086 -3
25407200 -2.90806 -3
25407300 -3.00643 -3
25407400 -2.98327 -3
25407500 -3.00281 -3
25407600 -3.04823 -3
25407700 -3.00478 -3
25407800 -3.128 -3
25407900 -3.20442 -3
25408000 -3.1311 -3
25408100 -2.96028 -3
25408200 -2.83651 -3
25408300 -3.0638 -3
25408400 -2.94648 -3
25408500 -3.07833 -3
25408600 -2.87224 -3
25408700 -2.96784 -3
25408800 -3.18627 -3
25408900 -3.0947 -3
25409000 -3.07452 -3
25409100 -3.14509 -3
25409200 -3.1276 -3
25409300 -3.12699 -3
25409400 -3.25658 -3
25409500 -3.27145 -3
25409600 -3.09643 -3
25409700 -2.96475 -3
25409800 -3.05238 -3
25409900 -3.09686 -3
25410000 -3.0237 -3
25410100 -2.91904 -3
25410200 -3.00645 -3
25410300 -3.12984 -3
25410400 -3.15761 -3
25410500 -3.12661 -3
25410600 -3.04568 -3
25410700 -3.03353 -3
25410800 -2.86106 -3
25410900 -2.83078 -3
25411000 -2.9849 -3
25411100 -3.07843 -3
25411200 -3.0323 -3
25411300 -3.16051 -3
25411400 -3.18133 -3
25411500 -3.03552 -3
25411600 -3.07691 -3
25411700 -3.07673 -3
25411800 -3.01385 -3
25411900 -2.9111 -3
25412000 -2.87655 -3
25412100 -2.80587 -3
25412200 -2.67535 -3
25412300 -3.01399 -3
25412400 -3.10537 -3
25412500 -3.03214 -3
