# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
25400100 -6.4154 -3
25400200 -6.77304 -3
25400300 -7.046 -3
25400400 -7.0154 -3
25400500 -6.98212 -3
25400600 -6.8128 -3
25400700 -6.72282 -3
25400800 -6.86511 -3
25400900 -7.16855 -3
25401000 -7.07871 -3
25401100 -7.05601 -3
25401200 -7.18218 -3
25401300 -6.68591 -3
25401400 -6.62544 -3
25401500 -6.53833 -3
25401600 -6.53343 -3
25401700 -6.56001 -3
25401800 -6.35783 -3
25401900 -6.25956 -3
25402000 -6.41456 -3
25402100 -6.44673 -3
25402200 -6.4237 -3
25402300 -6.73975 -3
25402400 -7.00244 -3
25402500 -7.09211 -3
25402600 -7.25041 -3
25402700 -7.22868 -3
25402800 -7.09133 -3
25402900 -6.88527 -3
25403000 -6.65261 -3
25403100 -6.45261 -3
25403200 -6.318 -3
25403300 -6.26535 -3
25403400 -6.45719 -3
25403500 -6.78052 -3
25403600 -6.81262 -3
25403700 -6.85292 -3
25403800 -6.90544 -3
25403900 -7.02695 -3
25404000 -6.76902 -3
25404100 -6.75782 -3
25404200 -6.69434 -3
25404300 -6.44452 -3
25404400 -6.69551 -3
25404500 -6.78957 -3
25404600 -6.7032 -3
25404700 -6.77004 -3
25404800 -6.59118 -3
25404900 -6.62246 -3
25405000 -6.6388 -3
25405100 -6.5619 -3
25405200 -6.52882 -3
25405300 -6.58956 -3
25405400 -6.46685 -3
25405500 -6.40774 -3
25405600 -6.65236 -3
25405700 -6.96891 -3
25405800 -7.38128 -3
25405900 -7.24078 -3
25406000 -6.84923 -3
25406100 -6.59605 -3
25406200 -6.58681 -3
25406300 -6.22586 -3
25406400 -5.88797 -3
25406500 -5.89717 -3
25406600 -6.43526 -3
25406700 -6.79612 -3
25406800 -6.76849 -3
25406900 -6.8571 -3
25407000 -6.73859 -3
25407100 -6.91336 -3
25407200 -7.17737 -3
25407300 -6.94524 -3
25407400 -6.67057 -3
25407500 -6.58039 -3
25407600 -6.86252 -3
25407700 -6.95968 -3
25407800 -7.2009 -3
25407900 -7.21662 -3
25408000 -7.31749 -3
25408100 -7.31861 -3
25408200 -7.10388 -3
25408300 -6.98831 -3
25408400 -7.07336 -3
25408500 -7.07404 -3
25408600 -7.23724 -3
25408700 -7.33256 -3
25408800 -7.10706 -3
25408900 -7.03466 -3
25409000 -7.12414 -3
25409100 -7.27912 -3
25409200 -7.31272 -3
25409300 -7.29666 -3
25409400 -7.13381 -3
25409500 -7.15332 -3
25409600 -7.02446 -3
25409700 -6.83562 -3
25409800 -6.80706 -3
25409900 -6.4582 -3
25410000 -6.0215 -3
25410100 -5.76987 -3
25410200 -5.74909 -3
25410300 -5.86723 -3
25410400 -6.32385 -3
25410500 -6.42021 -3
25410600 -6.2105 -3
25410700 -6.13405 -3
25410800 -5.98496 -3
25410900 -5.78276 -3
25411000 -5.72743 -3
25411100 -5.99046 -3
25411200 -6.03979 -3
25411300 -5.67578 -3
25411400 -5.86705 -3
25411500 -6.19183 -3
25411600 -6.52456 -3
25411700 -7.11034 -3
25411800 -7.01517 -3
25411900 -6.57855 -3
25412000 -6.27535 -3
25412100 -6.4043 -3
25412200 -6.57934 -3
25412300 -6.45766 -3
25412400 -6.32463 -3
25412500 -6.05962 -3
25412600 -6.04657 -3
25412700 -6.09318 -3
25412800 -5.76416 -3
25412900 -5.82579 -3
25413000 -6.12059 -3
25413100 -6.50941 -3
25413200 -6.5363 -3
25413300 -6.34949 -3
25413400 -6.1744 -3
25413500 -5.9771 -3
25413600 -5.90219 -3
25413700 -6.13511 -3
25413800 -6.43449 -3
25413900 -6.65214 -3
25414000 -6.50221 -3
25414100 -6.21519 -3
25414200 -6.01538 -3
25414300 -5.99978 -3
25414400 -5.97715 -3
25414500 -6.10569 -3
25414600 -6.08185 -3
25414700 -6.13961 -3
25414800 -6.35402 -3
25414900 -6.55715 -3
25415000 -6.44193 -3
25415100 -6.27002 -3
25415200 -5.89353 -3
25415300 -5.82791 -3
25415400 -5.85411 -3
25415500 -5.77915 -3
25415600 -5.71506 -3
25415700 -5.89366 -3
25415800 -6.35626 -3
25415900 -6.54003 -3
25416000 -6.4417 -3
25416100 -6.50791 -3
25416200 -6.67189 -3
25416300 -6.67484 -3
25416400 -6.48363 -3
25416500 -6.20789 -3
25416600 -6.24152 -3
25416700 -6.14713 -3
25416800 -6.46756 -3
25416900 -6.70431 -3
25417000 -6.65038 -3
25417100 -6.57646 -3
25417200 -6.67226 -3
25417300 -6.97905 -3
25417400 -7.25552 -3
25417500 -7.14041 -3
25417600 -7.45423 -3
25417700 -7.5361 -3
25417800 -7.63406 -3
