# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
20600100 -7.27321 -7
20600200 -7.38331 -7
20600300 -7.47385 -7
20600400 -7.58452 -7
20600500 -7.84099 -7
20600600 -7.81336 -7
20600700 -7.44313 -7
20600800 -7.04891 -7
20600900 -7.26984 -7
20601000 -7.1962 -7
20601100 -7.19701 -7
20601200 -7.3803 -7
20601300 -7.34152 -7
20601400 -7.03985 -7
20601500 -6.87362 -7
20601600 -6.96406 -7
20601700 -6.97592 -7
20601800 -6.81712 -7
20601900 -6.80436 -7
20602000 -7.11366 -7
20602100 -7.23638 -7
20602200 -7.66203 -7
20602300 -7.93721 -7
20602400 -7.69924 -7
20602500 -7.17663 -7
20602600 -7.10453 -7
20602700 -6.88346 -7
20602800 -6.66813 -7
20602900 -6.69975 -7
20603000 -6.61115 -7
20603100 -6.42266 -7
20603200 -6.55506 -7
20603300 -6.8358 -7
20603400 -7.05154 -7
20603500 -7.33391 -7
20603600 -7.57355 -7
20603700 -7.59184 -7
20603800 -7.51889 -7
20603900 -7.38539 -7
20604000 -7.51214 -7
20604100 -7.80246 -7
20604200 -7.88842 -7
20604300 -7.6735 -7
20604400 -7.18873 -7
20604500 -7.10052 -7
20604600 -7.23964 -7
20604700 -7.41916 -7
20604800 -7.40601 -7
20604900 -7.34095 -7
20605000 -7.37749 -7
20605100 -7.19076 -7
20605200 -6.86569 -7
20605300 -6.89368 -7
20605400 -6.9351 -7
20605500 -6.95028 -7
20605600 -6.69486 -7
20605700 -6.89746 -7
20605800 -6.85823 -7
20605900 -6.54528 -7
20606000 -6.54676 -7
20606100 -6.54944 -7
20606200 -6.42236 -7
20606300 -6.44177 -7
20606400 -6.35275 -7
20606500 -6.31354 -7
20606600 -6.34822 -7
20606700 -6.22603 -7
20606800 -6.39606 -7
20606900 -6.59818 -7
20607000 -6.73221 -7
20607100 -6.91054 -7
20607200 -6.82607 -7
20607300 -6.99959 -7
20607400 -6.88848 -7
20607500 -7.06295 -7
20607600 -7.42709 -7
20607700 -7.42723 -7
20607800 -7.54405 -7
20607900 -7.60247 -7
20608000 -7.06229 -7
20608100 -7.09835 -7
20608200 -7.01416 -7
20608300 -6.75617 -7
20608400 -6.98343 -7
20608500 -6.95759 -7
20608600 -7.04179 -7
20608700 -7.21228 -7
20608800 -7.04641 -7
20608900 -6.81396 -7
20609000 -6.85788 -7
20609100 -6.98401 -7
20609200 -7.05235 -7
20609300 -7.09897 -7
20609400 -7.25871 -7
20609500 -7.3755 -7
20609600 -7.37077 -7
20609700 -7.2677 -7
20609800 -7.31223 -7
20609900 -7.3869 -7
20610000 -7.03021 -7
20610100 -6.77608 -7
20610200 -6.97409 -7
20610300 -6.97336 -7
20610400 -6.92661 -7
20610500 -7.092 -7
20610600 -7.19618 -7
20610700 -7.10292 -7
20610800 -6.94714 -7
20610900 -6.93398 -7
20611000 -7.18914 -7
20611100 -7.23386 -7
20611200 -7.41374 -7
20611300 -7.34842 -7
20611400 -6.8777 -7
20611500 -6.47961 -7
20611600 -6.87702 -7
20611700 -7.00134 -7
20611800 -7.14947 -7
20611900 -7.04509 -7
20612000 -6.60447 -7
20612100 -6.33119 -7
20612200 -6.53517 -7
20612300 -6.94657 -7
20612400 -7.17993 -7
20612500 -7.32827 -7
20612600 -7.36938 -7
20612700 -7.32407 -7
20612800 -7.24719 -7
20612900 -7.09904 -7
20613000 -7.20925 -7
20613100 -7.18225 -7
20613200 -7.35071 -7
20613300 -7.57353 -7
20613400 -7.44258 -7
20613500 -7.23146 -7
20613600 -7.12333 -7
20613700 -6.89805 -7
20613800 -6.9028 -7
20613900 -6.9704 -7
20614000 -7.20918 -7
20614100 -7.11695 -7
20614200 -7.06642 -7
20614300 -7.12239 -7
20614400 -7.36122 -7
