# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
39800100 8.84878 9
39800200 8.69477 9
39800300 8.64526 9
39800400 8.87921 9
39800500 9.07298 9
39800600 9.16181 9
39800700 8.97242 9
39800800 8.92681 9
39800900 9.00683 9
39801000 8.93447 9
39801100 8.87935 9
39801200 8.82031 9
39801300 9.01305 9
39801400 9.03154 9
39801500 8.80193 9
39801600 8.79909 9
39801700 8.909 9
39801800 9.13508 9
39801900 9.07852 9
39802000 9.19043 9
39802100 9.41144 9
39802200 9.19179 9
39802300 9.49393 9
39802400 9.74806 9
39802500 9.79661 9
39802600 9.86662 9
39802700 9.96109 9
39802800 9.75902 9
39802900 9.93426 9
39803000 9.89676 9
39803100 9.65009 9
39803200 9.42556 9
39803300 9.11141 9
39803400 9.10792 9
39803500 9.17306 9
39803600 9.15013 9
39803700 9.04674 9
39803800 9.08585 9
39803900 9.24989 9
39804000 9.22024 9
39804100 8.92345 9
39804200 8.94857 9
39804300 8.87397 9
39804400 9.0337 9
39804500 9.21852 9
39804600 9.44292 9
39804700 9.6597 9
39804800 9.27547 9
39804900 8.95764 9
39805000 8.9789 9
39805100 9.04719 9
39805200 9.16859 9
39805300 9.46084 9
39805400 9.34412 9
39805500 9.15937 9
39805600 9.12333 9
39805700 8.82004 9
39805800 8.64801 9
39805900 8.47759 9
39806000 8.70043 9
39806100 9.14407 9
39806200 9.01597 9
39806300 8.86071 9
39806400 9.06895 9
39806500 9.06934 9
39806600 9.12756 9
39806700 9.11993 9
39806800 9.02523 9
39806900 9.18305 9
39807000 9.44762 9
39807100 9.55022 9
39807200 9.4194 9
39807300 9.16048 9
39807400 9.19433 9
39807500 9.23369 9
39807600 9.37792 9
39807700 9.49323 9
39807800 9.42208 9
39807900 9.47674 9
39808000 9.64724 9
39808100 9.83373 9
39808200 9.87447 9
39808300 9.70511 9
39808400 9.33975 9
39808500 9.25706 9
39808600 9.06574 9
39808700 9.19026 9
39808800 8.79926 9
39808900 8.77127 9
39809000 8.81047 9
39809100 8.67194 9
39809200 8.62917 9
39809300 8.72081 9
39809400 8.84861 9
39809500 8.6737 9
39809600 8.64088 9
39809700 8.8707 9
39809800 8.92112 9
39809900 8.89639 9
39810000 8.85617 9
39810100 8.92238 9
39810200 9.2269 9
39810300 9.53849 9
39810400 9.11445 9
39810500 8.83096 9
39810600 8.57762 9
39810700 8.65991 9
39810800 9.04439 9
39810900 9.42443 9
39811000 9.35042 9
39811100 9.23464 9
39811200 9.46034 9
39811300 9.56295 9
39811400 9.42742 9
39811500 9.31414 9
39811600 9.37312 9
39811700 9.37268 9
39811800 9.24104 9
39811900 8.96077 9
39812000 9.03379 9
39812100 9.29656 9
39812200 9.01509 9
39812300 9.01106 9
39812400 8.91204 9
39812500 8.79442 9
39812600 8.8635 9
39812700 8.88461 9
39812800 8.84076 9
39812900 8.59458 9
39813000 8.70043 9
39813100 8.76907 9
39813200 8.97968 9
39813300 9.20003 9
39813400 9.65629 9
39813500 9.7164 9
39813600 9.51847 9
39813700 9.45775 9
39813800 9.26724 9
39813900 9.17688 9
39814000 9.05321 9
39814100 9.28609 9
39814200 9.26717 9
39814300 9.56433 9
39814400 9.83174 9
39814500 9.79678 9
39814600 9.59356 9
39814700 9.80581 9
39814800 9.90533 9
39814900 9.70233 9
39815000 9.36137 9
39815100 9.12945 9
39815200 8.75943 9
39815300 8.63756 9
39815400 8.5921 9
39815500 8.50497 9
39815600 8.57119 9
39815700 8.81328 9
39815800 9.0743 9
39815900 9.11839 9
39816000 9.11975 9
39816100 8.95291 9
39816200 8.82391 9
39816300 9.04762 9
39816400 9.19531 9
39816500 9.24666 9
39816600 9.23921 9
39816700 8.9947 9
39816800 8.9352 9
39816900 8.75039 9
39817000 8.98661 9
39817100 9.05544 9
39817200 8.82447 9
39817300 9.05847 9
39817400 8.7797 9
39817500 8.7029 9
39817600 9.17705 9
39817700 9.16497 9
39817800 8.98964 9
39817900 9.11476 9
39818000 9.35029 9
39818100 9.45829 9
39818200 9.54983 9
39818300 9.48645 9
39818400 9.54447 9
39818500 9.51052 9
39818600 9.48273 9
39818700 9.41017 9
39818800 9.29211 9
39818900 9.20017 9
39819000 9.12941 9
39819100 9.05924 9
39819200 8.97675 9
39819300 9.03749 9
39819400 9.00512 9
39819500 9.11982 9
39819600 9.19756 9
39819700 9.09536 9
39819800 9.04601 9
39819900 9.28051 9
39820000 9.16793 9
39820100 8.73938 9
39820200 8.60612 9
39820300 8.53874 9
39820400 8.5516 9
39820500 8.65632 9
39820600 8.87476 9
39820700 9.12647 9
39820800 9.28097 9
39820900 9.48837 9
39821000 9.57481 9
39821100 9.41676 9
39821200 9.5071 9
39821300 9.8141 9
39821400 10.0577 9
39821500 10.0547 9
39821600 10.0832 9
39821700 10.2142 9
39821800 9.73819 9
39821900 9.46897 9
39822000 9.31948 9
39822100 9.27939 9
39822200 9.19044 9
39822300 8.9842 9
39822400 8.72741 9
39822500 8.55611 9
39822600 8.48401 9
39822700 8.75892 9
39822800 8.79187 9
39822900 8.72273 9
39823000 8.65562 9
39823100 8.4881 9
39823200 8.42742 9
39823300 8.57862 9
39823400 8.5358 9
39823500 8.5708 9
39823600 8.89201 9
39823700 9.13148 9
39823800 9.24015 9
39823900 9.26177 9
39824000 9.39463 9
39824100 9.52157 9
39824200 9.46326 9
39824300 9.285 9
39824400 9.44606 9
39824500 9.4228 9
39824600 9.47108 9
39824700 9.61628 9
39824800 9.29865 9
39824900 9.18073 9
39825000 9.43713 9
39825100 9.43437 9
39825200 9.28519 9
39825300 8.9905 9
39825400 8.95895 9
39825500 9.09848 9
39825600 9.08605 9
39825700 9.17842 9
39825800 9.28276 9
39825900 9.18453 9
39826000 9.26451 9
39826100 9.4941 9
39826200 9.61588 9
39826300 9.54325 9
39826400 9.41165 9
39826500 9.10669 9
39826600 8.88528 9
39826700 8.62849 9
39826800 8.79551 9
39826900 9.09678 9
39827000 9.09566 9
39827100 8.81522 9
39827200 8.88217 9
39827300 8.97346 9
39827400 8.97861 9
39827500 8.85973 9
39827600 8.88393 9
39827700 9.00999 9
39827800 8.9235 9
39827900 8.62761 9
39828000 8.47405 9
39828100 8.67722 9
39828200 8.81493 9
39828300 8.85942 9
39828400 9.0485 9
39828500 9.04301 9
39828600 9.11087 9
39828700 9.32699 9
39828800 9.35747 9
39828900 9.69076 9
39829000 9.70944 9
39829100 9.49613 9
39829200 9.47607 9
39829300 9.46808 9
39829400 9.53533 9
39829500 9.43665 9
39829600 9.44468 9
39829700 9.26857 9
39829800 9.17938 9
39829900 9.49756 9
39830000 9.67961 9
39830100 9.79353 9
39830200 9.67048 9
39830300 9.5143 9
39830400 9.58915 9
39830500 9.52669 9
39830600 9.32422 9
39830700 8.96393 9
39830800 8.80811 9
39830900 8.77903 9
39831000 9.0966 9
39831100 9.13041 9
39831200 8.86481 9
39831300 8.84474 9
39831400 8.71294 9
39831500 8.41002 9
39831600 8.33246 9
39831700 8.41822 9
39831800 8.58157 9
39831900 8.58546 9
39832000 8.57782 9
39832100 8.61723 9
39832200 8.80168 9
39832300 8.76051 9
39832400 8.54017 9
39832500 8.35839 9
39832600 8.36596 9
39832700 8.55859 9
39832800 8.67841 9
39832900 8.58986 9
39833000 8.40534 9
39833100 8.19058 9
39833200 8.26074 9
39833300 8.32004 9
39833400 8.4672 9
39833500 8.71991 9
39833600 8.68396 9
39833700 9.09912 9
39833800 9.11602 9
39833900 8.97688 9
39834000 9.04626 9
39834100 8.97273 9
39834200 8.94167 9
39834300 8.84549 9
39834400 8.93849 9
39834500 9.11541 9
39834600 9.00866 9
39834700 8.93424 9
39834800 8.80882 9
39834900 8.91016 9
39835000 9.17984 9
39835100 8.97558 9
39835200 9.05483 9
39835300 8.98182 9
39835400 9.10898 9
39835500 8.7185 9
39835600 8.87231 9
39835700 8.86788 9
39835800 8.9988 9
39835900 9.00671 9
39836000 8.84833 9
39836100 9.07012 9
39836200 8.96556 9
39836300 8.76673 9
39836400 8.60019 9
39836500 8.50297 9
39836600 8.26578 9
