# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
21800100 -6.46537 -6
21800200 -6.45979 -6
21800300 -6.41096 -6
21800400 -6.26546 -6
21800500 -6.12406 -6
21800600 -6.14094 -6
21800700 -6.22631 -6
21800800 -6.22864 -6
21800900 -6.31852 -6
21801000 -6.11467 -6
21801100 -6.04928 -6
21801200 -5.85489 -6
21801300 -6.04411 -6
21801400 -6.14493 -6
21801500 -6.25376 -6
21801600 -5.96703 -6
21801700 -5.85822 -6
21801800 -5.72537 -6
21801900 -5.79686 -6
21802000 -5.86663 -6
21802100 -6.04029 -6
21802200 -6.21994 -6
21802300 -5.88841 -6
21802400 -5.59289 -6
21802500 -5.30596 -6
21802600 -5.0047 -6
21802700 -4.97881 -6
21802800 -4.86497 -6
21802900 -5.0195 -6
21803000 -5.37383 -6
21803100 -5.65955 -6
21803200 -5.72317 -6
21803300 -5.89244 -6
21803400 -6.1396 -6
21803500 -6.16136 -6
21803600 -6.29918 -6
21803700 -6.20865 -6
21803800 -6.19839 -6
21803900 -6.31662 -6
21804000 -6.25952 -6
21804100 -6.04544 -6
21804200 -5.51572 -6
21804300 -5.42855 -6
21804400 -5.66894 -6
21804500 -5.75606 -6
21804600 -5.5716 -6
21804700 -5.46394 -6
21804800 -5.89955 -6
21804900 -5.99096 -6
21805000 -6.09909 -6
21805100 -5.95523 -6
21805200 -6.08374 -6
21805300 -6.22093 -6
21805400 -6.52064 -6
21805500 -6.42003 -6
21805600 -6.22687 -6
21805700 -6.21499 -6
21805800 -6.21858 -6
21805900 -6.24377 -6
21806000 -6.47649 -6
21806100 -6.50919 -6
21806200 -6.15656 -6
21806300 -5.78299 -6
21806400 -5.62438 -6
21806500 -5.51039 -6
21806600 -5.55671 -6
21806700 -5.64838 -6
21806800 -6.00123 -6
21806900 -6.26548 -6
21807000 -6.43017 -6
21807100 -6.18828 -6
21807200 -6.37622 -6
21807300 -6.65269 -6
21807400 -6.67325 -6
21807500 -6.5442 -6
21807600 -6.59062 -6
21807700 -6.71681 -6
21807800 -6.84161 -6
21807900 -6.99896 -6
21808000 -6.88292 -6
21808100 -6.58086 -6
21808200 -6.45359 -6
21808300 -6.35135 -6
21808400 -6.26691 -6
21808500 -6.32764 -6
21808600 -6.47786 -6
21808700 -6.61529 -6
21808800 -6.72204 -6
21808900 -6.91618 -6
21809000 -7.07375 -6
21809100 -6.70892 -6
21809200 -6.35388 -6
21809300 -6.42354 -6
21809400 -6.3428 -6
21809500 -6.20425 -6
21809600 -6.43426 -6
21809700 -6.20531 -6
21809800 -5.74203 -6
