# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
8700100 -18.8721 -14.25
8700200 -18.8733 -14.25
8700300 -18.6304 -14.25
8700400 -18.5639 -14.25
8700500 -18.7109 -14.25
8700600 -19.053 -14.25
8700700 -19.0404 -14.25
8700800 -18.7561 -14.25
8700900 -18.6052 -14.25
8701000 -18.6349 -14.25
8701100 -18.8932 -14.25
8701200 -19.1441 -14.25
8701300 -18.9057 -14.25
8701400 -18.4582 -14.25
8701500 -18.6993 -14.25
8701600 -18.8487 -14.25
8701700 -18.949 -14.25
8701800 -18.8734 -14.25
8701900 -18.7955 -14.25
8702000 -18.7889 -14.25
8702100 -18.8882 -14.25
8702200 -18.9069 -14.25
8702300 -18.8744 -14.25
8702400 -18.9552 -14.25
8702500 -19.0277 -14.25
8702600 -19.0447 -14.25
8702700 -18.8733 -14.25
8702800 -18.8659 -14.25
8702900 -18.8486 -14.25
8703000 -19.0118 -14.25
8703100 -19.0452 -14.25
8703200 -19.0467 -14.25
8703300 -18.8976 -14.25
8703400 -18.713 -14.25
8703500 -18.6268 -14.25
8703600 -18.9548 -14.25
8703700 -18.9736 -14.25
8703800 -18.7794 -14.25
8703900 -18.6754 -14.25
8704000 -18.6034 -14.25
8704100 -18.8197 -14.25
8704200 -18.9795 -14.25
8704300 -18.9231 -14.25
8704400 -18.9983 -14.25
8704500 -18.9044 -14.25
8704600 -18.6966 -14.25
8704700 -18.9143 -14.25
8704800 -18.7944 -14.25
8704900 -18.6757 -14.25
8705000 -18.5567 -14.25
8705100 -18.7654 -14.25
8705200 -19.0192 -14.25
8705300 -19.0378 -14.25
8705400 -18.8923 -14.25
8705500 -18.7051 -14.25
8705600 -18.7478 -14.25
8705700 -18.6255 -14.25
8705800 -18.5458 -14.25
8705900 -18.9132 -14.25
8706000 -19.1658 -14.25
8706100 -19.0177 -14.25
8706200 -18.5025 -14.25
8706300 -18.3222 -14.25
8706400 -18.5158 -14.25
8706500 -19.0386 -14.25
8706600 -19.0818 -14.25
8706700 -19.0205 -14.25
8706800 -18.6176 -14.25
8706900 -18.4346 -14.25
8707000 -18.8252 -14.25
8707100 -19.0168 -14.25
8707200 -19.0891 -14.25
8707300 -19.0944 -14.25
8707400 -18.9804 -14.25
8707500 -18.8647 -14.25
8707600 -18.5308 -14.25
8707700 -18.7142 -14.25
8707800 -18.9148 -14.25
8707900 -18.8765 -14.25
8708000 -18.8174 -14.25
8708100 -18.8581 -14.25
8708200 -18.7636 -14.25
8708300 -18.9358 -14.25
8708400 -19.0234 -14.25
8708500 -18.9539 -14.25
8708600 -18.6184 -14.25
8708700 -18.1958 -14.25
8708800 -18.1802 -14.25
8708900 -18.6806 -14.25
8709000 -18.9469 -14.25
8709100 -19.1571 -14.25
8709200 -19.0504 -14.25
8709300 -18.8212 -14.25
8709400 -18.7942 -14.25
8709500 -18.9579 -14.25
8709600 -19.0426 -14.25
8709700 -18.9766 -14.25
8709800 -18.9842 -14.25
8709900 -19.0107 -14.25
8710000 -19.0182 -14.25
8710100 -18.8625 -14.25
8710200 -18.6596 -14.25
8710300 -18.5907 -14.25
8710400 -18.9314 -14.25
8710500 -19.1425 -14.25
8710600 -18.9146 -14.25
8710700 -18.7419 -14.25
8710800 -18.5398 -14.25
8710900 -18.6155 -14.25
8711000 -18.7607 -14.25
8711100 -19.197 -14.25
8711200 -18.7807 -14.25
8711300 -18.5222 -14.25
8711400 -18.5314 -14.25
8711500 -18.826 -14.25
8711600 -18.9414 -14.25
8711700 -18.9754 -14.25
8711800 -19.0052 -14.25
8711900 -18.7974 -14.25
8712000 -18.7827 -14.25
8712100 -18.76 -14.25
8712200 -18.9172 -14.25
8712300 -18.9982 -14.25
8712400 -19.0464 -14.25
8712500 -18.9576 -14.25
8712600 -18.926 -14.25
8712700 -18.8936 -14.25
8712800 -18.905 -14.25
8712900 -19.0177 -14.25
8713000 -19.0671 -14.25
8713100 -18.8852 -14.25
8713200 -18.6873 -14.25
8713300 -18.5581 -14.25
8713400 -18.7758 -14.25
8713500 -18.7819 -14.25
8713600 -18.9797 -14.25
8713700 -18.8416 -14.25
8713800 -18.7825 -14.25
8713900 -18.7844 -14.25
8714000 -18.9828 -14.25
8714100 -19.0838 -14.25
8714200 -18.9123 -14.25
8714300 -19.0284 -14.25
8714400 -18.9182 -14.25
8714500 -18.8291 -14.25
8714600 -18.7647 -14.25
8714700 -18.6801 -14.25
8714800 -18.5303 -14.25
8714900 -18.9308 -14.25
8715000 -18.9298 -14.25
8715100 -18.9905 -14.25
8715200 -18.422 -14.25
8715300 -17.9891 -14.25
8715400 -17.9362 -14.25
8715500 -18.2238 -14.25
8715600 -18.7007 -14.25
8715700 -18.5598 -14.25
8715800 -18.5662 -14.25
8715900 -18.5936 -14.25
8716000 -18.7621 -14.25
8716100 -18.9828 -14.25
8716200 -18.8432 -14.25
8716300 -18.7848 -14.25
8716400 -18.8291 -14.25
8716500 -18.9549 -14.25
8716600 -19.0998 -14.25
8716700 -18.9094 -14.25
8716800 -18.6317 -14.25
8716900 -18.7876 -14.25
8717000 -18.8595 -14.25
8717100 -18.975 -14.25
8717200 -19.005 -14.25
8717300 -18.7221 -14.25
8717400 -18.6909 -14.25
8717500 -18.8602 -14.25
8717600 -19.1885 -14.25
8717700 -19.0403 -14.25
8717800 -18.7703 -14.25
8717900 -18.7211 -14.25
8718000 -18.9549 -14.25
8718100 -18.7747 -14.25
8718200 -18.8356 -14.25
8718300 -18.8658 -14.25
