# Time-averaged data for fix myat1
# TimeStep v_nO
1000 6
2000 6
3000 6
4000 6
5000 6
6000 3
7000 2.1
8000 2
9000 2
10000 2
11000 2
12000 2
13000 2
14000 2
15000 2
16000 2
17000 2
18000 2
19000 2
20000 2
21000 2
22000 2
23000 2
24000 2.1
25000 2
26000 2
27000 2
28000 2
29000 2
30000 2
31000 1.4
32000 1
33000 1
34000 1
35000 1
36000 1
37000 1
38000 1
39000 1
40000 1
41000 1
42000 1
43000 1
44000 1
45000 1.9
46000 2
47000 2
48000 2
49000 2
50000 2
51000 2
52000 2
53000 2
54000 2
55000 2
56000 2
57000 2
58000 2
59000 2
60000 2
61000 2
62000 2.3
63000 3
64000 3
65000 3
66000 3
67000 3
68000 3
69000 3
70000 3
71000 3
72000 3
73000 3
74000 3
75000 3
76000 3
77000 3
78000 3
79000 3
80000 3
81000 3
82000 3
83000 3
84000 3
85000 3
86000 3
87000 3
88000 3
89000 3
90000 3
91000 3
92000 3
93000 3
94000 3
95000 3
96000 3
97000 3
98000 3
99000 3
100000 3
101000 3
102000 3
103000 3
104000 3
105000 3
