# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -2935.99
200 -3164.77
300 -3320.96
400 -3267.63
500 -3073.23
600 -3063.97
700 -3026.24
800 -3183.37
900 -3179.79
1000 -3140.41
1100 -3048.42
1200 -3084.45
1300 -3298.79
1400 -3233.04
1500 -3192.49
1600 -3304.04
1700 -2996.04
1800 -2984.1
1900 -3109.55
2000 -3198.1
2100 -3165.78
2200 -3146
2300 -3091.47
2400 -3203.75
2500 -3199.89
2600 -3244.87
2700 -3073.53
2800 -3046.74
2900 -3259.78
3000 -3109.69
3100 -3090.2
3200 -2961.94
3300 -3290.06
3400 -3159.49
3500 -3051.82
3600 -3112.8
3700 -3070.18
3800 -3146.55
3900 -3127
4000 -3195.91
4100 -3145.25
4200 -3020.5
4300 -3195.53
4400 -3389.2
4500 -3348.47
4600 -3319.1
4700 -3269.95
4800 -3291.97
4900 -3275.64
5000 -3299.85
5100 -3266.12
5200 -3261.48
5300 -3320.93
5400 -3188.54
5500 -3199.8
5600 -3263.78
5700 -3234.07
5800 -3115.28
5900 -2902.52
6000 -3149.08
6100 -3097.14
6200 -3131.06
6300 -3281.42
6400 -3136.35
6500 -3079.27
6600 -3059.02
6700 -3002.88
6800 -3215.5
6900 -3195
7000 -3287.21
7100 -3196.73
7200 -2998.36
7300 -2987.52
7400 -3099.99
7500 -3085.3
7600 -3176.66
7700 -3089
7800 -3110.21
7900 -3197.47
8000 -2949.33
8100 -3164.1
8200 -3109.22
8300 -3024.67
8400 -3167.13
8500 -3093.8
8600 -3133.12
8700 -3046.21
8800 -3102.45
8900 -3172.38
9000 -3264.14
9100 -3320.7
9200 -3347.53
9300 -3135.77
9400 -3112.52
9500 -3162.78
9600 -3098.66
9700 -3132.55
9800 -3180.69
9900 -3327.84
10000 -3191.02
