# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 319.001
200 296.727
300 302.615
400 306.933
500 306.706
600 297.693
700 292.679
800 308.152
900 306.096
1000 298.313
1100 291.761
1200 296.463
1300 304.397
1400 310.885
1500 309.207
1600 298.661
1700 299.256
1800 295.603
1900 290.141
2000 313.044
2100 305.864
2200 302.106
2300 291.281
2400 299.031
2500 309.331
2600 309.336
2700 300.023
2800 302.828
2900 293.261
3000 291.723
3100 299.989
3200 309.889
3300 306.936
3400 296.562
3500 288.759
3600 302.546
3700 310.716
3800 307.29
3900 302.174
4000 296.997
4100 292.522
4200 303.907
4300 298.383
4400 302.329
4500 308.037
4600 290.8
4700 287.514
4800 298.482
4900 306.184
5000 301.226
5100 289.987
5200 288.599
5300 305.283
5400 304.868
5500 298.501
5600 285.41
5700 297.516
5800 305.371
5900 298.852
6000 301.519
6100 312.894
6200 306.646
6300 297.895
6400 293.547
6500 298.46
6600 311.75
6700 298.453
6800 291.544
6900 297.508
7000 294.113
7100 308.514
7200 303.006
7300 307.219
7400 299.288
7500 294.945
7600 293.173
7700 307.877
7800 305.662
7900 298.504
8000 298.163
8100 297.443
8200 287.778
8300 285.325
8400 299.935
8500 302.507
8600 303.023
8700 297.259
8800 292.4
8900 285.807
9000 292.713
9100 299.797
9200 295.239
9300 302.77
9400 305.575
9500 303.568
9600 294.057
9700 300.399
9800 290.651
9900 296.295
10000 300.937
