# Time-averaged data for fix myat2
# TimeStep v_myvol
100 11410.9
200 11429.3
300 11416.4
400 11366.2
500 11298.7
600 11236
700 11164.7
800 11079
900 10992.6
1000 10916.9
1100 10849.6
1200 10789.3
1300 10738.2
1400 10722
1500 10731.1
1600 10742.6
1700 10723
1800 10683.7
1900 10636.3
2000 10606.2
2100 10593
2200 10600.8
2300 10621.4
2400 10640.2
2500 10665.8
2600 10689.5
2700 10715.1
2800 10736.8
2900 10758
3000 10761.5
3100 10760.7
3200 10761.3
3300 10754
3400 10751.9
3500 10750
3600 10748.5
3700 10755.2
3800 10774.7
3900 10807.1
4000 10863.8
4100 10938.4
4200 10985.4
4300 11024.5
4400 11056.6
4500 11055.7
4600 11038.4
4700 11021.6
4800 10991.4
4900 10961.9
5000 10913.7
5100 10834.9
5200 10752.8
5300 10678.4
5400 10619.7
5500 10586.2
5600 10571.6
5700 10547.7
5800 10541.6
5900 10556.9
6000 10578.8
6100 10597.9
6200 10602
6300 10612.8
6400 10634.1
6500 10638.9
6600 10638.1
6700 10641.1
6800 10625.9
6900 10593.9
7000 10570.6
7100 10570
7200 10584.5
7300 10610.2
7400 10668.8
7500 10745.6
7600 10803.2
7700 10823.3
7800 10828.5
7900 10838.5
8000 10840
8100 10839.9
8200 10840
8300 10842.4
8400 10822.3
8500 10800.1
8600 10792.5
8700 10790.8
8800 10798.4
8900 10819.2
9000 10848.3
9100 10875.1
9200 10899.3
9300 10917.5
9400 10916.5
9500 10900
9600 10874.9
9700 10847.1
9800 10832.4
9900 10829.7
10000 10849
