# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 302.542
200 303.41
300 288.719
400 296.625
500 302.96
600 297.643
700 305.245
800 306.814
900 304.714
1000 299.662
1100 297.159
1200 295.29
1300 301.073
1400 306.062
1500 303.563
1600 299.187
1700 296.68
1800 298.946
1900 311.496
2000 307.092
2100 298.101
2200 295.701
2300 298.276
2400 301.157
2500 310.473
2600 311.11
2700 311.355
2800 310.425
2900 299.589
3000 297.989
3100 301.994
3200 299.27
3300 286.996
3400 305.028
3500 298.929
3600 307.144
3700 307.581
3800 307.097
3900 299.161
4000 294.006
4100 295.977
4200 299.45
4300 300.283
4400 305.349
4500 301.206
4600 296.828
4700 293.463
4800 288.089
4900 288.636
5000 294.41
5100 300.697
5200 301.978
5300 304.988
5400 298.332
5500 285.894
5600 290.803
5700 303.997
5800 299.241
5900 302.988
6000 298.415
6100 291.615
6200 296.035
6300 293.901
6400 295.637
6500 299.995
6600 303.769
6700 306.022
6800 295.482
6900 292.573
7000 296.936
7100 300.743
7200 297.356
7300 303.453
7400 303.356
7500 295.268
7600 300.276
7700 298.521
7800 297.87
7900 302.345
8000 305.307
8100 313.561
8200 306.573
8300 296.554
8400 294.082
8500 297.1
8600 305.424
8700 308.64
8800 295.147
8900 296.959
9000 301.495
9100 300.372
9200 300.245
9300 296.469
9400 291.03
9500 298.806
9600 305.393
9700 299.957
9800 299.169
9900 296.826
10000 306.062
10100 300.757
10200 287.895
10300 286.587
10400 301.169
10500 302.529
10600 300.347
10700 302.298
10800 288.676
10900 294.847
11000 298.833
11100 298.798
11200 306.668
11300 302.621
11400 297.091
11500 293.962
11600 300.239
11700 299.454
11800 296.255
11900 309.85
12000 305.704
12100 295.318
12200 300.881
12300 300.546
12400 298.334
12500 307.021
12600 305.899
12700 302.896
12800 293.396
12900 294.757
13000 295.793
13100 302.802
13200 298.105
13300 306.532
13400 309.885
13500 304.145
13600 303.335
13700 300.382
13800 302.959
13900 298.407
14000 298.232
14100 300.344
14200 300.746
14300 295.693
14400 288.504
14500 291.094
14600 294.669
14700 293.079
14800 300.402
14900 307.44
15000 302.512
15100 295.877
15200 296.871
15300 298.623
15400 298.163
15500 308.632
15600 313.793
15700 311.046
15800 295.474
15900 298.758
16000 293.011
16100 303.793
16200 308.198
16300 306.132
16400 302.112
16500 303.754
16600 297.777
16700 291.728
16800 293.948
16900 307.976
17000 304.787
17100 295.281
17200 291.422
17300 299.311
17400 305.235
17500 306.262
17600 294.546
17700 298.272
17800 304.351
17900 299.478
18000 305.634
18100 306.404
18200 296.496
18300 290.006
18400 295.572
18500 311.448
18600 302.252
18700 298.645
18800 298.864
18900 290.692
19000 288.85
19100 288.348
19200 293.421
19300 298.532
19400 304.879
19500 297.557
19600 304.023
19700 306.721
19800 302.307
19900 294.559
20000 291.14
20100 295.744
20200 301.985
20300 297.126
20400 302.238
20500 304.308
20600 306.857
20700 303.948
20800 300.172
20900 300.482
21000 295.861
21100 302.168
21200 300.818
21300 307.55
21400 295.213
21500 293.242
21600 301.95
21700 305.006
21800 305.828
21900 303.347
22000 299.648
22100 300.01
22200 300.394
22300 302.634
22400 295.257
22500 295.426
22600 290.034
22700 294.01
22800 296.785
22900 307.31
23000 302.057
23100 295.93
23200 295.997
23300 290
23400 290.578
23500 302.514
23600 302.364
23700 293.309
23800 307.358
23900 303.933
24000 296.964
24100 298.856
24200 297.495
24300 293.103
24400 293.575
24500 306.183
24600 301.543
