# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 374.181
200 373.872
300 337.875
400 325.282
500 312
600 308.225
700 303.128
800 304.008
900 297.385
1000 299.674
1100 303.483
1200 300.91
1300 301.028
1400 299.102
1500 300.113
1600 299.548
1700 297.713
1800 299.314
1900 312.934
2000 306.667
2100 299.321
2200 297.468
2300 297.973
2400 302.933
2500 295.223
2600 300.805
2700 301.503
2800 304.708
2900 301.277
3000 298.589
3100 302.137
3200 298.505
3300 293.671
3400 302.137
3500 305.536
3600 294.843
3700 300.287
3800 297.322
3900 302.154
4000 300.099
4100 295.982
4200 303.791
4300 300.415
4400 295.312
4500 308.28
4600 292.799
4700 303.609
4800 293.222
4900 303.846
5000 303.067
5100 305.287
5200 303.166
5300 298.12
5400 296.839
5500 308.93
5600 295.834
5700 305.198
5800 296.898
5900 298.588
6000 305.759
6100 309.787
6200 297.498
6300 299.691
6400 305.973
6500 305.423
6600 304.835
6700 293.809
6800 300.358
6900 302.931
7000 296.917
7100 296.852
7200 302.093
7300 305.149
7400 301.603
7500 291.51
7600 304.225
7700 292.93
7800 307.49
7900 299.929
8000 304.38
8100 298.436
8200 306.608
8300 303.969
8400 302.809
8500 298.375
8600 298.109
8700 305.268
8800 294.513
8900 304.574
9000 292.147
9100 302.12
9200 300.497
9300 294.065
9400 306.792
9500 294.9
9600 306.649
9700 298.929
9800 296.712
9900 306.077
10000 301.388
10100 299.113
10200 300.297
10300 300.289
10400 307.796
10500 292.128
10600 303.291
10700 294.252
10800 295.159
10900 296.774
11000 302.202
11100 302.858
11200 300.241
11300 296.54
11400 300.368
11500 303.768
11600 294.623
11700 302.039
11800 305.071
11900 298.804
12000 297.516
12100 290.082
12200 299.729
12300 304.212
12400 300.464
12500 297.278
12600 303.987
12700 291.229
12800 300.117
12900 300.575
13000 290.898
13100 300.545
13200 299.227
13300 314.96
13400 305.017
13500 294.037
13600 309.314
13700 300.775
13800 297.594
13900 290.628
14000 300.195
14100 296.864
14200 302.131
14300 302.939
14400 298.528
14500 293.684
14600 299.247
14700 302.275
14800 302.51
14900 300.961
15000 300.639
15100 301.313
15200 300.011
15300 304.779
15400 294.234
15500 301.966
15600 301.356
15700 298.065
15800 297.882
15900 303.707
16000 294.942
16100 302.184
16200 300.249
16300 299.039
16400 299.008
16500 299.351
16600 307.382
16700 300.411
16800 297.087
16900 303.989
17000 301.927
17100 301.464
17200 293.741
17300 302.75
17400 302.746
17500 301.237
17600 296.938
17700 299.842
17800 296.449
17900 307.467
18000 296.032
18100 301.624
18200 296.535
18300 300.741
18400 298.204
18500 294.755
18600 301.843
18700 295.429
18800 296.769
18900 307.41
19000 305.727
19100 295.07
19200 309.738
19300 298.153
19400 308.37
19500 303.148
19600 297.827
19700 293.002
19800 301.723
19900 295.412
20000 301.5
20100 307.418
20200 298.389
20300 300.791
20400 306.11
20500 295.8
20600 299.941
20700 305.263
20800 295.371
20900 300.946
21000 303.458
21100 302.67
21200 294.669
21300 303.08
21400 299.006
21500 295.947
21600 304.5
21700 293.983
21800 298.345
21900 300.074
22000 302.862
22100 297.316
22200 298.07
22300 303.65
22400 296.037
22500 295.264
22600 287.02
22700 299.004
22800 300.277
22900 308.451
23000 298.887
23100 299.872
23200 301.153
23300 293.298
23400 303.589
23500 300.552
23600 297.26
23700 301.121
23800 300.455
23900 300.369
24000 293.341
24100 297.694
24200 306.856
24300 296.468
24400 299.763
24500 307.932
24600 300.125
24700 294.448
24800 308.563
24900 296.321
25000 303.547
