# Time-averaged data for fix myat2
# TimeStep v_myvol
100 71795.2
200 70617.7
300 68860.3
400 66487.6
500 64285
600 62047.7
700 59924.6
800 57866.4
900 56022.8
1000 54421.9
1100 52848.4
1200 51228.6
1300 49859.5
1400 48423.7
1500 46915.9
1600 45511.3
1700 44425.8
1800 43500.8
1900 42723.3
2000 41729.2
2100 40616.1
2200 39627.5
2300 38815.9
2400 38060.8
2500 37172.6
2600 36176.9
2700 35282.5
2800 34356.5
2900 33687.2
3000 32940.1
3100 32078.4
3200 31475.4
3300 30760.2
3400 29945.3
3500 29102.2
3600 28158.5
3700 27392.3
3800 26894.1
3900 26389.5
4000 25786.1
4100 25281.1
4200 24714.8
4300 24193.1
4400 23548.6
4500 23055.7
4600 22576.2
4700 22075.7
4800 21698
4900 21210.1
5000 20733.1
5100 20137.7
5200 19552.1
5300 19135.3
5400 18912.2
5500 18709.7
5600 18419.2
5700 18024.7
5800 17778
5900 17545.9
6000 17299.3
6100 17134.8
6200 16967.5
6300 16733.6
6400 16414
6500 16054.2
6600 15852.7
6700 15832.4
6800 15714.2
6900 15500.1
7000 15310.6
7100 15206.6
7200 15229.4
7300 15140.6
7400 15060.2
7500 15060.7
7600 14982.3
7700 14943.4
7800 14748.1
7900 14668.3
8000 14520.7
8100 14423.6
8200 14511.2
8300 14466.5
8400 14371.3
8500 14377.5
8600 14315.7
8700 14166.4
8800 14028.1
8900 14127.8
9000 14344.6
9100 14420.4
9200 14472.3
9300 14374.1
9400 14291.3
9500 14282
9600 14179.6
9700 14177
9800 14126.8
9900 14159.3
10000 14148.1
10100 14071.1
10200 14146.4
10300 14197.5
10400 14328.6
10500 14555
10600 14605.7
10700 14302.6
10800 14107.3
10900 14150.8
11000 14127.7
11100 14195.4
11200 14304.8
11300 14240.3
11400 14159.3
11500 14213.4
11600 14315.5
11700 14302.2
11800 14492.5
11900 14579
12000 14443.2
12100 14309.8
12200 14306.9
12300 14434.8
12400 14447.8
12500 14383.8
12600 14320.3
12700 14268.1
12800 14124.9
12900 14103.6
13000 14187.3
13100 14234.3
13200 14165.1
13300 13973.5
13400 13998.7
13500 14110.8
13600 14106.7
13700 14084
13800 14067.5
13900 14097.9
14000 14064.2
14100 14139.9
14200 14316.3
14300 14452.4
14400 14450.8
14500 14290.8
14600 14130
14700 14181.6
14800 14361.3
14900 14423.9
15000 14361.7
15100 14245
15200 14126.6
15300 13996.8
15400 14081.1
15500 14275.5
15600 14482
15700 14612.7
15800 14636.5
15900 14608.4
16000 14592.5
16100 14406.9
16200 14369.3
16300 14578.3
16400 14663.5
16500 14595.1
16600 14422.1
16700 14348.2
16800 14366.5
16900 14410.3
17000 14494.2
17100 14462.1
17200 14320.9
17300 14396.8
17400 14361.5
17500 14232.8
17600 14250.4
17700 14298.6
17800 14439.5
17900 14452.1
18000 14527.5
18100 14494
18200 14461.2
18300 14354
18400 14268.3
18500 14142.6
18600 14133.9
18700 14288.1
18800 14340.5
18900 14391.5
19000 14404.2
19100 14328.6
19200 14245
19300 14432
19400 14517.9
19500 14505.7
19600 14396.3
19700 14364.8
19800 14424
19900 14619.7
20000 14662.1
20100 14492.4
20200 14460.4
20300 14424.8
20400 14464.5
20500 14531.9
20600 14452.7
20700 14363.8
20800 14397.8
20900 14429.1
21000 14446.3
21100 14538.8
21200 14600.9
21300 14646.4
21400 14506.7
21500 14291.9
21600 14138.2
21700 14149.5
21800 14266.6
21900 14319.8
22000 14344.6
22100 14368.2
22200 14275.7
22300 14232
22400 14294.2
22500 14237.2
22600 14216.7
22700 14332.8
22800 14563.5
22900 14558.7
23000 14358
23100 14215.3
23200 14330.5
23300 14426.3
23400 14353.5
23500 14297.2
23600 14179
23700 14051.2
23800 13981
23900 14069.6
24000 14467
24100 14667.9
24200 14585.2
24300 14461.5
24400 14326.9
24500 14286.8
24600 14338.4
24700 14309.3
24800 14204.4
24900 14285.3
25000 14371.5
