# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 4429.69
200 5160.82
300 2236.88
400 1276.04
500 855.552
600 645.524
700 495.112
800 425.937
900 368.139
1000 343.016
1100 313.221
1200 312.54
1300 317.432
1400 313.285
1500 299.902
1600 293.926
1700 296.623
1800 300.009
1900 301.337
2000 291.72
2100 303.491
2200 298.993
2300 292.398
2400 305.537
2500 311.47
2600 299.454
2700 317.91
2800 304.109
2900 303.531
3000 295.567
3100 301.246
3200 311.52
3300 302.984
3400 297.047
3500 311.919
3600 289.724
3700 292.319
3800 289.814
3900 286.116
4000 299.362
4100 302.75
4200 291.484
4300 301.709
4400 310.608
4500 296.928
4600 305.093
4700 303.9
4800 294.485
4900 292.492
5000 300.561
5100 297.123
5200 302.688
5300 292.202
5400 308.183
5500 302.697
5600 298.713
5700 312.938
5800 304.278
5900 293.457
6000 303.042
6100 289.078
6200 308.18
6300 303.174
6400 299.234
6500 297.631
6600 296.083
6700 306.614
6800 291.355
6900 286.772
7000 306.716
7100 301.241
7200 309.232
7300 289.727
7400 284.826
7500 300.058
7600 311.628
7700 302.513
7800 296.363
7900 292.461
8000 310.141
8100 310.622
8200 300.771
8300 298.804
8400 303.085
8500 302.223
8600 309.629
8700 292.034
8800 287.126
8900 298.726
9000 302.938
9100 299.189
9200 306.576
9300 308.373
9400 307.321
9500 296.83
9600 299.282
9700 295.197
9800 300.129
9900 299.71
10000 297.151
