# Time-averaged data for fix myat1
# TimeStep f_mysf1[1] f_mysf2[1]
10000 -2.79491 2.39849
20000 -0.333169 1.38446
30000 -1.77779 1.26788
40000 -2.04106 2.95169
50000 -2.9966 2.0723
60000 -1.71564 1.67014
70000 -2.12087 2.76645
80000 -1.37405 1.15384
90000 -3.10572 2.8486
100000 -1.24563 2.76103
110000 -3.14527 2.61653
120000 -3.66335 1.94144
130000 -1.8903 3.27811
140000 -2.26699 1.9437
150000 -0.671849 0.843809
160000 -2.08939 2.00509
170000 -2.7395 2.42768
180000 -0.035463 1.58562
190000 -3.05476 1.74563
200000 -2.70837 2.97464
