# Time-averaged data for fix myat2
# TimeStep v_myvol
100 14416.6
200 14374.9
300 14326.1
400 14286.5
500 14243.4
600 14186.1
700 14152.9
800 14145.6
900 14159
1000 14175.2
1100 14186.3
1200 14204.8
1300 14231.8
1400 14277.3
1500 14339.5
1600 14387.5
1700 14403.9
1800 14406.4
1900 14393.6
2000 14370.9
2100 14334.1
2200 14289.2
2300 14238
2400 14196.9
2500 14187
2600 14201.2
2700 14213.4
2800 14219.6
2900 14214.8
3000 14218.7
3100 14236.5
3200 14247.6
3300 14243.5
3400 14228
3500 14194.5
3600 14162.6
3700 14132.6
3800 14121.8
3900 14122.5
4000 14114
4100 14099.8
4200 14075.5
4300 14052.9
4400 14034.7
4500 14034
4600 14033.3
4700 14021.6
4800 13992.7
4900 13949.3
5000 13920.5
5100 13898.6
5200 13893.9
5300 13892.4
5400 13882.7
5500 13854.9
5600 13830.4
5700 13807.9
5800 13787.4
5900 13783
6000 13790.3
6100 13802
6200 13819.1
6300 13855.2
6400 13903.1
6500 13977
6600 14056
6700 14118
6800 14170.3
6900 14220
7000 14242.9
7100 14230.1
7200 14201.4
7300 14195.1
7400 14200.1
7500 14197.2
7600 14191.3
7700 14176.3
7800 14150.2
7900 14109.4
8000 14033
8100 13951.2
8200 13887.9
8300 13843.8
8400 13812.7
8500 13784.6
8600 13773.5
8700 13793.4
8800 13834.3
8900 13868.3
9000 13886.4
9100 13901.3
9200 13934
9300 13965.7
9400 13987.2
9500 13996.1
9600 13995.3
9700 13987.2
9800 13968.9
9900 13933.5
10000 13899.3
