# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 374.181
200 373.872
300 337.875
400 325.283
500 312.002
600 308.109
700 302.301
800 302.529
900 301.73
1000 299.997
1100 302.154
1200 299.147
1300 299.601
1400 303.692
1500 295.831
1600 306.027
1700 297.396
1800 303.857
1900 316.676
2000 299.203
2100 301.202
2200 305.106
2300 299.467
2400 293.676
2500 306.729
2600 298.294
2700 299.787
2800 307.585
2900 304.692
3000 302.159
3100 293.534
3200 305.354
3300 304.462
3400 302.563
3500 296.189
3600 301.634
3700 298.069
3800 313.54
3900 302.6
4000 297.576
4100 305.943
4200 300.43
4300 299.071
4400 287.293
4500 303.246
4600 298.364
4700 295.861
4800 301.817
4900 294.334
5000 306.106
5100 307.025
5200 300.202
5300 301.552
5400 291.78
5500 289.853
5600 299.697
5700 302.634
5800 292.3
5900 302.345
6000 305.701
6100 296.429
6200 302.497
6300 297.961
6400 307.319
6500 301.336
6600 295.654
6700 308.204
6800 294.435
6900 301.449
7000 295.373
7100 307.638
7200 295.614
7300 302.543
7400 295.387
7500 293.576
7600 302.734
7700 298.501
7800 289.567
7900 302.804
8000 301.841
8100 305.045
8200 293.447
8300 302.921
8400 309.977
8500 304.067
8600 298.159
8700 301.828
8800 306.237
8900 300.027
9000 296.66
9100 301.19
9200 303.549
9300 312.92
9400 303.486
9500 293.223
9600 301.565
9700 295.626
9800 301.446
9900 293.332
10000 299.421
10100 308.112
10200 298.541
10300 297.724
10400 305.418
10500 297.434
10600 298.212
10700 299.37
10800 302.766
10900 300.135
11000 295.296
11100 294.066
11200 298.645
11300 304.342
11400 302.18
11500 297.531
11600 299.411
11700 288.699
11800 299.29
11900 306.059
12000 293.02
12100 307.111
12200 292.345
12300 300.771
12400 302.876
12500 303.505
12600 300.207
12700 286.227
12800 303.407
12900 300.411
13000 301.691
13100 293.918
13200 303.608
13300 300.269
13400 294.459
13500 301.076
13600 289.654
13700 297.391
13800 302.313
13900 298.348
14000 296.317
14100 312.049
14200 302.429
14300 294.284
14400 308.147
14500 295.22
14600 297.01
14700 303.972
14800 304.921
14900 296.556
15000 296.986
15100 305.563
15200 295.652
15300 306.087
15400 303.367
15500 296.725
15600 299.275
15700 299.283
15800 305.665
15900 310.096
16000 300.459
16100 302.97
16200 291.574
16300 298.015
16400 303.077
16500 299.612
16600 299.466
16700 303.95
16800 296.539
16900 296.092
17000 302.851
17100 298.813
17200 289.779
17300 305.37
17400 299.137
17500 289.517
17600 300.437
17700 294.79
17800 300.393
17900 301.014
18000 296.815
18100 290.896
18200 304.306
18300 300.198
18400 299.718
18500 298.32
18600 299.207
18700 300.049
18800 304.775
18900 303.254
19000 294.917
19100 295.651
19200 302.098
19300 295.051
19400 297.633
19500 300.724
19600 306.372
19700 295.55
19800 298.424
19900 301.373
20000 289.576
20100 297.967
20200 304.07
20300 290.342
20400 300.176
20500 301.942
20600 288.578
20700 304.301
20800 295.307
20900 301.387
21000 296.932
21100 293.468
21200 300.769
21300 296.271
21400 296.631
21500 303.943
21600 299.036
21700 297.308
21800 300.413
21900 299.138
22000 292.52
22100 297.834
22200 303.527
22300 292.164
22400 304.245
22500 287.561
22600 299.598
22700 303.172
22800 295.188
22900 296.779
23000 300.515
23100 300.733
23200 303.305
23300 299.992
23400 297.944
23500 304.482
23600 300.779
23700 302.74
23800 295.147
23900 306.178
24000 299.951
24100 301.026
24200 297.205
24300 295.357
24400 301.127
24500 300.673
24600 294.581
24700 300.719
24800 307.103
24900 301.269
25000 297.588
