# Time-averaged data for fix myat2
# TimeStep v_myvol
100 71795.2
200 70617.7
300 68860.3
400 66487.6
500 64284.9
600 62047.4
700 59929.5
800 57854
900 56020.9
1000 54476.9
1100 52920.6
1200 51258.7
1300 49762.4
1400 48329.9
1500 47008
1600 45715.4
1700 44588.7
1800 43550.8
1900 42471.6
2000 41432.8
2100 40355.6
2200 39196.7
2300 38304.6
2400 37588
2500 36676.1
2600 35789.8
2700 34953.8
2800 34405.4
2900 33446.1
3000 32557.6
3100 31579.1
3200 30627
3300 30002.8
3400 29298.8
3500 28711.1
3600 28098.2
3700 27618.1
3800 27263
3900 26834.1
4000 26174.1
4100 25568.9
4200 25058.2
4300 24704.9
4400 24262.1
4500 23694.1
4600 23149.9
4700 22616.3
4800 22243.4
4900 22014.7
5000 21725
5100 21351.1
5200 20832.2
5300 20395.4
5400 20130.6
5500 19875.9
5600 19777
5700 19778.7
5800 19845.9
5900 19684.4
6000 19554.2
6100 19482.1
6200 19340.2
6300 19236.2
6400 19221.9
6500 19217.9
6600 19114.7
6700 18979.9
6800 18861.3
6900 18643.1
7000 18395.5
7100 18355
7200 18447.5
7300 18288
7400 17988.7
7500 17794.2
7600 17801.1
7700 17768.1
7800 17761.4
7900 17801
8000 17757.3
8100 17506.5
8200 17384.3
8300 17479.2
8400 17593.5
8500 17553.3
8600 17354.4
8700 17081.9
8800 17015.2
8900 17005.2
9000 17066.7
9100 17153.6
9200 17272.2
9300 17216.9
9400 16985.6
9500 16827.8
9600 16779.4
9700 16845.1
9800 16708.3
9900 16377.8
10000 16099.8
10100 15908.3
10200 15683.8
10300 15411.2
10400 15193.9
10500 15001.1
10600 14758.4
10700 14510.1
10800 14284.8
10900 14170.3
11000 14108.5
11100 14172
11200 14289
11300 14243.8
11400 14179.6
11500 14248.3
11600 14320.1
11700 14344.3
11800 14339.7
11900 14375.3
12000 14492.8
12100 14487.3
12200 14545.3
12300 14617.5
12400 14526.8
12500 14433.2
12600 14428.4
12700 14412.9
12800 14391.6
12900 14409.1
13000 14478.6
13100 14384.8
13200 14246.1
13300 14255.1
13400 14254.2
13500 14066.8
13600 13952.5
13700 13995.7
13800 14222.4
13900 14459.2
14000 14410.6
14100 14244.4
14200 14179.9
14300 14240.1
14400 14140.8
14500 14096.5
14600 14131
14700 14218.8
14800 14246.2
14900 14327.4
15000 14451
15100 14617.6
15200 14776.6
15300 14780.4
15400 14534.9
15500 14294.8
15600 14180.7
15700 14158.5
15800 14157
15900 14190.5
16000 14359.6
16100 14416.9
16200 14364.8
16300 14359.4
16400 14347.1
16500 14316.6
16600 14270
16700 14290.5
16800 14223.3
16900 14190.4
17000 14268.2
17100 14292.9
17200 14290.8
17300 14336.4
17400 14329.9
17500 14307.4
17600 14289.4
17700 14308.3
17800 14483.1
17900 14592.1
18000 14536.3
18100 14378.2
18200 14224
18300 14093
18400 14128.1
18500 14326.9
18600 14694.2
18700 14754.5
18800 14572.2
18900 14515.1
19000 14485.7
19100 14481.9
19200 14486.3
19300 14424.9
19400 14312.9
19500 14369.2
19600 14376.1
19700 14477.3
19800 14473.9
19900 14407.9
20000 14292.9
20100 14140.1
20200 14107.8
20300 14173.2
20400 14265.7
20500 14348.4
20600 14431.7
20700 14300.4
20800 14191.3
20900 14266.8
21000 14500.9
21100 14585.4
21200 14446.6
21300 14453.6
21400 14435.4
21500 14336
21600 14371.8
21700 14451.7
21800 14395.4
21900 14346.7
22000 14339.7
22100 14352.8
22200 14360
22300 14289.8
22400 14113.6
22500 14084.4
22600 13972.3
22700 13996.7
22800 14140.1
22900 14141.2
23000 14117.1
23100 13960.8
23200 13908.2
23300 14092.8
23400 14251.4
23500 14301.8
23600 14345.5
23700 14469.5
23800 14571.1
23900 14550.2
24000 14451.2
24100 14383.5
24200 14182.5
24300 14157.2
24400 14292.3
24500 14367.2
24600 14357.6
24700 14236
24800 14126.7
24900 13985.9
25000 13951
