# Time-averaged data for fix myat1
# TimeStep f_mysf1[1] f_mysf2[1]
1000 -1.64456 0.380981
2000 -9.39248 2.92913
3000 -2.63423 -2.59059
4000 1.20785 -1.09204
5000 1.60826 -0.632556
6000 -5.28027 7.15458
7000 10.2825 4.23631
8000 -13.7027 -3.84028
9000 -1.92637 3.09827
10000 3.69618 3.75951
11000 -1.91758 -0.648551
12000 -3.73186 -0.356832
13000 1.05858 1.05145
14000 -3.0773 -2.62523
15000 -0.837786 10.3353
16000 1.36015 3.1358
17000 -3.33061 -3.65269
18000 -0.826709 9.4442
19000 -7.85413 0.299568
20000 -2.61148 2.94866
21000 -9.78412 0.682209
22000 5.50412 2.31153
23000 -2.88895 5.58421
24000 -4.38043 6.56663
25000 -7.1204 -0.238663
26000 0.357304 -0.540737
27000 -9.42546 5.05433
28000 3.09 -0.316151
29000 -2.47976 3.60636
30000 -2.32733 8.19923
31000 -2.68748 -0.66195
32000 5.14262 7.6335
33000 -2.27982 -0.335965
34000 -8.41046 -5.41579
35000 -3.30738 8.07156
36000 1.45925 -3.11291
37000 -1.28027 13.1162
38000 -4.8828 -3.58213
39000 -9.82066 1.50272
40000 -2.21611 5.94503
41000 2.21609 4.80117
42000 -3.89328 -0.314844
43000 -1.12621 4.98441
44000 1.70039 -2.45607
45000 -13.2419 3.75125
46000 7.96794 -2.70649
47000 2.91591 12.7998
48000 -3.83551 -2.16457
49000 -7.85353 0.41766
50000 -0.159528 -3.26367
51000 -10.8027 -0.73225
52000 3.33627 -1.62021
53000 3.58702 6.10498
54000 6.71895 11.1743
55000 -14.8215 4.29446
56000 -11.717 8.99676
57000 -5.7398 -4.03851
58000 -1.80701 3.91944
59000 0.746931 7.84156
60000 1.07379 -0.0865784
61000 -12.9257 3.90843
62000 -1.50723 3.55438
63000 -2.50996 -2.63835
64000 3.9013 9.57552
65000 -9.4614 3.49942
66000 -5.18093 -0.733013
67000 3.72054 2.29724
68000 -3.51278 2.62595
69000 -5.36027 6.07585
70000 -0.30205 9.80305
71000 0.304584 -1.77785
72000 -9.00423 2.21498
73000 -0.754368 3.04512
74000 -5.54763 2.51563
75000 -10.1723 0.902572
76000 -0.161199 -1.2107
77000 -6.79044 10.0979
78000 2.17346 7.56193
79000 -7.43062 5.10827
80000 -2.93963 -1.95908
81000 0.803519 -5.52401
82000 -2.37535 7.02177
