# Chunk-averaged data for fix myac1 and group gliquid
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
200000 80 3668
  1 -39.5 0 0
  2 -38.5 0 0
  3 -37.5 0 0
  4 -36.5 0 0
  5 -35.5 0 0
  6 -34.5 0 0
  7 -33.5 0 0
  8 -32.5 0 0
  9 -31.5 0 0
  10 -30.5 0 0
  11 -29.5 0 0
  12 -28.5 0 0
  13 -27.5 0 0
  14 -26.5 0 0
  15 -25.5 0 0
  16 -24.5 0 0
  17 -23.5 0 0
  18 -22.5 0 0
  19 -21.5 0 0
  20 -20.5 0 0
  21 -19.5 0 0
  22 -18.5 0 0
  23 -17.5 0 0
  24 -16.5 0.934867 -0.000191327
  25 -15.5 238.801 -0.000205
  26 -14.5 135.603 -0.000190752
  27 -13.5 42.7664 -0.000177842
  28 -12.5 163.444 -0.000175566
  29 -11.5 109.685 -0.000156407
  30 -10.5 81.3528 -0.000139726
  31 -9.5 114.807 -0.000116826
  32 -8.5 112.149 -0.000112208
  33 -7.5 98.1461 -0.000103447
  34 -6.5 105.753 -9.53287e-05
  35 -5.5 107.52 -7.82462e-05
  36 -4.5 102.974 -8.21985e-05
  37 -3.5 103.987 -6.21228e-05
  38 -2.5 106.227 -4.36621e-05
  39 -1.5 104.36 -1.89165e-05
  40 -0.5 103.67 -2.62189e-05
  41 0.5 104.248 -4.14314e-06
  42 1.5 104.803 1.10139e-05
  43 2.5 105.454 1.52585e-05
  44 3.5 104.716 3.90022e-05
  45 4.5 102.46 5.02573e-05
  46 5.5 107.24 7.43993e-05
  47 6.5 106.003 8.31993e-05
  48 7.5 97.795 8.82341e-05
  49 8.5 112.775 0.000118273
  50 9.5 113.913 0.000135553
  51 10.5 82.7379 0.000147814
  52 11.5 106.435 0.000153701
  53 12.5 166.216 0.000163353
  54 13.5 46.8641 0.000184975
  55 14.5 120.169 0.00018823
  56 15.5 252.66 0.000206717
  57 16.5 1.33387 6.36986e-05
  58 17.5 0 0
  59 18.5 0 0
  60 19.5 0 0
  61 20.5 0 0
  62 21.5 0 0
  63 22.5 0 0
  64 23.5 0 0
  65 24.5 0 0
  66 25.5 0 0
  67 26.5 0 0
  68 27.5 0 0
  69 28.5 0 0
  70 29.5 0 0
  71 30.5 0 0
  72 31.5 0 0
  73 32.5 0 0
  74 33.5 0 0
  75 34.5 0 0
  76 35.5 0 0
  77 36.5 0 0
  78 37.5 0 0
  79 38.5 0 0
  80 39.5 0 0
