# Chunk-averaged data for fix myac2 and group gwall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
200000 80 1280
  1 -39.5 0 0
  2 -38.5 0 0
  3 -37.5 0 0
  4 -36.5 0 0
  5 -35.5 0 0
  6 -34.5 0 0
  7 -33.5 0 0
  8 -32.5 0 0
  9 -31.5 0 0
  10 -30.5 0 0
  11 -29.5 0 0
  12 -28.5 0 0
  13 -27.5 0 0
  14 -26.5 0.000866667 -0.0002
  15 -25.5 127.999 -0.0002
  16 -24.5 0.000133333 -0.0002
  17 -23.5 128 -0.0002
  18 -22.5 0 0
  19 -21.5 128 -0.0002
  20 -20.5 0.0006 -0.0002
  21 -19.5 127.999 -0.0002
  22 -18.5 0.0022 -0.0002
  23 -17.5 127.998 -0.0002
  24 -16.5 0 0
  25 -15.5 0 0
  26 -14.5 0 0
  27 -13.5 0 0
  28 -12.5 0 0
  29 -11.5 0 0
  30 -10.5 0 0
  31 -9.5 0 0
  32 -8.5 0 0
  33 -7.5 0 0
  34 -6.5 0 0
  35 -5.5 0 0
  36 -4.5 0 0
  37 -3.5 0 0
  38 -2.5 0 0
  39 -1.5 0 0
  40 -0.5 0 0
  41 0.5 0 0
  42 1.5 0 0
  43 2.5 0 0
  44 3.5 0 0
  45 4.5 0 0
  46 5.5 0 0
  47 6.5 0 0
  48 7.5 0 0
  49 8.5 0 0
  50 9.5 0 0
  51 10.5 0 0
  52 11.5 0 0
  53 12.5 0 0
  54 13.5 0 0
  55 14.5 0 0
  56 15.5 0 0
  57 16.5 0 0
  58 17.5 127.961 0.0002
  59 18.5 0.0386 0.0002
  60 19.5 127.99 0.0002
  61 20.5 0.0104 0.0002
  62 21.5 127.999 0.0002
  63 22.5 0.000733333 0.0002
  64 23.5 128 0.0002
  65 24.5 0.000266667 0.0002
  66 25.5 127.99 0.0002
  67 26.5 0.0102 0.0002
  68 27.5 0 0
  69 28.5 0 0
  70 29.5 0 0
  71 30.5 0 0
  72 31.5 0 0
  73 32.5 0 0
  74 33.5 0 0
  75 34.5 0 0
  76 35.5 0 0
  77 36.5 0 0
  78 37.5 0 0
  79 38.5 0 0
  80 39.5 0 0
