# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
55400100 21.8342 22
55400200 22.1096 22
55400300 22.0261 22
55400400 21.8143 22
55400500 21.8746 22
55400600 22.047 22
55400700 22.044 22
55400800 22.0983 22
55400900 21.8912 22
55401000 22.0427 22
55401100 22.0984 22
55401200 22.1072 22
55401300 22.2106 22
55401400 21.9934 22
55401500 21.877 22
55401600 22.009 22
55401700 21.9487 22
55401800 22.047 22
55401900 22.0427 22
55402000 22.084 22
55402100 21.9597 22
55402200 21.9748 22
55402300 21.9571 22
55402400 22.0232 22
55402500 22.1677 22
55402600 21.8643 22
55402700 22.0162 22
55402800 21.9258 22
55402900 21.8702 22
55403000 22.0289 22
55403100 21.9935 22
55403200 22.0687 22
55403300 22.1025 22
55403400 21.9317 22
55403500 21.9117 22
55403600 22.0868 22
55403700 21.7955 22
55403800 21.9842 22
55403900 21.9898 22
55404000 22.1214 22
55404100 21.9702 22
55404200 21.9681 22
55404300 22.1386 22
55404400 21.9157 22
55404500 22.0972 22
55404600 22.1519 22
55404700 22.0535 22
55404800 21.9609 22
55404900 21.9868 22
55405000 22.0749 22
55405100 21.986 22
55405200 21.9681 22
55405300 22.0093 22
55405400 22.1694 22
55405500 21.9174 22
55405600 21.939 22
55405700 21.9488 22
55405800 21.8593 22
55405900 21.9261 22
55406000 21.9775 22
55406100 22.1285 22
55406200 21.9849 22
55406300 21.9168 22
55406400 22.0333 22
55406500 21.8582 22
55406600 21.9003 22
55406700 21.8859 22
55406800 22.091 22
55406900 22.1365 22
55407000 21.9962 22
55407100 21.8995 22
55407200 21.9568 22
55407300 21.9402 22
55407400 21.9606 22
55407500 22.094 22
55407600 22.0402 22
55407700 21.9508 22
55407800 22.0272 22
55407900 22.0695 22
55408000 21.882 22
55408100 22.1191 22
55408200 22.1759 22
55408300 21.8145 22
55408400 22.0349 22
55408500 22.1662 22
55408600 21.9157 22
55408700 22.0582 22
55408800 21.9665 22
55408900 21.9897 22
55409000 21.8913 22
55409100 21.9402 22
55409200 21.9992 22
55409300 22.1094 22
55409400 21.9349 22
55409500 22.3246 22
55409600 21.8091 22
55409700 21.9408 22
55409800 22.2358 22
55409900 21.984 22
55410000 21.9807 22
55410100 22.0063 22
55410200 21.9868 22
55410300 22.0279 22
55410400 21.8474 22
55410500 21.9113 22
55410600 22.0282 22
55410700 22.1712 22
55410800 21.9956 22
55410900 21.9466 22
55411000 22.042 22
55411100 21.9157 22
55411200 21.7627 22
55411300 21.9964 22
55411400 21.9931 22
55411500 22.0721 22
55411600 22.081 22
55411700 22.0993 22
55411800 22.0232 22
55411900 21.7998 22
55412000 21.9855 22
55412100 21.8954 22
55412200 21.9199 22
55412300 22.0877 22
55412400 21.7142 22
55412500 21.9822 22
55412600 22.1449 22
55412700 22.1122 22
55412800 21.8846 22
55412900 22.0941 22
55413000 21.8957 22
55413100 22.0836 22
55413200 22.064 22
55413300 22.0377 22
55413400 21.7931 22
55413500 22.1043 22
55413600 22.0704 22
55413700 21.9284 22
55413800 22.1137 22
55413900 21.8047 22
55414000 22.032 22
55414100 22.0412 22
55414200 21.8995 22
55414300 22.0016 22
55414400 21.8886 22
55414500 21.8843 22
55414600 21.9521 22
55414700 22.1136 22
55414800 22.09 22
55414900 21.9456 22
55415000 21.932 22
55415100 22.1239 22
55415200 21.874 22
55415300 22.1155 22
55415400 22.1499 22
55415500 22.012 22
55415600 22.0141 22
55415700 22.1032 22
55415800 21.8579 22
55415900 22.0472 22
55416000 22.1401 22
55416100 21.9873 22
55416200 21.8442 22
55416300 21.9782 22
55416400 21.8597 22
55416500 21.9794 22
55416600 22.0379 22
55416700 21.9799 22
55416800 21.9648 22
55416900 21.892 22
55417000 21.9876 22
55417100 21.9713 22
55417200 22.1449 22
55417300 21.9358 22
55417400 22.0727 22
55417500 22.2209 22
55417600 22.0635 22
55417700 21.883 22
55417800 21.8796 22
55417900 22.1259 22
55418000 21.8975 22
55418100 21.688 22
55418200 22.1102 22
55418300 21.9531 22
55418400 22.0546 22
55418500 21.8947 22
55418600 22.0022 22
55418700 21.9796 22
55418800 22.1455 22
55418900 21.9302 22
55419000 21.8503 22
55419100 21.857 22
55419200 22.1198 22
55419300 21.8895 22
55419400 22.1215 22
55419500 22.1231 22
55419600 21.9958 22
55419700 22.0353 22
55419800 21.8976 22
55419900 22.1191 22
55420000 22.0061 22
55420100 22.1286 22
55420200 22.1023 22
55420300 22.0163 22
55420400 21.8807 22
55420500 22.0386 22
55420600 21.9272 22
55420700 22.0191 22
55420800 22.1311 22
55420900 21.9508 22
55421000 22.2296 22
55421100 22.1534 22
55421200 21.99 22
55421300 22.0062 22
55421400 21.86 22
55421500 22.0518 22
55421600 22.0453 22
55421700 21.931 22
55421800 22.2602 22
55421900 21.887 22
55422000 22.0309 22
55422100 21.9224 22
55422200 21.9712 22
55422300 22.2062 22
55422400 22.2286 22
55422500 22.0076 22
55422600 22.1208 22
55422700 21.748 22
55422800 21.9438 22
55422900 21.9703 22
55423000 22.0271 22
55423100 22.0789 22
55423200 22.1084 22
55423300 22.0195 22
55423400 22.1129 22
55423500 21.9622 22
55423600 22.0609 22
55423700 22.0391 22
55423800 22.0427 22
55423900 21.9661 22
55424000 22.202 22
55424100 22.1028 22
55424200 22.0181 22
55424300 22.0782 22
55424400 22.0566 22
55424500 21.8887 22
55424600 21.8855 22
55424700 21.8429 22
55424800 22.0221 22
55424900 21.9373 22
55425000 22.0389 22
55425100 21.9082 22
55425200 22.096 22
55425300 22.1638 22
55425400 22.0373 22
55425500 21.872 22
55425600 22.2154 22
55425700 21.8849 22
55425800 21.9156 22
55425900 21.8871 22
55426000 22.141 22
55426100 21.8935 22
55426200 21.8786 22
55426300 22.0522 22
55426400 22.251 22
55426500 22.23 22
55426600 22.0022 22
55426700 21.8394 22
55426800 22.0294 22
55426900 21.9768 22
55427000 21.9222 22
55427100 22.0959 22
55427200 21.9133 22
55427300 21.9953 22
55427400 22.111 22
55427500 21.8335 22
55427600 21.9102 22
55427700 21.9364 22
55427800 21.9496 22
55427900 22.1345 22
55428000 22.0173 22
55428100 22.0825 22
55428200 22.0128 22
55428300 22.049 22
55428400 22.0677 22
55428500 22.0098 22
55428600 21.9716 22
55428700 22.222 22
55428800 21.9523 22
55428900 22.2647 22
55429000 22.1134 22
55429100 22.1465 22
55429200 22.1391 22
55429300 22.1072 22
55429400 22.124 22
55429500 21.9313 22
55429600 21.8497 22
55429700 21.892 22
55429800 21.8729 22
55429900 21.9903 22
55430000 21.8964 22
55430100 21.9245 22
55430200 21.9986 22
55430300 22.097 22
55430400 21.9535 22
55430500 21.9576 22
55430600 21.8976 22
55430700 21.8953 22
55430800 21.9686 22
55430900 22.0037 22
55431000 21.8029 22
55431100 22.1377 22
55431200 22.1535 22
55431300 21.8886 22
55431400 22.1083 22
55431500 21.866 22
55431600 21.9174 22
55431700 22.0508 22
55431800 22.0451 22
55431900 22.0845 22
55432000 21.839 22
55432100 21.8493 22
55432200 21.9323 22
55432300 22.0702 22
55432400 22.0371 22
55432500 21.8825 22
55432600 21.9513 22
55432700 22.0547 22
55432800 21.8931 22
55432900 22.0793 22
55433000 22.0602 22
55433100 22.0655 22
55433200 22.0679 22
55433300 22.0458 22
55433400 21.9599 22
55433500 22.0693 22
55433600 22.0686 22
55433700 21.9558 22
55433800 21.9234 22
55433900 22.0794 22
55434000 22.0811 22
55434100 21.7982 22
55434200 21.8199 22
55434300 22.0599 22
55434400 22.0985 22
55434500 22.098 22
55434600 21.8802 22
55434700 21.9335 22
55434800 21.8255 22
55434900 21.7537 22
55435000 22.0174 22
55435100 22.1065 22
55435200 21.7905 22
55435300 21.9747 22
55435400 22.1761 22
55435500 22.0738 22
55435600 21.8671 22
55435700 22.0144 22
55435800 22.1351 22
55435900 22.0149 22
55436000 22.034 22
55436100 21.8855 22
55436200 21.8408 22
55436300 21.9855 22
55436400 22.0426 22
55436500 21.9472 22
55436600 21.9684 22
55436700 22.0378 22
55436800 22.0663 22
55436900 21.8951 22
55437000 21.8637 22
55437100 21.9759 22
55437200 22.0641 22
55437300 22.0244 22
55437400 21.8769 22
55437500 22.0245 22
55437600 22.0434 22
55437700 22.0284 22
55437800 21.9051 22
55437900 22.1009 22
55438000 21.9934 22
55438100 21.9627 22
55438200 21.9636 22
55438300 21.9184 22
55438400 22.0568 22
55438500 22.0409 22
55438600 22.0345 22
55438700 22.0381 22
55438800 21.8939 22
55438900 22.1111 22
55439000 21.9339 22
55439100 21.957 22
55439200 22.046 22
55439300 21.9472 22
55439400 21.9115 22
55439500 22.0343 22
55439600 22.0147 22
55439700 22.1057 22
55439800 22.0582 22
55439900 21.9306 22
55440000 21.9282 22
55440100 21.8877 22
55440200 21.8406 22
55440300 21.9448 22
55440400 22.0441 22
55440500 22.0375 22
55440600 21.9879 22
55440700 21.98 22
55440800 22.0353 22
55440900 22.0021 22
55441000 21.9069 22
55441100 21.9044 22
55441200 21.9231 22
55441300 21.8952 22
55441400 21.8991 22
55441500 21.9804 22
55441600 21.9689 22
55441700 22.0406 22
55441800 21.9014 22
55441900 22.0817 22
55442000 22.2381 22
55442100 21.9783 22
55442200 21.9671 22
55442300 21.9298 22
55442400 22.0714 22
55442500 21.9573 22
55442600 21.9023 22
55442700 22.0678 22
55442800 22.0485 22
55442900 22.0254 22
55443000 22.0512 22
55443100 22.1121 22
55443200 21.7932 22
55443300 22.0397 22
55443400 21.8122 22
55443500 22.0475 22
55443600 21.9544 22
55443700 21.9866 22
55443800 22.13 22
55443900 22.0716 22
55444000 22.0044 22
55444100 22.0111 22
55444200 22.1592 22
55444300 21.8164 22
55444400 21.8599 22
55444500 21.9411 22
55444600 21.9038 22
55444700 22.0902 22
55444800 22.2211 22
55444900 22.0673 22
55445000 22.0846 22
55445100 22.0025 22
55445200 22.2264 22
55445300 22.1706 22
55445400 21.9717 22
55445500 22.061 22
55445600 21.9531 22
55445700 22.0384 22
55445800 21.9942 22
55445900 22.0502 22
55446000 21.9003 22
55446100 22.0073 22
55446200 22.0383 22
55446300 22.0189 22
55446400 21.9507 22
55446500 22.0315 22
55446600 22.0133 22
55446700 22.1551 22
55446800 21.8725 22
55446900 21.986 22
55447000 21.934 22
55447100 22.0264 22
55447200 22.0562 22
55447300 22.0937 22
55447400 21.9796 22
55447500 22.1408 22
55447600 22.0996 22
55447700 22.0273 22
55447800 21.9207 22
55447900 21.9785 22
55448000 22.1105 22
55448100 21.9378 22
55448200 21.9048 22
55448300 21.9864 22
55448400 22.102 22
55448500 21.9943 22
55448600 22.0831 22
55448700 21.9574 22
55448800 21.8988 22
55448900 22.1632 22
55449000 22.0196 22
55449100 21.957 22
55449200 21.9993 22
55449300 22.0295 22
