# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
45800100 14.2465 14
45800200 14.3089 14
45800300 14.3819 14
45800400 14.5009 14
45800500 14.5952 14
45800600 14.5351 14
45800700 14.125 14
45800800 13.9809 14
45800900 14.4777 14
45801000 14.6936 14
45801100 14.8322 14
45801200 14.3958 14
45801300 14.1624 14
45801400 13.9615 14
45801500 13.7242 14
45801600 13.7061 14
45801700 13.9561 14
45801800 14.1338 14
45801900 14.2972 14
45802000 14.6789 14
45802100 14.8095 14
45802200 14.8942 14
45802300 14.8567 14
45802400 14.1458 14
45802500 13.8815 14
45802600 13.8122 14
45802700 13.758 14
45802800 13.6967 14
45802900 13.7895 14
45803000 13.9325 14
45803100 13.9199 14
45803200 13.8279 14
45803300 13.6601 14
45803400 13.412 14
45803500 13.5214 14
45803600 13.608 14
45803700 13.3218 14
45803800 13.4669 14
45803900 13.4669 14
45804000 13.5485 14
45804100 13.7667 14
45804200 14.1907 14
45804300 14.3543 14
45804400 14.4148 14
45804500 14.4521 14
45804600 14.8454 14
45804700 15.0866 14
45804800 15.1638 14
45804900 14.8489 14
45805000 14.6833 14
45805100 14.4446 14
45805200 14.28 14
45805300 14.2297 14
45805400 13.9573 14
45805500 13.583 14
45805600 13.683 14
45805700 13.7809 14
45805800 13.5338 14
45805900 13.3585 14
45806000 13.4519 14
45806100 13.5565 14
45806200 13.789 14
45806300 13.7727 14
45806400 13.7706 14
45806500 14.0443 14
45806600 14.2187 14
45806700 14.5948 14
45806800 14.3852 14
45806900 14.1119 14
45807000 13.9698 14
45807100 13.8225 14
45807200 13.807 14
45807300 13.911 14
45807400 13.8831 14
45807500 13.4534 14
45807600 13.3494 14
45807700 13.663 14
45807800 13.6479 14
45807900 13.4159 14
45808000 13.3622 14
45808100 13.2162 14
45808200 13.2635 14
45808300 13.4711 14
45808400 13.6941 14
45808500 13.2343 14
45808600 12.7677 14
45808700 13.0391 14
45808800 13.1526 14
45808900 13.5913 14
45809000 13.7746 14
45809100 13.9336 14
45809200 13.8823 14
45809300 14.0124 14
45809400 13.8896 14
45809500 13.6764 14
45809600 13.6686 14
45809700 13.5616 14
45809800 13.6752 14
45809900 13.9152 14
45810000 13.8278 14
45810100 13.8583 14
45810200 13.9761 14
45810300 13.7972 14
45810400 13.8882 14
45810500 13.9519 14
45810600 14.0564 14
45810700 14.1866 14
45810800 14.474 14
45810900 14.4305 14
45811000 14.2142 14
45811100 13.883 14
45811200 13.8565 14
45811300 13.8729 14
45811400 14.1194 14
45811500 14.1891 14
45811600 13.8112 14
45811700 13.6503 14
45811800 13.9242 14
45811900 14.3527 14
45812000 14.4162 14
45812100 14.6115 14
45812200 14.7675 14
45812300 14.9127 14
45812400 15.0083 14
45812500 14.7949 14
45812600 14.3881 14
45812700 14.0819 14
45812800 14.1016 14
45812900 13.9927 14
45813000 13.7704 14
45813100 13.6734 14
45813200 13.6277 14
45813300 13.4526 14
45813400 13.4395 14
45813500 13.6261 14
45813600 13.7181 14
45813700 13.6119 14
45813800 13.5913 14
45813900 13.6522 14
45814000 13.5641 14
45814100 13.5333 14
45814200 13.6278 14
45814300 13.7518 14
45814400 13.7359 14
45814500 13.5812 14
45814600 13.5551 14
45814700 13.8554 14
45814800 14.2075 14
45814900 14.2321 14
45815000 14.5721 14
45815100 14.8378 14
45815200 14.6254 14
45815300 14.7884 14
45815400 14.4409 14
45815500 14.0039 14
45815600 13.9576 14
45815700 13.7509 14
45815800 13.6706 14
45815900 13.823 14
45816000 14.1753 14
45816100 14.6001 14
45816200 14.5081 14
45816300 14.1455 14
45816400 14.179 14
45816500 14.4395 14
45816600 14.376 14
45816700 14.1976 14
45816800 14.3999 14
45816900 14.3209 14
45817000 14.1266 14
45817100 14.1188 14
45817200 14.1069 14
45817300 14.1144 14
45817400 14.0082 14
45817500 13.7966 14
45817600 13.7136 14
45817700 13.9644 14
45817800 13.9993 14
45817900 13.7401 14
45818000 13.796 14
45818100 14.0026 14
45818200 13.8294 14
45818300 13.7184 14
45818400 13.4559 14
45818500 13.4298 14
45818600 13.597 14
45818700 13.7022 14
45818800 13.7783 14
45818900 13.6702 14
45819000 13.7686 14
45819100 13.605 14
45819200 13.3346 14
45819300 13.3686 14
45819400 13.4282 14
45819500 13.3915 14
45819600 13.3935 14
45819700 13.2887 14
45819800 13.6537 14
45819900 13.7923 14
45820000 13.9021 14
45820100 14.0242 14
45820200 13.6239 14
45820300 13.5593 14
45820400 13.8508 14
45820500 13.9128 14
45820600 13.5248 14
45820700 13.2794 14
45820800 13.311 14
45820900 13.1953 14
45821000 13.2777 14
45821100 13.4053 14
45821200 13.3574 14
45821300 13.3095 14
45821400 13.3891 14
45821500 13.6021 14
45821600 13.63 14
45821700 13.6905 14
45821800 13.729 14
