# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000000 50 60
  1 -24.5 1.66566 0.00104104
  2 -23.5 1.65864 0.00103665
  3 -22.5 1.68994 0.00105621
  4 -21.5 1.70146 0.00106341
  5 -20.5 1.66952 0.00104345
  6 -19.5 1.64583 0.00102864
  7 -18.5 1.66365 0.00103978
  8 -17.5 1.63938 0.00102461
  9 -16.5 1.63835 0.00102397
  10 -15.5 1.60089 0.00100055
  11 -14.5 1.57677 0.00098548
  12 -13.5 1.58554 0.00099096
  13 -12.5 1.59645 0.000997784
  14 -11.5 1.56966 0.000981037
  15 -10.5 1.55453 0.000971583
  16 -9.5 1.50144 0.000938401
  17 -8.5 1.4326 0.000895374
  18 -7.5 1.34306 0.000839416
  19 -6.5 1.1029 0.000689311
  20 -5.5 0.465098 0.000290686
  21 -4.5 0.029693 1.85581e-05
  22 -3.5 0.006701 4.18813e-06
  23 -2.5 0.003904 2.44e-06
  24 -1.5 0.003351 2.09437e-06
  25 -0.5 0.003313 2.07063e-06
  26 0.5 0.006547 4.09187e-06
  27 1.5 0.007258 4.53625e-06
  28 2.5 0.006819 4.26187e-06
  29 3.5 0.007779 4.86188e-06
  30 4.5 0.027513 1.71956e-05
  31 5.5 0.4145 0.000259063
  32 6.5 0.953922 0.000596201
  33 7.5 1.19456 0.000746601
  34 8.5 1.3321 0.000832562
  35 9.5 1.44224 0.000901401
  36 10.5 1.47775 0.000923597
  37 11.5 1.52969 0.000956059
  38 12.5 1.57045 0.000981531
  39 13.5 1.60142 0.00100089
  40 14.5 1.62721 0.00101701
  41 15.5 1.61664 0.0010104
  42 16.5 1.6347 0.00102169
  43 17.5 1.66075 0.00103797
  44 18.5 1.65769 0.00103606
  45 19.5 1.65278 0.00103299
  46 20.5 1.65853 0.00103658
  47 21.5 1.63082 0.00101926
  48 22.5 1.643 0.00102687
  49 23.5 1.64023 0.00102514
  50 24.5 1.65675 0.00103547
