# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
11602000 -12.5963 -9.5
11604000 -11.2256 -9.5
11606000 -10.5883 -9.5
11608000 -11.4241 -9.5
11610000 -12.2905 -9.5
11612000 -12.3931 -9.5
11614000 -12.0605 -9.5
11616000 -12.5552 -9.5
11618000 -12.2498 -9.5
11620000 -11.19 -9.5
11622000 -11.0497 -9.5
11624000 -9.81726 -9.5
11626000 -9.92933 -9.5
11628000 -10.1922 -9.5
11630000 -9.88167 -9.5
11632000 -9.39455 -9.5
11634000 -9.73901 -9.5
11636000 -9.69791 -9.5
11638000 -10.0376 -9.5
11640000 -9.92357 -9.5
11642000 -9.09216 -9.5
11644000 -9.39049 -9.5
11646000 -9.83565 -9.5
11648000 -9.07461 -9.5
11650000 -9.05761 -9.5
11652000 -8.18687 -9.5
11654000 -8.98625 -9.5
11656000 -9.15924 -9.5
11658000 -9.82839 -9.5
11660000 -10.2431 -9.5
11662000 -10.6733 -9.5
11664000 -10.913 -9.5
11666000 -10.0319 -9.5
11668000 -9.80095 -9.5
11670000 -9.9433 -9.5
11672000 -10.311 -9.5
11674000 -10.1774 -9.5
11676000 -9.39705 -9.5
11678000 -8.88706 -9.5
11680000 -9.04764 -9.5
11682000 -9.59722 -9.5
11684000 -8.98922 -9.5
11686000 -9.37896 -9.5
11688000 -8.51322 -9.5
11690000 -10.0169 -9.5
11692000 -9.48436 -9.5
11694000 -9.54741 -9.5
11696000 -9.53769 -9.5
11698000 -9.34473 -9.5
11700000 -8.80025 -9.5
11702000 -8.70999 -9.5
11704000 -9.18191 -9.5
11706000 -9.54666 -9.5
11708000 -9.09181 -9.5
11710000 -9.45121 -9.5
11712000 -9.79889 -9.5
11714000 -8.71748 -9.5
11716000 -8.56584 -9.5
11718000 -7.88167 -9.5
11720000 -8.35178 -9.5
11722000 -7.93102 -9.5
11724000 -8.57706 -9.5
11726000 -8.40199 -9.5
11728000 -8.89001 -9.5
11730000 -8.23908 -9.5
11732000 -7.93921 -9.5
11734000 -8.22762 -9.5
11736000 -10.0323 -9.5
11738000 -9.71342 -9.5
11740000 -9.33745 -9.5
11742000 -8.81308 -9.5
11744000 -8.77064 -9.5
11746000 -9.7572 -9.5
11748000 -9.18099 -9.5
11750000 -9.74466 -9.5
11752000 -10.6934 -9.5
11754000 -10.9029 -9.5
11756000 -10.7933 -9.5
11758000 -9.42558 -9.5
11760000 -9.38994 -9.5
11762000 -10.2067 -9.5
11764000 -9.89597 -9.5
11766000 -9.21383 -9.5
11768000 -9.31402 -9.5
11770000 -9.15633 -9.5
11772000 -8.66006 -9.5
11774000 -8.69826 -9.5
11776000 -9.189 -9.5
11778000 -8.63839 -9.5
11780000 -8.15378 -9.5
11782000 -8.7583 -9.5
11784000 -9.36075 -9.5
11786000 -9.32729 -9.5
11788000 -8.57279 -9.5
11790000 -8.67656 -9.5
11792000 -8.99916 -9.5
11794000 -9.42874 -9.5
11796000 -9.65348 -9.5
11798000 -9.91814 -9.5
11800000 -9.91036 -9.5
11802000 -9.46854 -9.5
11804000 -9.57151 -9.5
11806000 -10.3935 -9.5
11808000 -10.9282 -9.5
11810000 -9.44131 -9.5
11812000 -9.39038 -9.5
11814000 -9.70766 -9.5
11816000 -8.38019 -9.5
11818000 -9.02871 -9.5
11820000 -9.64706 -9.5
11822000 -8.76464 -9.5
11824000 -9.06958 -9.5
11826000 -8.45297 -9.5
11828000 -8.6271 -9.5
11830000 -8.97902 -9.5
11832000 -9.11459 -9.5
11834000 -9.79047 -9.5
11836000 -10.5247 -9.5
11838000 -9.56344 -9.5
11840000 -9.46213 -9.5
11842000 -9.51269 -9.5
11844000 -10.4265 -9.5
11846000 -10.3642 -9.5
11848000 -9.72704 -9.5
11850000 -8.68248 -9.5
11852000 -9.25556 -9.5
11854000 -10.3762 -9.5
11856000 -10.9326 -9.5
11858000 -10.464 -9.5
11860000 -10.512 -9.5
11862000 -9.65316 -9.5
11864000 -9.31334 -9.5
11866000 -9.29775 -9.5
11868000 -9.38016 -9.5
11870000 -10.04 -9.5
11872000 -10.0056 -9.5
11874000 -9.29994 -9.5
11876000 -8.99679 -9.5
11878000 -9.27088 -9.5
11880000 -9.77562 -9.5
11882000 -8.51783 -9.5
11884000 -8.98346 -9.5
11886000 -9.54803 -9.5
11888000 -10.02 -9.5
11890000 -9.82224 -9.5
11892000 -10.0449 -9.5
11894000 -8.98623 -9.5
11896000 -8.42457 -9.5
11898000 -8.94757 -9.5
11900000 -8.99589 -9.5
11902000 -8.91166 -9.5
11904000 -8.75648 -9.5
11906000 -8.80518 -9.5
11908000 -9.00116 -9.5
11910000 -9.81439 -9.5
11912000 -9.3388 -9.5
11914000 -9.08143 -9.5
11916000 -9.17124 -9.5
11918000 -10.1375 -9.5
11920000 -9.44042 -9.5
11922000 -8.65617 -9.5
11924000 -9.29119 -9.5
11926000 -9.59337 -9.5
11928000 -9.23183 -9.5
11930000 -9.93685 -9.5
11932000 -9.57601 -9.5
11934000 -10.2135 -9.5
11936000 -10.6471 -9.5
11938000 -10.431 -9.5
11940000 -9.87891 -9.5
11942000 -9.50445 -9.5
11944000 -8.74943 -9.5
11946000 -8.83717 -9.5
11948000 -9.53873 -9.5
11950000 -9.78924 -9.5
11952000 -10.1963 -9.5
11954000 -10.2139 -9.5
11956000 -10.2522 -9.5
11958000 -9.70336 -9.5
11960000 -9.89643 -9.5
11962000 -9.56011 -9.5
11964000 -9.94032 -9.5
11966000 -9.31204 -9.5
11968000 -9.66759 -9.5
11970000 -10.1492 -9.5
11972000 -10.4063 -9.5
11974000 -11.3144 -9.5
11976000 -10.3157 -9.5
11978000 -10.5079 -9.5
11980000 -10.2076 -9.5
11982000 -9.23949 -9.5
11984000 -9.13328 -9.5
11986000 -8.78514 -9.5
11988000 -8.89044 -9.5
11990000 -9.38012 -9.5
11992000 -9.19748 -9.5
11994000 -9.2191 -9.5
11996000 -8.86943 -9.5
11998000 -9.19333 -9.5
12000000 -9.53118 -9.5
12002000 -8.72169 -9.5
12004000 -9.06769 -9.5
12006000 -9.62212 -9.5
12008000 -9.5423 -9.5
12010000 -9.60853 -9.5
12012000 -9.77014 -9.5
12014000 -9.98884 -9.5
12016000 -10.5952 -9.5
12018000 -10.7846 -9.5
12020000 -12.014 -9.5
12022000 -11.4629 -9.5
12024000 -11.4579 -9.5
12026000 -10.944 -9.5
12028000 -10.8128 -9.5
12030000 -10.8843 -9.5
12032000 -10.6761 -9.5
12034000 -9.39103 -9.5
12036000 -9.71854 -9.5
12038000 -9.1992 -9.5
12040000 -8.6468 -9.5
12042000 -9.46465 -9.5
12044000 -9.92933 -9.5
12046000 -10.2285 -9.5
12048000 -10.0335 -9.5
12050000 -9.38272 -9.5
12052000 -9.00442 -9.5
12054000 -8.98955 -9.5
12056000 -9.54902 -9.5
12058000 -9.67728 -9.5
12060000 -7.84928 -9.5
12062000 -6.8761 -9.5
12064000 -6.58892 -9.5
12066000 -6.4509 -9.5
12068000 -6.98357 -9.5
12070000 -6.94947 -9.5
