# Time-averaged data for fix at2
# TimeStep v_L
6000 40.5753
7000 40.6753
8000 40.7753
9000 40.8753
10000 40.9753
11000 41.0753
12000 41.1753
13000 41.2753
14000 41.3753
15000 41.4753
16000 41.5753
17000 41.6753
18000 41.7753
19000 41.8753
20000 41.9753
21000 42.0753
22000 42.1753
23000 42.2753
24000 42.3753
25000 42.4753
26000 42.5753
27000 42.6753
28000 42.7753
29000 42.8753
30000 42.9753
31000 43.0753
32000 43.1753
33000 43.2753
34000 43.3753
35000 43.4753
36000 43.5753
37000 43.6753
38000 43.7753
39000 43.8753
40000 43.9753
41000 44.0753
42000 44.1753
43000 44.2753
44000 44.3753
45000 44.4753
46000 44.5753
47000 44.6753
48000 44.7753
49000 44.8753
50000 44.9753
51000 45.0753
52000 45.1753
53000 45.2753
54000 45.3753
55000 45.4753
56000 45.5753
57000 45.6753
58000 45.7753
59000 45.8753
60000 45.9753
61000 46.0753
62000 46.1753
63000 46.2753
64000 46.3753
65000 46.4753
66000 46.5753
67000 46.6753
68000 46.7753
69000 46.8753
70000 46.9753
71000 47.0753
72000 47.1753
73000 47.2753
74000 47.3753
75000 47.4753
76000 47.5753
77000 47.6753
78000 47.7753
79000 47.8753
80000 47.9753
81000 48.0753
82000 48.1753
83000 48.2753
84000 48.3753
85000 48.4753
86000 48.5753
87000 48.6753
88000 48.7753
89000 48.8753
90000 48.9753
91000 49.0753
92000 49.1753
93000 49.2753
94000 49.3753
95000 49.4753
96000 49.5753
97000 49.6753
98000 49.7753
99000 49.8753
100000 49.9753
101000 50.0753
102000 50.1753
103000 50.2753
104000 50.3753
105000 50.4753
106000 50.5753
107000 50.6753
108000 50.7753
109000 50.8753
110000 50.9753
111000 51.0753
112000 51.1753
113000 51.2753
114000 51.3753
115000 51.4753
116000 51.5753
117000 51.6753
118000 51.7753
119000 51.8753
120000 51.9753
121000 52.0753
122000 52.1753
123000 52.2753
124000 52.3753
125000 52.4753
126000 52.5753
127000 52.6753
128000 52.7753
129000 52.8753
130000 52.9753
131000 53.0753
132000 53.1753
133000 53.2753
134000 53.3753
135000 53.4753
136000 53.5753
137000 53.6753
138000 53.7753
139000 53.8753
140000 53.9753
141000 54.0753
142000 54.1753
143000 54.2753
144000 54.3753
145000 54.4753
146000 54.5753
147000 54.6753
148000 54.7753
149000 54.8753
150000 54.9753
151000 55.0753
152000 55.1753
153000 55.2753
154000 55.3753
155000 55.4753
156000 55.5753
157000 55.6753
158000 55.7753
159000 55.8753
160000 55.9753
161000 56.0753
162000 56.1753
163000 56.2753
164000 56.3753
165000 56.4753
166000 56.5753
167000 56.6753
168000 56.7753
169000 56.8753
170000 56.9753
171000 57.0753
172000 57.1753
173000 57.2753
174000 57.3753
175000 57.4753
176000 57.5753
177000 57.6753
178000 57.7753
179000 57.8753
180000 57.9753
181000 58.0753
182000 58.1753
183000 58.2753
184000 58.3753
185000 58.4753
186000 58.5753
187000 58.6753
188000 58.7753
189000 58.8753
190000 58.9753
191000 59.0753
192000 59.1753
193000 59.2753
194000 59.3753
195000 59.4753
196000 59.5753
197000 59.6753
198000 59.7753
199000 59.8753
200000 59.9753
201000 60.0753
202000 60.1753
203000 60.2753
204000 60.3753
205000 60.4753
