# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
390 0.208725 -0.947088
400 1.02651 -0.908315
410 1.25976 -0.795122
420 1.36513 -0.762899
430 1.42172 -0.732686
440 1.46693 -0.704702
450 1.44526 -0.669476
460 1.49813 -0.629408
470 1.45737 -0.595928
480 1.47983 -0.57829
490 1.42776 -0.56695
500 1.45661 -0.568034
510 1.47978 -0.545715
520 1.49974 -0.530923
530 1.46907 -0.516014
540 1.51537 -0.510861
550 1.49925 -0.487901
560 1.52117 -0.481806
570 1.5194 -0.478495
580 1.55312 -0.470344
590 1.53075 -0.4583
600 1.55365 -0.442956
610 1.51811 -0.461594
620 1.51224 -0.44802
630 1.53594 -0.439976
640 1.46166 -0.431674
650 1.49035 -0.423179
660 1.45995 -0.421012
670 1.46057 -0.423393
680 1.47897 -0.414225
690 1.48426 -0.408716
700 1.51545 -0.396018
710 1.53538 -0.39804
720 1.52207 -0.391715
730 1.53511 -0.390069
740 1.53185 -0.394536
750 1.49322 -0.392524
760 1.47464 -0.389847
770 1.43328 -0.380364
780 1.4786 -0.380553
790 1.49766 -0.377504
800 1.4787 -0.378661
810 1.49192 -0.36868
820 1.53394 -0.379203
830 1.50047 -0.367318
840 1.50947 -0.363058
850 1.55687 -0.37078
860 1.47988 -0.36321
870 1.47992 -0.360397
880 1.47212 -0.355105
890 1.51708 -0.348052
900 1.51024 -0.349513
910 1.55163 -0.349309
920 1.52284 -0.341399
930 1.50576 -0.349189
940 1.44186 -0.33796
950 1.48168 -0.337929
960 1.53014 -0.327487
970 1.52394 -0.336699
980 1.47081 -0.324721
990 1.50332 -0.314101
1000 1.48111 -0.317731
1010 1.46538 -0.316603
1020 1.47905 -0.302366
1030 1.52665 -0.30004
1040 1.45079 -0.306207
1050 1.48867 -0.311994
1060 1.51245 -0.306478
1070 1.55084 -0.299613
1080 1.53485 -0.286799
1090 1.54346 -0.301449
1100 1.49916 -0.293737
1110 1.51185 -0.300302
1120 1.51514 -0.308121
1130 1.44337 -0.30865
1140 1.47618 -0.305908
1150 1.47763 -0.309924
1160 1.46105 -0.304426
1170 1.45614 -0.305459
1180 1.48445 -0.294379
1190 1.52589 -0.300406
1200 1.55 -0.299665
1210 1.53223 -0.300721
1220 1.54391 -0.289409
1230 1.52247 -0.290572
1240 1.54184 -0.301967
1250 1.48373 -0.294223
1260 1.46076 -0.287078
1270 1.49849 -0.295718
1280 1.54766 -0.301099
1290 1.46803 -0.290646
