# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
100 -0.253496 -0.161805
200 -0.405686 0.0447514
300 0.26775 -0.0101079
400 -0.760139 0.271644
500 -0.169317 0.795397
600 0.634364 1.35772
700 2.77505 -1.75068
800 -1.45699 -1.26965
900 1.05615 0.363379
1000 1.32262 1.14644
1100 -0.73585 -0.116414
1200 -1.10479 -0.687553
1300 -1.71711 -1.3536
1400 0.517998 -1.14133
1500 1.79575 2.09894
1600 -1.13089 0.63857
1700 0.216355 0.126209
1800 -0.347976 1.38286
1900 -0.923308 0.342956
2000 -1.66516 -1.91077
2100 1.8898 -0.922144
2200 2.15054 0.548487
2300 -1.53747 -0.999852
2400 -0.591352 0.578067
2500 -0.636154 -1.93106
2600 0.0243928 -0.213391
2700 0.882868 -0.0840444
2800 2.50007 1.8287
2900 -1.51733 -0.412213
3000 -0.190583 0.694902
3100 0.377213 -0.479635
3200 -1.14488 0.0420822
3300 -0.991727 0.725909
3400 -0.231193 0.0595233
3500 -0.435203 1.6182
3600 2.16033 -1.49519
3700 -0.321646 0.080163
3800 0.0610641 -0.0306075
3900 0.17996 -0.472655
4000 -1.54938 1.05167
4100 2.45499 0.0633736
4200 2.04364 -1.31413
4300 -1.91261 -1.25681
4400 -0.56508 -0.0673128
4500 1.04854 0.234235
4600 -0.295938 -0.323588
4700 -0.450587 0.471232
4800 0.632427 2.06902
4900 0.0501151 1.19078
5000 -2.22357 -0.990738
5100 -1.39975 -0.254941
5200 1.71275 -0.302192
5300 1.72161 -0.210769
5400 0.120959 -0.0182116
5500 -0.323424 -0.171027
5600 -0.387927 -1.25752
5700 -0.781523 0.871015
5800 1.10923 -0.440842
5900 -0.800592 -1.48625
6000 0.477692 0.123672
6100 0.880771 1.15657
6200 -0.334974 -0.614662
6300 -0.711014 0.317757
6400 -0.405727 0.487835
6500 0.240153 0.950471
6600 -0.288331 -0.116138
6700 -0.0836786 -1.10748
6800 0.536131 -0.678394
6900 0.330429 1.07089
7000 -0.760427 0.145259
7100 0.100602 -0.403944
7200 1.12189 0.13099
7300 -0.424562 -0.035952
7400 1.2013 -1.16731
7500 0.180228 -0.835444
7600 -0.0609221 -0.233702
7700 0.240162 1.83625
7800 0.035556 0.0550976
7900 -1.32669 1.25505
8000 -0.0988489 0.164773
8100 0.19476 -0.350922
8200 -0.157638 -0.0113446
8300 -0.447215 -1.66463
8400 0.617959 0.207266
8500 0.399744 0.951782
8600 0.357792 0.469687
8700 -0.0261022 -0.43944
8800 -1.12086 -1.73651
8900 0.43369 -0.985338
9000 1.23569 -0.320113
9100 2.17819 0.761448
9200 -1.54449 1.02913
9300 -1.50378 -0.385689
9400 -0.898087 -0.387708
9500 -1.04426 0.883576
9600 0.948038 0.819619
9700 0.716456 -0.754352
9800 0.307583 0.331829
9900 0.637946 -0.831095
10000 -0.22251 -1.666
10100 -1.94425 1.3105
10200 0.469482 1.85121
10300 1.91443 -0.412506
10400 -1.18109 -2.17864
10500 1.17567 -0.475443
10600 1.33643 -0.569869
10700 -0.245636 0.234555
10800 -0.601421 1.25518
10900 0.506594 1.91599
11000 -0.575094 -0.0370159
11100 0.388403 -0.0258958
11200 0.000922605 -0.983598
11300 -0.927888 0.665006
11400 0.417563 -1.26007
11500 -0.952263 0.0575209
11600 -0.169227 0.867056
11700 0.848331 0.823022
11800 0.490163 -0.183262
11900 -0.16053 -0.832547
12000 1.81819 -2.22199
12100 -0.244967 -1.46771
12200 0.298304 0.688763
12300 0.49954 0.820003
12400 -1.08802 -0.66408
12500 -1.92755 0.832789
12600 -0.789325 0.823021
12700 0.125993 0.247183
12800 0.545895 -0.0295034
12900 1.59954 -1.40745
13000 0.199442 -0.123199
13100 -1.59133 1.51137
13200 0.153414 0.202485
13300 0.175536 -0.67101
13400 -0.176089 0.512663
13500 0.203841 -2.12322
