# Time-averaged data for fix at1
# TimeStep v_L
100 55.4712
200 55.4712
300 55.4712
400 55.4712
500 55.4712
600 55.4712
700 55.4712
800 55.4712
900 55.4712
1000 55.4712
1100 55.4712
1200 55.4712
1300 55.4712
1400 55.4712
1500 55.4712
1600 55.4712
1700 55.4712
1800 55.4712
1900 55.4712
2000 55.4712
2100 55.4712
2200 55.4712
2300 55.4712
2400 55.4712
2500 55.4712
2600 55.4712
2700 55.4712
2800 55.4712
2900 55.4712
3000 55.4712
3100 55.4712
3200 55.4712
3300 55.4712
3400 55.4712
3500 55.4712
3600 55.4712
3700 55.4712
3800 55.4712
3900 55.4712
4000 55.4712
4100 55.4712
4200 55.4712
4300 55.4712
4400 55.4712
4500 55.4712
4600 55.4712
4700 55.4712
4800 55.4712
4900 55.4712
5000 55.4712
5100 55.5262
5200 55.6262
5300 55.7262
5400 55.8262
5500 55.9262
5600 56.0262
5700 56.1262
5800 56.2262
5900 56.3262
6000 56.4262
6100 56.5262
6200 56.6262
6300 56.7262
6400 56.8262
6500 56.9262
6600 57.0262
6700 57.1262
6800 57.2262
6900 57.3262
7000 57.4262
7100 57.5262
7200 57.6262
7300 57.7262
7400 57.8262
7500 57.9262
7600 58.0262
7700 58.1262
7800 58.2262
7900 58.3262
8000 58.4262
8100 58.5262
8200 58.6262
8300 58.7262
8400 58.8262
8500 58.9262
8600 59.0262
8700 59.1262
8800 59.2262
8900 59.3262
9000 59.4262
9100 59.5262
9200 59.6262
9300 59.7262
9400 59.8262
9500 59.9262
9600 60.0262
9700 60.1262
9800 60.2262
9900 60.3262
10000 60.4262
10100 60.5262
10200 60.6262
10300 60.7262
10400 60.8262
10500 60.9262
10600 61.0262
10700 61.1262
10800 61.2262
10900 61.3262
11000 61.4262
11100 61.5262
11200 61.6262
11300 61.7262
11400 61.8262
11500 61.9262
11600 62.0262
11700 62.1262
11800 62.2262
11900 62.3262
12000 62.4262
12100 62.5262
12200 62.6262
12300 62.7262
12400 62.8262
12500 62.9262
12600 63.0262
12700 63.1262
12800 63.2262
12900 63.3262
13000 63.4262
13100 63.5262
13200 63.6262
13300 63.7262
13400 63.8262
13500 63.9262
13600 64.0262
13700 64.1262
13800 64.2262
13900 64.3262
14000 64.4262
14100 64.5262
14200 64.6262
14300 64.7262
14400 64.8262
14500 64.9262
14600 65.0262
14700 65.1262
14800 65.2262
14900 65.3262
15000 65.4262
