# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 58 1028.9999999999998
  1 -28.5 0 0 0
  2 -27.5 0 0 0
  3 -26.5 0 0 0
  4 -25.5 0 0 0
  5 -24.5 0 0 0
  6 -23.5 0 0 0
  7 -22.5 0 0 0
  8 -21.5 0 0 0
  9 -20.5 0 0 0
  10 -19.5 0 0 0
  11 -18.5 0 0 0
  12 -17.5 0 0 0
  13 -16.5 0 0 0
  14 -15.5 0 0 0
  15 -14.5 0 0 0
  16 -13.5 0 0 0
  17 -12.5 0 0 0
  18 -11.5 0 0 0
  19 -10.5 0 0 0
  20 -9.5 0 0 0
  21 -8.5 0.000933333 2.65877e-06 0.000571497
  22 -7.5 18.3197 0.066103 -0.000196984
  23 -6.5 167.58 3.41074 -0.000201874
  24 -5.5 29.1461 0.101491 -0.000186283
  25 -4.5 49.9547 0.915811 -0.00013424
  26 -3.5 91.2499 1.50994 -0.000126118
  27 -2.5 41.3764 0.649216 -8.49968e-05
  28 -1.5 55.7757 1.01386 -3.50765e-05
  29 -0.5 63.1617 1.06818 -5.13878e-06
  30 0.5 60.9429 1.03698 3.92444e-05
  31 1.5 55.6484 0.994575 8.53314e-05
  32 2.5 42.5642 0.680144 0.000110693
  33 3.5 93.2433 1.5015 0.000142757
  34 4.5 43.6631 0.890137 0.000132005
  35 5.5 31.5161 0.111 0.000200883
  36 6.5 167.916 3.45263 0.000202513
  37 7.5 16.9401 0.0608062 0.000177183
  38 8.5 0.000666667 1.89912e-06 0.00828061
  39 9.5 0 0 0
  40 10.5 0 0 0
  41 11.5 0 0 0
  42 12.5 0 0 0
  43 13.5 0 0 0
  44 14.5 0 0 0
  45 15.5 0 0 0
  46 16.5 0 0 0
  47 17.5 0 0 0
  48 18.5 0 0 0
  49 19.5 0 0 0
  50 20.5 0 0 0
  51 21.5 0 0 0
  52 22.5 0 0 0
  53 23.5 0 0 0
  54 24.5 0 0 0
  55 25.5 0 0 0
  56 26.5 0 0 0
  57 27.5 0 0 0
  58 28.5 0 0 0
