# Chunk-averaged data for fix myac3 and group ions
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
1000000 58 30.000000000000004
  1 -28.5 0 0 0
  2 -27.5 0 0 0
  3 -26.5 0 0 0
  4 -25.5 0 0 0
  5 -24.5 0 0 0
  6 -23.5 0 0 0
  7 -22.5 0 0 0
  8 -21.5 0 0 0
  9 -20.5 0 0 0
  10 -19.5 0 0 0
  11 -18.5 0 0 0
  12 -17.5 0 0 0
  13 -16.5 0 0 0
  14 -15.5 0 0 0
  15 -14.5 0 0 0
  16 -13.5 0 0 0
  17 -12.5 0 0 0
  18 -11.5 0 0 0
  19 -10.5 0 0 0
  20 -9.5 0 0 0
  21 -8.5 0 0 0
  22 -7.5 0 0 0
  23 -6.5 0.778832 0.0638679 1.34954e-05
  24 -5.5 2.01851 0.179962 -4.64284e-06
  25 -4.5 1.07457 0.103338 1.20725e-05
  26 -3.5 3.60892 0.352654 3.866e-05
  27 -2.5 3.09531 0.261741 5.01385e-05
  28 -1.5 1.16844 0.108132 5.29085e-05
  29 -0.5 1.35887 0.124306 5.68374e-05
  30 0.5 1.86421 0.167198 5.92029e-05
  31 1.5 1.77052 0.165833 7.60038e-05
  32 2.5 3.60268 0.308086 4.91081e-05
  33 3.5 4.70829 0.457943 3.586e-05
  34 4.5 1.42683 0.140426 1.35438e-05
  35 5.5 1.89637 0.164974 3.97082e-06
  36 6.5 1.62765 0.133352 -4.23176e-06
  37 7.5 0 0 0
  38 8.5 0 0 0
  39 9.5 0 0 0
  40 10.5 0 0 0
  41 11.5 0 0 0
  42 12.5 0 0 0
  43 13.5 0 0 0
  44 14.5 0 0 0
  45 15.5 0 0 0
  46 16.5 0 0 0
  47 17.5 0 0 0
  48 18.5 0 0 0
  49 19.5 0 0 0
  50 20.5 0 0 0
  51 21.5 0 0 0
  52 22.5 0 0 0
  53 23.5 0 0 0
  54 24.5 0 0 0
  55 25.5 0 0 0
  56 26.5 0 0 0
  57 27.5 0 0 0
  58 28.5 0 0 0
