# Chunk-averaged data for fix myac2 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 58 432
  1 -28.5 0 0 0
  2 -27.5 0 0 0
  3 -26.5 0 0 0
  4 -25.5 0 0 0
  5 -24.5 0 0 0
  6 -23.5 0 0 0
  7 -22.5 0 0 0
  8 -21.5 0 0 0
  9 -20.5 0 0 0
  10 -19.5 0 0 0
  11 -18.5 0 0 0
  12 -17.5 0 0 0
  13 -16.5 0 0 0
  14 -15.5 0 0 0
  15 -14.5 0 0 0
  16 -13.5 52.1101 3.97349 -3.68372e-06
  17 -12.5 19.8899 1.51664 8.63558e-06
  18 -11.5 45.894 3.4995 4.04995e-06
  19 -10.5 26.106 1.99063 -7.86415e-06
  20 -9.5 39.1633 2.98627 2.09545e-06
  21 -8.5 32.8367 2.50385 -2.81533e-06
  22 -7.5 0 0 0
  23 -6.5 0 0 0
  24 -5.5 0 0 0
  25 -4.5 0 0 0
  26 -3.5 0 0 0
  27 -2.5 0 0 0
  28 -1.5 0 0 0
  29 -0.5 0 0 0
  30 0.5 0 0 0
  31 1.5 0 0 0
  32 2.5 0 0 0
  33 3.5 0 0 0
  34 4.5 0 0 0
  35 5.5 0 0 0
  36 6.5 0 0 0
  37 7.5 0 0 0
  38 8.5 19.1463 1.45994 4.04951e-06
  39 9.5 52.8537 4.03019 -1.71908e-06
  40 10.5 12.0468 0.91859 6.68371e-06
  41 11.5 59.9532 4.57154 -1.52139e-06
  42 12.5 9.05947 0.6908 -3.68704e-06
  43 13.5 62.9405 4.79933 4.21076e-07
  44 14.5 0 0 0
  45 15.5 0 0 0
  46 16.5 0 0 0
  47 17.5 0 0 0
  48 18.5 0 0 0
  49 19.5 0 0 0
  50 20.5 0 0 0
  51 21.5 0 0 0
  52 22.5 0 0 0
  53 23.5 0 0 0
  54 24.5 0 0 0
  55 25.5 0 0 0
  56 26.5 0 0 0
  57 27.5 0 0 0
  58 28.5 0 0 0
