# Time-averaged data for fix myat1
# TimeStep v_deltaz
0 36.36
100 36.3754
200 36.4277
300 36.4947
400 36.5566
500 36.6238
600 36.7018
700 36.7831
800 36.866
900 36.9471
1000 37.002
1100 37.0167
1200 37.068
1300 37.1379
1400 37.1739
1500 37.2221
1600 37.2509
1700 37.261
1800 37.2701
1900 37.2764
2000 37.3004
2100 37.3231
2200 37.3283
2300 37.3095
2400 37.2638
2500 37.2076
2600 37.1785
2700 37.185
2800 37.1913
2900 37.1656
3000 37.1372
3100 37.122
3200 37.0997
3300 37.0789
3400 37.0455
3500 36.9988
3600 36.9585
3700 36.9045
3800 36.8379
3900 36.754
4000 36.6887
4100 36.632
4200 36.5799
4300 36.5523
4400 36.4741
4500 36.3859
4600 36.336
4700 36.2731
4800 36.2345
4900 36.1911
5000 36.13
5100 36.0651
5200 35.982
5300 35.8964
5400 35.8032
5500 35.7153
5600 35.6119
5700 35.4955
5800 35.4013
5900 35.2852
6000 35.1708
6100 35.0681
6200 34.9667
6300 34.8609
6400 34.7681
6500 34.6698
6600 34.5455
6700 34.4184
6800 34.2945
6900 34.1889
7000 34.0734
7100 33.9757
7200 33.8754
7300 33.7763
7400 33.6499
7500 33.5178
7600 33.3906
7700 33.2622
7800 33.1301
7900 33.0019
8000 32.8721
8100 32.7581
8200 32.6303
8300 32.4997
8400 32.3551
8500 32.2186
8600 32.077
8700 31.939
8800 31.7918
8900 31.6192
9000 31.4536
9100 31.3125
9200 31.1459
9300 31.0064
9400 30.8496
9500 30.7089
9600 30.5719
9700 30.4327
9800 30.2916
9900 30.1535
10000 30.0003
10100 29.8351
10200 29.6621
10300 29.5007
10400 29.34
10500 29.1851
10600 28.9932
10700 28.8074
10800 28.5991
10900 28.3998
11000 28.1963
11100 27.9786
11200 27.7643
11300 27.5421
11400 27.337
11500 27.1179
11600 26.903
11700 26.6955
11800 26.4815
11900 26.2967
12000 26.0995
12100 25.9029
12200 25.7284
12300 25.5735
12400 25.3841
12500 25.2239
12600 25.0373
12700 24.8869
12800 24.7427
12900 24.6102
13000 24.502
13100 24.3687
13200 24.2227
13300 24.0888
13400 23.9585
13500 23.8348
13600 23.6908
13700 23.565
13800 23.4253
13900 23.2833
14000 23.1747
14100 23.0608
14200 22.9766
14300 22.8815
14400 22.8014
14500 22.7493
14600 22.7179
14700 22.7283
14800 22.7395
14900 22.7883
15000 22.8578
15100 22.9051
15200 22.9248
15300 22.9638
15400 22.9976
15500 23.0118
15600 23.0363
15700 23.0412
15800 22.9993
15900 22.9839
16000 22.9555
16100 22.9246
16200 22.8816
16300 22.8535
16400 22.8076
16500 22.7846
16600 22.7626
16700 22.7325
16800 22.6898
16900 22.6844
17000 22.683
17100 22.6584
17200 22.6634
17300 22.6795
17400 22.6954
17500 22.7157
17600 22.7246
17700 22.7443
17800 22.7608
17900 22.743
18000 22.7711
18100 22.8041
18200 22.7947
18300 22.7999
18400 22.7822
18500 22.7692
18600 22.766
18700 22.778
18800 22.7687
18900 22.7885
19000 22.7867
19100 22.7826
19200 22.7677
19300 22.75
19400 22.7049
19500 22.6684
19600 22.6376
19700 22.5918
19800 22.5403
19900 22.4923
20000 22.4639
20100 22.4655
20200 22.4352
20300 22.4344
20400 22.4343
20500 22.4393
20600 22.4348
20700 22.4447
20800 22.4646
20900 22.5249
21000 22.5724
21100 22.6219
21200 22.6782
21300 22.6949
21400 22.7034
21500 22.7183
21600 22.7204
21700 22.7032
21800 22.6912
21900 22.6765
22000 22.6576
22100 22.6239
22200 22.588
22300 22.5664
22400 22.5277
22500 22.5041
22600 22.4676
22700 22.4414
22800 22.4312
22900 22.4294
23000 22.4271
23100 22.4127
23200 22.4071
23300 22.3857
23400 22.3695
23500 22.3679
23600 22.3422
23700 22.3376
23800 22.3485
23900 22.3509
24000 22.3393
24100 22.342
24200 22.3706
24300 22.3543
24400 22.3994
24500 22.4161
24600 22.421
24700 22.4119
24800 22.4153
24900 22.4215
25000 22.4108
25100 22.4045
25200 22.3857
25300 22.3642
25400 22.331
25500 22.3073
25600 22.305
25700 22.2641
25800 22.2471
25900 22.2663
26000 22.2486
26100 22.2539
26200 22.2498
26300 22.265
26400 22.2655
26500 22.2535
26600 22.2633
26700 22.2525
26800 22.2268
26900 22.2093
27000 22.1853
27100 22.1518
27200 22.1405
27300 22.1408
27400 22.1625
27500 22.1998
27600 22.217
27700 22.2505
27800 22.3009
27900 22.3196
28000 22.3335
28100 22.3745
28200 22.4069
28300 22.4161
28400 22.4155
28500 22.439
28600 22.4558
28700 22.4603
28800 22.4439
28900 22.4142
29000 22.3759
29100 22.3568
29200 22.3226
29300 22.2865
29400 22.2665
29500 22.2103
29600 22.1653
29700 22.1288
29800 22.0999
29900 22.0961
30000 22.078
