# Chunk-averaged data for fix myac6 and group ions
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 566 29.999999999999993
  1 -28.25 0 0 0
  2 -28.15 0 0 0
  3 -28.05 0 0 0
  4 -27.95 0 0 0
  5 -27.85 0 0 0
  6 -27.75 0 0 0
  7 -27.65 0 0 0
  8 -27.55 0 0 0
  9 -27.45 0 0 0
  10 -27.35 0 0 0
  11 -27.25 0 0 0
  12 -27.15 0 0 0
  13 -27.05 0 0 0
  14 -26.95 0 0 0
  15 -26.85 0 0 0
  16 -26.75 0 0 0
  17 -26.65 0 0 0
  18 -26.55 0 0 0
  19 -26.45 0 0 0
  20 -26.35 0 0 0
  21 -26.25 0 0 0
  22 -26.15 0 0 0
  23 -26.05 0 0 0
  24 -25.95 0 0 0
  25 -25.85 0 0 0
  26 -25.75 0 0 0
  27 -25.65 0 0 0
  28 -25.55 0 0 0
  29 -25.45 0 0 0
  30 -25.35 0 0 0
  31 -25.25 0 0 0
  32 -25.15 0 0 0
  33 -25.05 0 0 0
  34 -24.95 0 0 0
  35 -24.85 0 0 0
  36 -24.75 0 0 0
  37 -24.65 0 0 0
  38 -24.55 0 0 0
  39 -24.45 0 0 0
  40 -24.35 0 0 0
  41 -24.25 0 0 0
  42 -24.15 0 0 0
  43 -24.05 0 0 0
  44 -23.95 0 0 0
  45 -23.85 0 0 0
  46 -23.75 0 0 0
  47 -23.65 0 0 0
  48 -23.55 0 0 0
  49 -23.45 0 0 0
  50 -23.35 0 0 0
  51 -23.25 0 0 0
  52 -23.15 0 0 0
  53 -23.05 0 0 0
  54 -22.95 0 0 0
  55 -22.85 0 0 0
  56 -22.75 0 0 0
  57 -22.65 0 0 0
  58 -22.55 0 0 0
  59 -22.45 0 0 0
  60 -22.35 0 0 0
  61 -22.25 0 0 0
  62 -22.15 0 0 0
  63 -22.05 0 0 0
  64 -21.95 0 0 0
  65 -21.85 0 0 0
  66 -21.75 0 0 0
  67 -21.65 0 0 0
  68 -21.55 0 0 0
  69 -21.45 0 0 0
  70 -21.35 0 0 0
  71 -21.25 0 0 0
  72 -21.15 0 0 0
  73 -21.05 0 0 0
  74 -20.95 0 0 0
  75 -20.85 0 0 0
  76 -20.75 0 0 0
  77 -20.65 0 0 0
  78 -20.55 0 0 0
  79 -20.45 0 0 0
  80 -20.35 0 0 0
  81 -20.25 0 0 0
  82 -20.15 0 0 0
  83 -20.05 0 0 0
  84 -19.95 0 0 0
  85 -19.85 0 0 0
  86 -19.75 0 0 0
  87 -19.65 0 0 0
  88 -19.55 0 0 0
  89 -19.45 0 0 0
  90 -19.35 0 0 0
  91 -19.25 0 0 0
  92 -19.15 0 0 0
  93 -19.05 0 0 0
  94 -18.95 0 0 0
  95 -18.85 0 0 0
  96 -18.75 0 0 0
  97 -18.65 0 0 0
  98 -18.55 0 0 0
  99 -18.45 0 0 0
  100 -18.35 0 0 0
  101 -18.25 0 0 0
  102 -18.15 0 0 0
  103 -18.05 0 0 0
  104 -17.95 0 0 0
  105 -17.85 0 0 0
  106 -17.75 0 0 0
  107 -17.65 0 0 0
  108 -17.55 0 0 0
  109 -17.45 0 0 0
  110 -17.35 0 0 0
  111 -17.25 0 0 0
  112 -17.15 0 0 0
  113 -17.05 0 0 0
  114 -16.95 0 0 0
  115 -16.85 0 0 0
  116 -16.75 0 0 0
  117 -16.65 0 0 0
  118 -16.55 0 0 0
  119 -16.45 0 0 0
  120 -16.35 0 0 0
  121 -16.25 0 0 0
  122 -16.15 0 0 0
  123 -16.05 0 0 0
  124 -15.95 0 0 0
  125 -15.85 0 0 0
  126 -15.75 0 0 0
  127 -15.65 0 0 0
  128 -15.55 0 0 0
  129 -15.45 0 0 0
  130 -15.35 0 0 0
  131 -15.25 0 0 0
  132 -15.15 0 0 0
  133 -15.05 0 0 0
  134 -14.95 0 0 0
  135 -14.85 0 0 0
  136 -14.75 0 0 0
  137 -14.65 0 0 0
  138 -14.55 0 0 0
  139 -14.45 0 0 0
  140 -14.35 0 0 0
  141 -14.25 0 0 0
  142 -14.15 0 0 0
  143 -14.05 0 0 0
  144 -13.95 0 0 0
  145 -13.85 0 0 0
  146 -13.75 0 0 0
  147 -13.65 0 0 0
  148 -13.55 0 0 0
  149 -13.45 0 0 0
  150 -13.35 0 0 0
  151 -13.25 0 0 0
  152 -13.15 0 0 0
  153 -13.05 0 0 0
  154 -12.95 0 0 0
  155 -12.85 0 0 0
  156 -12.75 0 0 0
  157 -12.65 0 0 0
  158 -12.55 0 0 0
  159 -12.45 0 0 0
  160 -12.35 0 0 0
  161 -12.25 0 0 0
  162 -12.15 0 0 0
  163 -12.05 0 0 0
  164 -11.95 0 0 0
  165 -11.85 0 0 0
  166 -11.75 0 0 0
  167 -11.65 0 0 0
  168 -11.55 0 0 0
  169 -11.45 0 0 0
  170 -11.35 0 0 0
  171 -11.25 0 0 0
  172 -11.15 0 0 0
  173 -11.05 0 0 0
  174 -10.95 0 0 0
  175 -10.85 0 0 0
  176 -10.75 0 0 0
  177 -10.65 0 0 0
  178 -10.55 0 0 0
  179 -10.45 0 0 0
  180 -10.35 0 0 0
  181 -10.25 0 0 0
  182 -10.15 0 0 0
  183 -10.05 0 0 0
  184 -9.95 0 0 0
  185 -9.85 0 0 0
  186 -9.75 0 0 0
  187 -9.65 0 0 0
  188 -9.55 0 0 0
  189 -9.45 0 0 0
  190 -9.35 0 0 0
  191 -9.25 0 0 0
  192 -9.15 0.000666667 0.000546186 -0.000369805
  193 -9.05 0.00246667 0.00202089 -0.000651023
  194 -8.95 0.004 0.00327712 0.000504639
  195 -8.85 0.00893333 0.0073189 0.000691682
  196 -8.75 0.0225333 0.0184611 2.97593e-05
  197 -8.65 0.0318 0.026114 -0.000286795
  198 -8.55 0.0617333 0.0515144 0.000266733
  199 -8.45 0.0864 0.0738055 3.64764e-05
  200 -8.35 0.124933 0.109929 -0.000138365
  201 -8.25 0.182333 0.16414 -0.000142662
  202 -8.15 0.258133 0.236652 4.4032e-05
  203 -8.05 0.299333 0.278541 0.000112243
  204 -7.95 0.335133 0.315871 0.000103869
  205 -7.85 0.387467 0.365614 2.14732e-05
  206 -7.75 0.395 0.376754 3.31667e-05
  207 -7.65 0.4026 0.385197 0.000100108
  208 -7.55 0.4004 0.382493 2.41114e-06
  209 -7.45 0.329 0.315412 -1.74445e-06
  210 -7.35 0.274 0.261743 9.05258e-05
  211 -7.25 0.227733 0.215302 0.000217639
  212 -7.15 0.1906 0.177196 1.46638e-05
  213 -7.05 0.170467 0.155002 -4.10608e-05
  214 -6.95 0.155133 0.138811 -5.23271e-05
  215 -6.85 0.130533 0.115796 -0.000105484
  216 -6.75 0.1224 0.107062 7.00183e-06
  217 -6.65 0.110733 0.096408 5.77519e-05
  218 -6.55 0.106467 0.0940205 6.01045e-05
  219 -6.45 0.0794 0.069958 -0.000322228
  220 -6.35 0.0712 0.0624362 -0.00036144
  221 -6.25 0.0741333 0.0654483 7.40889e-05
  222 -6.15 0.0720667 0.0625861 -0.000191589
  223 -6.05 0.095 0.0823978 -0.000109095
  224 -5.95 0.122533 0.10638 3.89277e-05
  225 -5.85 0.145667 0.125564 0.000207528
  226 -5.75 0.150267 0.1301 4.77953e-05
  227 -5.65 0.168067 0.146911 -2.46067e-07
  228 -5.55 0.170267 0.149176 9.08132e-06
  229 -5.45 0.1528 0.13377 3.87252e-05
  230 -5.35 0.141133 0.122349 6.13205e-05
  231 -5.25 0.133667 0.115976 3.48065e-05
  232 -5.15 0.114333 0.0995157 5.90779e-05
  233 -5.05 0.124333 0.109766 4.15783e-05
  234 -4.95 0.122 0.108585 -5.67488e-05
  235 -4.85 0.116733 0.105305 8.66198e-05
  236 -4.75 0.123733 0.11305 -3.16445e-05
  237 -4.65 0.122867 0.112157 -2.68822e-05
  238 -4.55 0.142733 0.130357 0.000194622
  239 -4.45 0.158 0.144095 0.000172251
  240 -4.35 0.174333 0.158219 -3.85793e-05
  241 -4.25 0.1826 0.165223 7.5036e-05
  242 -4.15 0.191267 0.175051 0.000157022
  243 -4.05 0.2268 0.207073 0.000100702
  244 -3.95 0.230467 0.210369 0.000131831
  245 -3.85 0.250267 0.228089 5.73262e-06
  246 -3.75 0.249667 0.227025 7.21221e-05
  247 -3.65 0.251 0.226473 9.8227e-05
  248 -3.55 0.272733 0.244693 -0.000166796
  249 -3.45 0.259 0.233222 0.000127569
  250 -3.35 0.277467 0.249521 0.00021025
  251 -3.25 0.2618 0.235772 3.02373e-05
  252 -3.15 0.253133 0.227953 -4.55747e-05
  253 -3.05 0.256733 0.231999 -2.04281e-06
  254 -2.95 0.243667 0.221281 0.000123053
  255 -2.85 0.2386 0.219395 9.58312e-05
  256 -2.75 0.231467 0.213892 2.98524e-05
  257 -2.65 0.221267 0.203745 1.09521e-05
  258 -2.55 0.211667 0.19476 1.28065e-05
  259 -2.45 0.197 0.182269 0.000132962
  260 -2.35 0.185267 0.171243 -6.49693e-05
  261 -2.25 0.178 0.164572 -9.74758e-05
  262 -2.15 0.177133 0.163533 4.87062e-05
  263 -2.05 0.2014 0.185155 2.34454e-06
  264 -1.95 0.195333 0.176885 3.27588e-05
  265 -1.85 0.186 0.168581 0.000137086
  266 -1.75 0.179467 0.163253 -5.17001e-06
  267 -1.65 0.183133 0.1665 2.39193e-05
  268 -1.55 0.201867 0.183528 0.000147702
  269 -1.45 0.212333 0.190983 3.70982e-05
  270 -1.35 0.179933 0.160773 9.75702e-05
  271 -1.25 0.163867 0.147452 -5.9623e-06
  272 -1.15 0.162733 0.146268 -1.63558e-05
  273 -1.05 0.140333 0.125054 3.99498e-05
  274 -0.95 0.128667 0.114047 0.000112349
  275 -0.85 0.123533 0.108587 -0.00013312
  276 -0.75 0.110533 0.0983873 0.000133083
  277 -0.65 0.1062 0.0954824 -1.71876e-05
  278 -0.55 0.0901333 0.0811869 -0.000235413
  279 -0.45 0.0899333 0.0814736 -0.000100532
  280 -0.35 0.0923333 0.0837564 -0.000237521
  281 -0.25 0.0822667 0.0751802 -7.78233e-05
  282 -0.15 0.0643333 0.0579916 8.87774e-05
  283 -0.05 0.0605333 0.0545861 0.000242477
  284 0.05 0.0566667 0.0510164 8.47218e-05
  285 0.15 0.0660667 0.0591925 -9.92477e-06
  286 0.25 0.0656667 0.0581342 0.000145354
  287 0.35 0.0697333 0.061746 1.71683e-05
  288 0.45 0.0726667 0.0640518 -1.39138e-05
  289 0.55 0.0686667 0.0602511 -7.04989e-05
  290 0.65 0.0733333 0.0652677 7.3394e-05
  291 0.75 0.0808 0.0705814 -2.96584e-05
  292 0.85 0.0829333 0.0709897 3.28247e-05
  293 0.95 0.0888 0.0764902 0.000218555
  294 1.05 0.0982 0.0852143 8.92899e-05
  295 1.15 0.0963333 0.0851462 -4.04739e-05
  296 1.25 0.114467 0.101257 5.81744e-05
  297 1.35 0.109133 0.0968506 -0.000154186
  298 1.45 0.1002 0.0889959 -0.000203492
  299 1.55 0.0912667 0.0804107 -2.73478e-05
  300 1.65 0.0884 0.0786953 -0.000118046
  301 1.75 0.0875333 0.0787036 -0.000234234
  302 1.85 0.0660667 0.0600814 1.01507e-05
  303 1.95 0.0631333 0.0582262 0.000183446
  304 2.05 0.0583333 0.0531247 -1.63629e-05
  305 2.15 0.0567333 0.0517164 8.18253e-05
  306 2.25 0.0557333 0.050544 6.77119e-05
  307 2.35 0.0574 0.0530906 0.000126452
  308 2.45 0.0528667 0.0491573 0.000169433
  309 2.55 0.0498 0.045963 0.000136496
  310 2.65 0.0456667 0.0424914 5.79201e-05
  311 2.75 0.0632667 0.058859 8.82629e-05
  312 2.85 0.0794 0.0739641 -0.000246524
  313 2.95 0.0836667 0.0773866 0.00012189
  314 3.05 0.0855333 0.0795491 -1.73295e-05
  315 3.15 0.0888 0.0827247 2.56908e-05
  316 3.25 0.1036 0.0939368 9.20797e-05
  317 3.35 0.1124 0.100562 -1.78347e-05
  318 3.45 0.116267 0.10222 2.30527e-05
  319 3.55 0.1212 0.105373 3.0603e-05
  320 3.65 0.141333 0.123061 0.000337079
  321 3.75 0.1388 0.121265 -0.000103411
  322 3.85 0.165867 0.146095 2.57071e-05
  323 3.95 0.150267 0.133448 6.14304e-05
  324 4.05 0.145733 0.129357 2.18493e-05
  325 4.15 0.1274 0.113874 6.1067e-05
  326 4.25 0.120067 0.108657 -5.39978e-05
  327 4.35 0.114 0.102469 -1.07856e-05
  328 4.45 0.117533 0.104658 6.2616e-05
  329 4.55 0.1012 0.0911912 -0.000159663
  330 4.65 0.09 0.0817352 4.15627e-05
  331 4.75 0.0808667 0.0733879 8.79275e-05
  332 4.85 0.074 0.0663862 3.72284e-05
  333 4.95 0.0782667 0.0699792 0.000138281
  334 5.05 0.0814 0.0722419 0.000184663
  335 5.15 0.1074 0.0960272 -4.77107e-05
  336 5.25 0.0995333 0.0877192 -0.000169435
  337 5.35 0.104 0.0922675 0.000187038
  338 5.45 0.109067 0.0967716 0.000196122
  339 5.55 0.115533 0.103202 2.54027e-05
  340 5.65 0.129933 0.114768 -0.000156688
  341 5.75 0.125867 0.111388 0.000110074
  342 5.85 0.121333 0.107564 3.30202e-05
  343 5.95 0.124067 0.108939 4.2541e-06
  344 6.05 0.128533 0.111344 -0.000147941
  345 6.15 0.1282 0.109245 -0.000107843
  346 6.25 0.141067 0.120578 3.91281e-05
  347 6.35 0.150867 0.128119 7.40897e-05
  348 6.45 0.145933 0.124894 3.08985e-06
  349 6.55 0.141067 0.119421 0.000126589
  350 6.65 0.150333 0.12862 -6.75964e-05
  351 6.75 0.168933 0.145685 0.000106917
  352 6.85 0.1826 0.160888 -2.30551e-05
  353 6.95 0.233733 0.210038 0.000103768
  354 7.05 0.271667 0.247131 3.3948e-05
  355 7.15 0.3642 0.340561 8.01478e-05
  356 7.25 0.483333 0.456332 1.92e-05
  357 7.35 0.673733 0.64509 -8.65926e-06
  358 7.45 0.8254 0.793604 -2.57735e-05
  359 7.55 0.925933 0.884626 -1.64936e-05
  360 7.65 0.894267 0.854067 -3.31856e-05
  361 7.75 0.7872 0.746879 -4.01874e-05
  362 7.85 0.636 0.59165 2.33196e-05
  363 7.95 0.466 0.424147 0.00018419
  364 8.05 0.351133 0.310897 7.90787e-05
  365 8.15 0.228867 0.199122 -4.29472e-05
  366 8.25 0.136667 0.117289 -4.60224e-05
  367 8.35 0.0723333 0.0614165 -6.12331e-05
  368 8.45 0.0354 0.0298549 0.000135627
  369 8.55 0.0208 0.0174063 0.000383667
  370 8.65 0.0151333 0.0124958 5.9182e-06
